date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,527.0,534.75,524.0,529.65, 529.50,527.15,530.84,107849,572.5,4279, 49290, 45.70
02-Jan-2020,529.5,545.9,528.7,541.35, 541.45,529.65,540.15,158640,856.9,8740, 79267, 49.97
03-Jan-2020,542.4,542.8,534.0,535.9, 534.80,541.35,537.37,63423,340.82,3215, 23667, 37.32
06-Jan-2020,533.0,534.9,521.4,529.95, 528.50,535.9,528.16,105970,559.69,5332, 64852, 61.20
07-Jan-2020,532.0,540.85,528.4,532.95, 530.00,529.95,537.45,153960,827.46,4262, 114968, 74.67
08-Jan-2020,526.6,534.55,521.4,531.95, 532.00,532.95,530.3,163181,865.34,11475, 109250, 66.95
09-Jan-2020,535.0,557.85,532.0,547.45, 544.25,531.95,548.11,200543,1099.2,7843, 101895, 50.81
10-Jan-2020,548.75,559.0,543.0,550.55, 550.00,547.45,553.33,156788,867.55,7841, 82125, 52.38
13-Jan-2020,551.0,557.9,541.0,545.45, 543.00,550.55,550.06,79458,437.07,5855, 36484, 45.92
14-Jan-2020,547.1,565.0,542.2,561.15, 562.00,545.45,557.03,152033,846.87,4340, 89197, 58.67
15-Jan-2020,561.15,586.5,555.0,583.95, 581.95,561.15,576.78,568486,3278.9,14919, 321078, 56.48
16-Jan-2020,584.9,600.0,584.0,591.5, 592.40,583.95,594.06,323010,1918.86,13973, 177109, 54.83
17-Jan-2020,595.8,599.95,565.65,591.4, 595.95,591.5,583.27,179399,1046.39,7167, 68104, 37.96
20-Jan-2020,595.0,611.95,594.45,600.3, 600.00,591.4,601.55,460984,2773.03,7395, 318412, 69.07
21-Jan-2020,599.25,603.4,588.35,594.3, 599.00,600.3,595.33,217977,1297.69,4014, 161391, 74.04
22-Jan-2020,603.95,605.0,582.2,586.2, 585.35,594.3,592.49,71955,426.33,3358, 29818, 41.44
23-Jan-2020,590.05,594.25,582.3,589.5, 586.00,586.2,588.77,82621,486.45,3482, 38991, 47.19
