date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,4060.0,4071.95,4045.0,4065.0, 4068.00,4046.05,4059.12,163949,6654.88,9451, 30007, 18.30
02-Jan-2020,4069.9,4256.3,4068.15,4244.8, 4237.00,4065.0,4201.06,1458328,61265.22,94709, 403142, 27.64
03-Jan-2020,4237.0,4258.0,4185.85,4219.2, 4218.25,4244.8,4222.2,635983,26852.49,46789, 174945, 27.51
06-Jan-2020,4191.0,4199.75,4131.0,4157.1, 4146.85,4219.2,4169.55,462841,19298.4,39868, 214991, 46.45
07-Jan-2020,4199.55,4254.0,4164.05,4242.1, 4239.95,4157.1,4221.37,524372,22135.67,41214, 92149, 17.57
08-Jan-2020,4224.85,4332.0,4183.8,4318.95, 4308.00,4242.1,4293.48,1032268,44320.27,72733, 223131, 21.62
09-Jan-2020,4337.0,4400.0,4331.6,4388.0, 4388.05,4318.95,4372.71,698429,30540.28,47576, 256684, 36.75
10-Jan-2020,4388.1,4464.05,4366.9,4444.6, 4457.00,4388.0,4430.01,735887,32599.83,54585, 252284, 34.28
13-Jan-2020,4457.55,4492.0,4450.05,4468.7, 4470.95,4444.6,4473.14,403937,18068.66,32808, 112285, 27.80
14-Jan-2020,4465.0,4502.95,4422.7,4483.3, 4480.90,4468.7,4453.71,438651,19536.25,36958, 149663, 34.12
15-Jan-2020,4451.05,4525.25,4410.0,4506.5, 4523.70,4483.3,4456.81,416924,18581.51,32862, 142007, 34.06
16-Jan-2020,4520.0,4554.9,4433.25,4472.35, 4481.95,4506.5,4503.97,467980,21077.7,38904, 111213, 23.76
17-Jan-2020,4440.0,4522.4,4411.3,4486.75, 4495.00,4472.35,4486.4,360682,16181.62,33498, 105156, 29.15
20-Jan-2020,4500.0,4509.45,4452.0,4467.65, 4466.00,4486.75,4474.41,204026,9128.96,17123, 64906, 31.81
21-Jan-2020,4455.0,4520.0,4440.0,4483.55, 4484.00,4467.65,4483.31,283173,12695.53,33184, 80925, 28.58
22-Jan-2020,4505.0,4540.0,4463.0,4476.95, 4477.00,4483.55,4504.61,359444,16191.55,23405, 68288, 19.00
23-Jan-2020,4470.0,4540.0,4446.05,4526.4, 4535.00,4476.95,4496.82,401079,18035.82,35389, 112234, 27.98
24-Jan-2020,4554.0,4679.7,4452.65,4642.75,4643.0,4526.4,4574.62,2127667,97332.73,131929, 206600, 9.71
27-Jan-2020,4624.9,4754.1,4622.0,4676.95, 4686.00,4642.75,4694.14,1058884,49705.46,84765, 197176, 18.62
28-Jan-2020,4670.0,4715.8,4584.5,4609.05, 4626.05,4676.95,4638.34,711517,33002.54,48737, 356312, 50.08
29-Jan-2020,4625.0,4653.5,4559.5,4568.2, 4568.25,4609.05,4598.69,595287,27375.41,45661, 298456, 50.14
30-Jan-2020,4569.0,4588.5,4464.15,4486.0, 4480.00,4568.2,4511.85,422335,19055.12,38631, 193102, 45.72
31-Jan-2020,4502.3,4507.3,4405.0,4416.1, 4422.00,4486.0,4448.76,451630,20091.94,40501, 253189, 56.06
03-Feb-2020,4265.0,4386.85,4236.15,4370.65, 4372.00,4265.25,4325.51,537373,23244.12,48595, 162852, 30.31
04-Feb-2020,4394.95,4498.85,4379.05,4474.25, 4475.00,4370.65,4464.67,387466,17299.06,36447, 121553, 31.37
05-Feb-2020,4477.0,4528.6,4397.6,4471.8, 4475.00,4474.25,4465.89,521783,23302.28,37704, 202976, 38.90
06-Feb-2020,4480.0,4519.05,4442.0,4464.9, 4453.65,4471.8,4473.33,385744,17255.61,39005, 193324, 50.12
07-Feb-2020,4476.4,4547.0,4449.65,4471.8, 4465.20,4464.9,4509.35,547874,24705.55,48152, 180716, 32.98
10-Feb-2020,4487.0,4492.6,4390.75,4413.75, 4413.80,4471.8,4426.23,271700,12026.07,30543, 99835, 36.74
11-Feb-2020,4447.7,4519.5,4433.0,4466.45, 4470.00,4413.75,4484.97,296451,13295.74,27746, 90392, 30.49
12-Feb-2020,4492.7,4492.7,4439.95,4453.75, 4447.00,4466.45,4463.92,323821,14455.12,16938, 182634, 56.40
13-Feb-2020,4439.95,4473.15,4415.0,4450.5, 4454.00,4453.75,4443.97,186493,8287.69,23381, 79108, 42.42
14-Feb-2020,4469.0,4538.95,4393.05,4434.35, 4437.65,4450.5,4473.78,665316,29764.76,80870, 224239, 33.70
17-Feb-2020,4443.9,4465.0,4401.1,4449.85, 4447.65,4434.35,4447.39,354909,15784.2,25384, 193852, 54.62
18-Feb-2020,4433.6,4488.2,4370.1,4475.7, 4470.70,4449.85,4427.69,510062,22583.95,32489, 244366, 47.91
19-Feb-2020,4494.0,4530.0,4455.0,4473.1, 4465.00,4475.7,4477.62,384898,17234.26,38545, 211675, 55.00
20-Feb-2020,4450.0,4508.0,4420.0,4428.1, 4430.00,4473.1,4464.51,414088,18487.0,31796, 205082, 49.53
24-Feb-2020,4415.0,4455.0,4320.0,4395.0, 4402.00,4428.1,4417.84,383261,16931.85,50251, 160204, 41.80
25-Feb-2020,4397.5,4400.0,4330.75,4344.0, 4346.05,4395.0,4356.41,402233,17522.91,48059, 211066, 52.47
26-Feb-2020,4320.25,4423.9,4286.05,4341.5, 4328.60,4344.0,4374.77,642946,28127.39,48852, 242464, 37.71
27-Feb-2020,4332.55,4365.05,4275.35,4321.65, 4331.05,4341.5,4319.84,369157,15946.98,48512, 108433, 29.37
28-Feb-2020,4270.0,4304.15,4200.0,4219.6, 4216.00,4321.65,4234.01,524557,22209.8,48488, 238284, 45.43
02-Mar-2020,4255.0,4316.3,4078.55,4141.7, 4152.00,4219.6,4242.03,378937,16074.63,33251, 121526, 32.07
03-Mar-2020,4179.9,4329.0,4157.55,4299.9, 4314.00,4141.7,4239.2,606056,25691.93,55166, 241418, 39.83
04-Mar-2020,4310.05,4325.0,4117.0,4172.8, 4180.00,4299.9,4198.57,750952,31529.21,62088, 386113, 51.42
05-Mar-2020,4182.05,4230.0,4151.6,4205.55, 4195.00,4172.8,4199.19,450539,18919.0,37854, 200866, 44.58
06-Mar-2020,4092.6,4193.3,4010.0,4167.85, 4168.00,4205.55,4123.45,585749,24153.09,56057, 277027, 47.29
09-Mar-2020,4070.0,4164.55,3995.0,4097.35, 4065.00,4167.85,4104.6,588288,24146.88,67061, 277605, 47.19
11-Mar-2020,4070.0,4111.85,3962.7,3993.4, 4000.00,4097.35,4020.82,776064,31204.15,80483, 378126, 48.72
12-Mar-2020,3890.0,3890.0,3612.5,3663.5, 3660.00,3993.4,3727.08,992102,36976.39,95183, 475103, 47.89
13-Mar-2020,3470.3,4011.5,3114.0,3788.9, 3786.90,3663.5,3696.73,1378943,50975.79,89556, 807100, 58.53
16-Mar-2020,3650.0,3660.0,3405.0,3518.05, 3520.00,3788.9,3544.5,975878,34590.03,95159, 475473, 48.72
17-Mar-2020,3520.0,3575.0,3454.7,3470.45, 3507.95,3518.05,3513.15,563725,19804.49,63664, 260349, 46.18
18-Mar-2020,3537.9,3537.9,3270.5,3303.55, 3302.95,3470.45,3355.31,790527,26524.62,82155, 421531, 53.32
19-Mar-2020,3139.0,3389.75,2955.6,3166.05, 3195.00,3303.55,3207.73,790263,25349.48,68282, 294823, 37.31
20-Mar-2020,3185.0,3656.8,3140.35,3573.85, 3561.00,3166.05,3420.77,826169,28261.36,70221, 338112, 40.93
23-Mar-2020,3220.0,3290.4,3037.8,3054.85, 3054.90,3573.85,3098.6,883620,27379.84,117405, 549051, 62.14
24-Mar-2020,3100.0,3237.2,2967.45,3018.1, 3030.00,3054.85,3090.84,1105711,34175.79,152781, 529410, 47.88
25-Mar-2020,2968.2,3290.0,2910.0,3228.6, 3155.00,3018.1,3136.61,874546,27431.12,135197, 407933, 46.65
26-Mar-2020,3230.0,3385.0,3153.6,3229.15, 3256.00,3228.6,3238.83,931742,30177.59,97282, 376762, 40.44
27-Mar-2020,3390.0,3390.0,3102.4,3143.6, 3143.60,3229.15,3208.35,471397,15124.05,72500, 148510, 31.50
30-Mar-2020,3116.0,3150.0,3070.0,3085.9, 3089.85,3143.6,3099.79,507698,15737.55,52736, 230623, 45.43
31-Mar-2020,3140.0,3279.05,3100.0,3244.85,3216.0,3085.9,3233.9,637366,20611.75,106980, 367993, 57.74
01-Apr-2020,3245.0,3259.95,3105.25,3140.65,3142.0,3244.85,3154.8,390613,12323.07,35535, 174302, 44.62
03-Apr-2020,3189.0,3191.0,3025.0,3041.6, 3032.95,3140.65,3083.02,406173,12522.39,42250, 138330, 34.06
07-Apr-2020,3184.95,3345.75,3080.25,3279.5, 3274.00,3041.6,3212.5,646709,20775.51,66028, 261103, 40.37
08-Apr-2020,3241.0,3384.85,3197.25,3256.45, 3256.45,3279.5,3285.49,647503,21273.63,64114, 242605, 37.47
09-Apr-2020,3301.0,3389.8,3258.5,3366.05, 3347.10,3256.45,3319.99,501496,16649.61,46539, 136993, 27.32
13-Apr-2020,3347.1,3631.25,3290.6,3466.1, 3486.05,3366.05,3485.79,1107263,38596.82,87581,188021,18.34
15-Apr-2020,3560.0,3674.0,3531.5,3600.15, 3599.80,3466.1,3602.35,1239945,44667.18,81029, 563575, 45.45
16-Apr-2020,3550.0,3565.7,3475.15,3539.1, 3549.85,3600.15,3542.05,617281,21864.41,52363, 268035, 43.42
17-Apr-2020,3654.0,3664.4,3510.85,3534.05, 3537.70,3539.1,3580.11,775287,27756.1,46347, 363563, 46.89
20-Apr-2020,3570.0,3570.0,3490.05,3516.55, 3514.40,3534.05,3519.16,391192,13766.68,32756, 140229, 35.85
21-Apr-2020,3469.0,3470.0,3376.05,3403.25,3406.0,3516.55,3419.28,533462,18240.55,47257, 285140, 53.45
22-Apr-2020,3421.0,3457.65,3376.0,3441.15,3437.95,3403.25,3424.76,944453,32345.21,52738, 590900, 62.57
23-Apr-2020,3435.0,3470.0,3406.0,3442.2,3458.0,3441.15,3447.43,977203,33688.41,49673, 666397, 68.19
24-Apr-2020,3410.0,3440.0,3292.8,3307.95,3300.0,3442.2,3339.28,624104,20840.57,56907, 256451, 41.09
27-Apr-2020,3336.0,3370.0,3316.35,3360.65, 3365.45,3307.95,3345.8,444246,14863.59,26925, 221673, 49.90
28-Apr-2020,3412.0,3431.0,3365.5,3394.0, 3398.15,3360.65,3397.17,767800,26083.46,26269, 440234, 57.34
29-Apr-2020,3360.1,3453.8,3360.1,3434.35,3445.95,3394.0,3427.79,393834,13499.82,47609, 166108, 42.18
30-Apr-2020,3470.0,3565.95,3446.15,3534.3,3532.0,3434.35,3515.71,854108,30027.95,72048, 407077, 47.66
04-May-2020,3431.0,3461.7,3326.05,3347.6, 3340.30,3534.3,3368.13,519186,17486.86,43979, 266013, 51.24
05-May-2020,3395.0,3395.0,3274.0,3284.35, 3287.00,3347.6,3340.36,387071,12929.56,40993, 96403, 24.91
06-May-2020,3300.0,3389.5,3247.15,3324.4, 3350.00,3284.35,3331.43,374625,12480.36,33786, 76808, 20.50
07-May-2020,3323.95,3378.0,3231.0,3252.85, 3255.80,3324.4,3270.26,473677,15490.46,37159, 192750, 40.69
08-May-2020,3294.0,3325.0,3271.05,3305.8, 3320.00,3252.85,3296.77,421623,13899.95,34752, 122786, 29.12
11-May-2020,3355.0,3450.0,3330.1,3360.75, 3360.00,3305.8,3400.93,483889,16456.71,40801, 134512, 27.80
12-May-2020,3344.0,3405.5,3275.55,3349.35, 3345.95,3360.75,3334.95,557262,18584.4,42480, 176677, 31.70
13-May-2020,3450.0,3580.0,3450.0,3546.7,3563.95,3349.35,3523.77,1225498,43183.73,99861, 352346, 28.75
14-May-2020,3512.0,3633.8,3491.0,3609.5,3590.0,3546.7,3567.41,974743,34773.11,72243, 334080, 34.27
15-May-2020,3629.0,3629.0,3547.85,3583.15,3571.5,3609.5,3583.32,645207,23119.82,51338, 183679, 28.47
18-May-2020,3584.4,3588.85,3281.1,3307.8, 3325.35,3583.15,3408.94,817697,27874.84,80992, 370629, 45.33
19-May-2020,3370.0,3493.0,3335.25,3438.15,3445.0,3307.8,3428.76,1012173,34705.0,79286, 418319, 41.33
20-May-2020,3449.95,3599.85,3435.0,3528.5, 3545.55,3438.15,3516.65,1042217,36651.09,76531, 171142, 16.42
21-May-2020,3588.0,3590.0,3496.35,3571.5,3561.0,3528.5,3546.36,710536,25198.15,58174, 230515, 32.44
22-May-2020,3550.0,3668.0,3530.0,3638.95,3645.5,3571.5,3611.84,1021158,36882.57,70977, 186237, 18.24
26-May-2020,3665.0,3847.0,3657.4,3786.0, 3773.05,3638.95,3785.51,1409108,53341.91,102099, 349104, 24.77
27-May-2020,3801.0,3808.0,3691.0,3727.4,3731.4,3786.0,3723.2,826875,30786.18,71264, 347018, 41.97
28-May-2020,3729.0,3820.0,3716.05,3809.2,3805.3,3727.4,3772.12,603416,22761.57,54741, 197751, 32.77
29-May-2020,3809.0,3940.0,3794.85,3904.85, 3875.00,3809.2,3886.53,1947052,75672.82,83324, 1191554, 61.20
01-Jun-2020,3905.0,3955.0,3801.0,3815.7, 3820.00,3904.85,3886.43,742238,28846.6,62071, 280562, 37.80
02-Jun-2020,3837.0,3854.0,3770.0,3834.25,3843.05,3815.7,3821.21,734563,28069.21,61426, 254104, 34.59
03-Jun-2020,3889.95,3920.0,3844.05,3855.9,3853.0,3834.25,3867.91,493711,19096.3,41732, 164803, 33.38
04-Jun-2020,3831.0,3870.65,3731.55,3803.9,3786.0,3855.9,3793.97,807841,30649.28,50627, 297650, 36.85
05-Jun-2020,3812.0,3928.5,3805.0,3869.55, 3881.45,3803.9,3878.42,697747,27061.56,45987, 167409, 23.99
08-Jun-2020,3910.0,3910.0,3761.7,3778.2, 3785.00,3869.55,3833.93,547499,20990.7,41293, 235429, 43.00
09-Jun-2020,3805.0,3834.9,3754.8,3791.35, 3799.00,3778.2,3796.03,478720,18172.34,44433, 178997, 37.39
10-Jun-2020,3825.0,3864.85,3780.0,3792.45, 3799.95,3791.35,3828.45,475926,18220.59,35709, 130764, 27.48
11-Jun-2020,3789.9,3819.95,3688.0,3704.9, 3706.00,3792.45,3749.57,475582,17832.26,44796, 180481, 37.95
12-Jun-2020,3600.0,3805.0,3600.0,3788.55, 3782.00,3704.9,3713.87,592692,22011.79,42896, 188974, 31.88
15-Jun-2020,3726.45,3768.65,3688.0,3744.8,3735.0,3788.55,3729.82,440266,16421.12,29306, 132486, 30.09
16-Jun-2020,3785.0,3830.3,3734.4,3779.95, 3769.85,3744.8,3791.52,622735,23611.1,42870, 217768, 34.97
17-Jun-2020,3760.0,3845.0,3712.0,3809.2,3812.0,3779.95,3799.68,430612,16361.89,40997, 139329, 32.36
18-Jun-2020,3799.7,3882.0,3777.0,3844.25,3849.0,3809.2,3841.46,348706,13395.42,27419, 105776, 30.33
19-Jun-2020,3859.25,3904.45,3813.1,3836.35, 3824.10,3844.25,3852.0,556285,21428.12,36425, 269319, 48.41
22-Jun-2020,3836.35,3847.45,3790.65,3825.25, 3829.90,3836.35,3819.12,329145,12570.44,25923, 113101, 34.36
23-Jun-2020,3847.0,3954.0,3833.65,3942.8, 3920.00,3825.25,3910.33,563658,22040.89,36636, 208619, 37.01
24-Jun-2020,3982.8,4016.0,3806.45,3821.6,3828.0,3942.8,3914.77,501886,19647.71,42376, 118152, 23.54
25-Jun-2020,3814.8,3875.0,3781.75,3802.35, 3799.85,3821.6,3829.36,395771,15155.49,35227, 140681, 35.55
26-Jun-2020,3835.0,3874.0,3780.0,3860.6, 3870.00,3802.35,3839.91,373568,14344.67,34355, 145230, 38.88
29-Jun-2020,3839.95,3840.0,3757.0,3807.0, 3812.00,3860.6,3797.14,692124,26280.9,54062, 358866, 51.85
30-Jun-2020,3822.0,3904.35,3822.0,3893.55, 3890.40,3807.0,3881.0,494113,19176.52,46690, 193421, 39.15
01-Jul-2020,3888.0,3933.95,3862.1,3898.6, 3892.70,3893.55,3895.67,331198,12902.38,28596, 100531, 30.35
02-Jul-2020,3911.0,3947.0,3882.0,3914.95, 3920.00,3898.6,3914.02,294329,11520.1,24895, 125542, 42.65
03-Jul-2020,3926.0,3960.0,3875.0,3889.6, 3908.00,3914.95,3904.13,257664,10059.55,18286, 82144, 31.88
06-Jul-2020,3920.0,3944.7,3904.5,3930.9, 3940.00,3889.6,3928.52,254346,9992.04,23807, 99912, 39.28
07-Jul-2020,3940.0,3947.85,3826.5,3862.0, 3856.90,3930.9,3859.56,452430,17461.8,52503, 208472, 46.08
08-Jul-2020,3884.95,3884.95,3776.8,3786.65,3789.95,3862.0,3808.09,635619,24204.96,52303, 279377, 43.95
09-Jul-2020,3802.0,3858.75,3767.05,3843.45, 3846.05,3786.65,3832.26,524030,20082.19,34540, 174605, 33.32
10-Jul-2020,3835.05,3844.7,3783.0,3798.5,3802.0,3843.45,3805.34,336838,12817.83,33554, 168344, 49.98
13-Jul-2020,3820.0,3837.8,3778.0,3787.9, 3790.00,3798.5,3801.49,302967,11517.26,26259, 135239, 44.64
14-Jul-2020,3784.8,3820.8,3744.0,3770.9,3775.0,3787.9,3773.0,351720,13270.39,24629, 163775, 46.56
15-Jul-2020,3782.2,3829.95,3772.0,3820.65,3823.0,3770.9,3809.13,274207,10444.9,22562, 120331, 43.88
16-Jul-2020,3824.95,3834.0,3735.0,3816.25, 3812.00,3820.65,3787.2,412522,15623.04,30651, 140180, 33.98
17-Jul-2020,3820.0,3869.0,3812.2,3862.85, 3860.00,3816.25,3853.02,237486,9150.37,18484, 107520, 45.27
20-Jul-2020,3863.1,3890.0,3826.95,3865.1, 3864.40,3862.85,3863.98,277775,10733.17,32568, 117514, 42.31
21-Jul-2020,3899.0,3955.0,3850.0,3863.3, 3875.00,3865.1,3906.71,614204,23995.19,42322, 305888, 49.80
22-Jul-2020,3880.0,3905.0,3837.9,3862.65, 3860.00,3863.3,3874.64,433237,16786.38,39375, 228534, 52.75
23-Jul-2020,3862.65,3890.0,3826.05,3837.9, 3851.00,3862.65,3864.09,264268,10211.55,21803, 106296, 40.22
24-Jul-2020,3839.0,3839.05,3735.35,3782.5,3779.5,3837.9,3773.55,594689,22440.89,36875, 333419, 56.07
27-Jul-2020,3790.1,3901.0,3781.0,3860.1,3870.0,3782.5,3848.64,499750,19233.6,40117, 142474, 28.51
