date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,585.0,589.5,580.7,588.25, 589.00,584.5,585.76,720807,4222.2,10631, 103653, 14.38
02-Jan-2020,589.5,597.2,584.2,595.45, 595.00,588.25,592.92,1388201,8230.92,28402, 408803, 29.45
03-Jan-2020,591.5,594.2,587.3,590.75, 591.40,595.45,590.82,1063950,6286.08,25690, 469433, 44.12
06-Jan-2020,589.0,589.0,579.0,584.95, 583.45,590.75,583.91,1218216,7113.26,27212, 472989, 38.83
07-Jan-2020,584.95,604.0,583.05,595.05, 595.00,584.95,597.23,4247207,25365.78,48776, 498229, 11.73
08-Jan-2020,585.75,603.0,584.6,600.85, 601.00,595.05,594.8,2090846,12436.37,37085, 563726, 26.96
09-Jan-2020,602.0,614.9,598.25,604.55, 604.55,600.85,606.79,2795225,16961.1,43182, 783655, 28.04
10-Jan-2020,607.0,608.5,595.05,600.3, 602.90,604.55,601.46,1921690,11558.2,26710, 722423, 37.59
13-Jan-2020,604.0,605.75,590.0,591.95, 593.20,600.3,594.76,2174995,12936.0,31145, 930907, 42.80
14-Jan-2020,593.2,594.9,579.2,583.55, 585.20,591.95,585.3,2911749,17042.41,57129, 1506322, 51.73
15-Jan-2020,584.0,589.5,573.8,585.8, 585.45,583.55,581.18,3419279,19872.2,41504, 1558819, 45.59
16-Jan-2020,587.1,591.8,582.1,588.1, 587.10,585.8,586.8,1705322,10006.76,27873, 583492, 34.22
17-Jan-2020,589.95,597.35,585.9,589.25, 587.50,588.1,592.23,1813763,10741.66,38673, 637490, 35.15
20-Jan-2020,590.0,590.85,580.55,584.6, 585.50,589.25,585.28,2425877,14198.15,35711, 1609411, 66.34
21-Jan-2020,582.8,582.8,572.2,577.7, 578.00,584.6,577.88,4789489,27677.55,55347, 3325848, 69.44
22-Jan-2020,582.85,582.85,553.4,562.95, 560.45,577.7,565.54,7453773,42154.12,109927, 1590779, 21.34
23-Jan-2020,560.0,564.55,540.3,542.2, 540.50,562.95,549.04,4533870,24892.93,92824, 1997359, 44.05
24-Jan-2020,541.0,564.5,541.0,543.3,544.9,542.2,552.65,8132638,44945.03,104732, 1349896, 16.60
27-Jan-2020,545.4,550.1,535.0,537.25, 538.00,543.3,542.33,4285510,23241.7,81562, 1563623, 36.49
28-Jan-2020,538.25,548.0,533.2,536.95, 537.00,537.25,541.1,4042406,21873.51,71834, 750500, 18.57
29-Jan-2020,543.9,545.9,537.05,542.15, 541.80,536.95,541.81,2182366,11824.22,36513, 626751, 28.72
30-Jan-2020,541.95,551.35,539.1,544.15, 543.00,542.15,544.53,3514667,19138.34,75088, 1196363, 34.04
31-Jan-2020,547.45,549.0,525.0,526.55, 526.80,544.15,532.04,4340034,23090.5,77148, 1479279, 34.08
03-Feb-2020,506.75,517.5,505.0,513.3, 513.90,503.65,511.82,3012267,15417.36,56906, 1042686, 34.61
04-Feb-2020,516.95,525.95,515.0,522.6, 522.00,513.3,521.13,2253175,11741.96,33985, 896400, 39.78
05-Feb-2020,525.1,542.3,521.55,537.45, 537.00,522.6,535.66,3105094,16632.83,47677, 673937, 21.70
06-Feb-2020,537.05,545.2,533.6,536.85, 536.90,537.45,538.96,2052126,11060.14,34289, 700819, 34.15
07-Feb-2020,539.0,555.45,538.3,543.1, 544.00,536.85,547.92,5702296,31244.01,78896, 1001687, 17.57
10-Feb-2020,570.3,579.6,555.7,574.1, 569.00,543.1,569.02,15352223,87356.59,189528, 1722842, 11.22
11-Feb-2020,574.4,584.8,569.9,576.65, 578.45,574.1,578.32,5097454,29479.36,89680, 1454136, 28.53
12-Feb-2020,578.45,583.0,570.45,573.9, 572.90,576.65,577.15,3277025,18913.27,53561, 1247595, 38.07
13-Feb-2020,572.0,582.9,562.9,578.75, 580.20,573.9,576.16,2902199,16721.39,44932, 1225882, 42.24
14-Feb-2020,579.6,601.4,578.1,591.65, 593.00,578.75,591.5,6213486,36752.51,76319, 1804031, 29.03
17-Feb-2020,593.0,599.8,591.15,595.0, 595.20,591.65,595.31,2418399,14396.95,38912, 835341, 34.54
18-Feb-2020,592.0,592.0,574.0,585.2, 584.85,595.0,583.12,2972328,17332.23,53231, 1363623, 45.88
19-Feb-2020,589.9,593.85,581.3,585.2, 585.00,585.2,584.98,2843587,16634.5,34916, 1163934, 40.93
20-Feb-2020,586.0,596.25,580.7,584.35, 585.50,585.2,589.63,1802988,10631.0,29158, 472917, 26.23
24-Feb-2020,586.95,590.75,570.1,573.25, 575.00,584.35,580.25,1975289,11461.58,34800, 642994, 32.55
25-Feb-2020,573.3,577.65,562.1,566.35, 569.40,573.25,567.11,2912488,16516.99,34684, 987253, 33.90
26-Feb-2020,565.8,569.8,556.0,563.0, 561.55,566.35,561.44,2885119,16198.1,50161, 1137980, 39.44
27-Feb-2020,561.55,561.55,548.85,550.85, 550.50,563.0,553.4,1668088,9231.26,34742, 385524, 23.11
28-Feb-2020,543.0,546.6,514.0,519.7, 524.90,550.85,527.53,2974535,15691.7,49412, 1107045, 37.22
02-Mar-2020,527.0,541.6,509.6,514.35, 512.65,519.7,528.91,1907596,10089.52,29665, 524224, 27.48
03-Mar-2020,519.9,526.65,512.55,521.55, 521.25,514.35,520.2,2499968,13004.87,45621, 795272, 31.81
04-Mar-2020,525.0,533.6,498.1,511.6, 510.25,521.55,515.63,4037644,20819.4,61101, 1262705, 31.27
05-Mar-2020,518.9,529.0,513.0,516.05, 516.00,511.6,522.4,2794208,14596.92,65897, 823819, 29.48
06-Mar-2020,499.0,516.85,491.35,513.6, 513.35,516.05,506.95,3567046,18083.05,70373, 1731476, 48.54
09-Mar-2020,504.65,519.9,494.65,513.0, 509.45,513.6,505.73,4467786,22594.75,99364, 1657755, 37.10
11-Mar-2020,498.55,523.45,497.6,516.95, 517.00,513.0,515.6,5659075,29178.17,101584, 2369332, 41.87
12-Mar-2020,504.55,520.4,434.8,443.6, 450.00,516.95,475.1,8133221,38641.14,121804, 3185691, 39.17
13-Mar-2020,428.0,438.0,377.1,410.85, 411.90,443.6,411.43,9712611,39960.14,216029, 4406039, 45.36
16-Mar-2020,392.3,394.95,373.5,376.8, 374.80,410.85,383.1,5282609,20237.53,97972, 2080209, 39.38
17-Mar-2020,370.0,379.95,343.1,350.85, 350.55,376.8,364.78,9227987,33661.98,131877, 3373526, 36.56
18-Mar-2020,360.0,363.95,314.6,321.85, 324.70,350.85,339.07,5545883,18804.27,93308, 2409809, 43.45
19-Mar-2020,301.2,313.3,293.0,296.75, 295.00,321.85,305.65,7227501,22090.85,102275, 3633713, 50.28
20-Mar-2020,294.0,320.65,287.0,300.15, 300.00,296.75,305.83,7465488,22832.02,126524, 3993495, 53.49
23-Mar-2020,270.15,283.0,240.15,254.6, 254.45,300.15,267.34,3029255,8098.31,71544, 1485095, 49.03
24-Mar-2020,265.5,277.0,249.5,262.05, 263.00,254.6,266.67,4168346,11115.64,87812, 1677588, 40.25
25-Mar-2020,257.0,301.35,252.0,292.8, 292.00,262.05,279.18,3838980,10717.55,63549, 1536968, 40.04
26-Mar-2020,298.0,330.8,290.2,312.55, 310.55,292.8,314.71,5887832,18529.76,94076, 1416611, 24.06
27-Mar-2020,327.6,336.0,315.3,322.2, 324.55,312.55,323.98,4833123,15658.37,92284, 1702506, 35.23
