date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,706.0,713.55,698.0,699.2, 699.25,708.6,702.18,75101,527.34,3510, 42741, 56.91
02-Jan-2020,702.65,711.4,698.85,706.1, 705.55,699.2,707.55,102604,725.97,6163, 76513, 74.57
03-Jan-2020,704.1,709.5,699.1,702.4, 704.00,706.1,703.61,90903,639.6,8559, 61821, 68.01
06-Jan-2020,702.0,702.0,684.75,699.85, 701.00,702.4,696.57,67054,467.08,2979, 39357, 58.69
07-Jan-2020,696.05,704.25,689.75,693.4, 690.90,699.85,695.05,114262,794.17,6926, 73134, 64.01
08-Jan-2020,690.0,710.0,686.75,702.6, 704.00,693.4,699.82,153723,1075.78,10164, 106489, 69.27
09-Jan-2020,708.0,722.0,704.85,715.75, 715.50,702.6,713.35,148382,1058.49,10655, 87621, 59.05
10-Jan-2020,716.0,745.0,716.0,734.85, 740.00,715.75,733.86,315782,2317.39,11964, 171546, 54.32
13-Jan-2020,741.4,749.65,731.65,735.4, 739.00,734.85,738.11,141473,1044.22,7324, 99197, 70.12
14-Jan-2020,740.0,742.0,720.0,736.1, 737.60,735.4,730.36,90440,660.53,10994, 51103, 56.50
15-Jan-2020,737.6,754.8,731.25,739.3, 740.00,736.1,747.18,198412,1482.5,8657, 134153, 67.61
16-Jan-2020,741.0,752.0,729.55,745.1, 752.00,739.3,740.16,71207,527.05,6260, 42459, 59.63
17-Jan-2020,746.4,764.0,746.4,751.7, 751.00,745.1,756.03,190164,1437.69,12646, 125589, 66.04
20-Jan-2020,751.0,771.0,745.5,761.45, 762.65,751.7,760.18,184445,1402.11,9421, 119738, 64.92
21-Jan-2020,763.0,792.0,761.8,788.1, 786.20,761.45,781.33,421368,3292.26,23086, 264580, 62.79
22-Jan-2020,794.8,804.0,777.05,794.55, 794.05,788.1,794.71,345344,2744.49,15193, 210062, 60.83
23-Jan-2020,796.5,853.0,791.15,836.65, 840.00,794.55,818.66,639734,5237.24,24091, 355738, 55.61
24-Jan-2020,837.0,853.9,837.0,849.7,849.0,836.65,849.05,233960,1986.44,14175, 148180, 63.34
27-Jan-2020,847.9,870.0,845.0,848.35, 846.00,849.7,859.43,220113,1891.71,14557, 136226, 61.89
28-Jan-2020,841.25,847.95,810.0,831.8, 827.00,848.35,828.88,129689,1074.96,14307, 53058, 40.91
29-Jan-2020,833.35,839.85,783.7,808.1, 813.00,831.8,805.41,167598,1349.85,10954, 69793, 41.64
30-Jan-2020,810.0,819.0,750.0,754.6, 757.00,808.1,766.4,309312,2370.58,18756, 147510, 47.69
