date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,246.5,248.65,246.2,247.7, 247.65,245.8,247.76,1413866,3502.93,14240, 288194, 20.38
02-Jan-2020,246.6,249.9,246.35,248.3, 248.35,247.7,248.39,1443966,3586.71,19476, 592368, 41.02
03-Jan-2020,249.5,252.7,247.35,251.1, 251.00,248.3,250.99,3381404,8486.89,38677, 801622, 23.71
06-Jan-2020,251.0,254.45,250.15,252.15, 251.95,251.1,252.4,4566695,11526.37,42374, 1618322, 35.44
07-Jan-2020,253.25,256.35,250.2,255.2, 255.00,252.15,254.01,4402787,11183.3,39798, 1499975, 34.07
08-Jan-2020,254.0,256.15,252.55,254.8, 254.60,255.2,254.57,2794410,7113.76,33853, 975070, 34.89
09-Jan-2020,254.25,256.5,252.65,253.65, 255.00,254.8,254.33,2495023,6345.52,28366, 885016, 35.47
10-Jan-2020,253.95,255.2,251.0,251.75, 251.95,253.65,253.15,2056577,5206.22,31607, 827981, 40.26
13-Jan-2020,254.0,257.9,252.85,254.8, 255.30,251.75,255.37,6963599,17782.62,56180, 2651477, 38.08
14-Jan-2020,256.85,258.35,254.55,257.2, 256.00,254.8,256.53,7296777,18718.5,62567, 2040677, 27.97
15-Jan-2020,254.0,256.0,246.6,248.25, 248.20,257.2,248.86,10140451,25235.42,82450, 2235509, 22.05
16-Jan-2020,248.0,252.6,247.0,250.45, 250.30,248.25,250.14,8811836,22041.92,63303, 4702404, 53.36
17-Jan-2020,252.0,253.9,249.65,251.1, 250.85,250.45,251.84,4140818,10428.22,38092, 1785570, 43.12
20-Jan-2020,250.8,250.8,247.2,248.0, 248.20,251.1,248.48,1908583,4742.51,19877, 541644, 28.38
21-Jan-2020,247.9,248.2,246.0,247.1, 246.85,248.0,247.13,1507942,3726.61,26134, 599581, 39.76
22-Jan-2020,248.6,251.95,245.4,245.85, 246.40,247.1,247.89,3400424,8429.48,51607, 1348075, 39.64
23-Jan-2020,246.45,249.1,245.35,248.7, 248.95,245.85,247.73,1696544,4202.83,30500, 741567, 43.71
24-Jan-2020,248.65,249.45,246.25,247.6,247.75,248.7,248.0,1710777,4242.7,23039, 593224, 34.68
27-Jan-2020,247.9,247.9,244.75,245.35, 245.20,247.6,245.52,1653497,4059.69,19616, 692324, 41.87
28-Jan-2020,245.9,246.1,241.8,244.05, 244.00,245.35,243.42,2136181,5199.84,38147, 812178, 38.02
