symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
3MINDIA,EQ,-,10,Dividend - Rs 160 Per Share & Special Dividend - Rs 375,25-Jul-2025,25-Jul-2025,-,-,-,3M India Limited,INE470A01017,-,
3MINDIA,EQ,-,10,Special Dividend - Rs 525 Per Share/ Dividend - Rs 160 Per Share,05-Jul-2024,05-Jul-2024,-,-,-,3M India Limited,INE470A01017,-,
3MINDIA,EQ,-,10,Dividend - Rs 100 Per Share,26-Jul-2023,26-Jul-2023,-,-,-,3M India Limited,INE470A01017,-,
3MINDIA,EQ,-,10,Specia Ldividend - Rs 850 Per Share,21-Nov-2022,22-Nov-2022,-,-,-,3M India Limited,INE470A01017,-,
3MINDIA,EQ,-,10,Annual General Meeting,17-Aug-2022,-,19-Aug-2022,25-Aug-2022,-,3M India Limited,INE470A01017,-,
3MINDIA,EQ,-,10, Annual General Meeting,18-Aug-2021,-,21-Aug-2021,26-Aug-2021,-,3M India Limited,INE470A01017,-,
3MINDIA,EQ,-,10, Annual General Meeting,19-Aug-2020,-,21-Aug-2020,26-Aug-2020,-,3M India Limited,INE470A01017,-,
3MINDIA,EQ,-,10, Annual General Meeting,08-Aug-2019,-,10-Aug-2019,14-Aug-2019,-,3M India Limited,INE470A01017,-,
3MINDIA,EQ,-,10, Annual General Meeting,02-Aug-2018,-,04-Aug-2018,10-Aug-2018,-,3M India Limited,INE470A01017,-,
3MINDIA,EQ,-,10, Annual General Meeting,03-Aug-2017,-,05-Aug-2017,10-Aug-2017,-,3M India Limited,INE470A01017,-,
3MINDIA,EQ,-,10, Annual General Meeting,28-Jul-2016,-,30-Jul-2016,05-Aug-2016,-,3M India Limited,INE470A01017,-,
3MINDIA,EQ,-,10,Annual General Meeting,27-Jul-2015,-,29-Jul-2015,04-Aug-2015,-,3M India Limited,INE470A01017,-,
3MINDIA,EQ,-,10,Annual General Meeting,24-Jul-2014,-,28-Jul-2014,04-Aug-2014,-,3M India Limited,INE470A01017,-,
3MINDIA,EQ,-,10,Annual General Meeting,15-Jul-2013,-,17-Jul-2013,23-Jul-2013,-,3M India Limited,INE470A01017,-,
3MINDIA,EQ,-,10,Annual General Meeting,18-Jul-2012,-,20-Jul-2012,26-Jul-2012,-,3M India Limited,INE470A01017,-,
3MINDIA,EQ,-,10,Annual General Meeting,20-Jul-2011,-,22-Jul-2011,28-Jul-2011,-,3M India Limited,INE470A01017,-,
3MINDIA,EQ,-,10,Annual General Meeting,16-Jul-2010,-,20-Jul-2010,26-Jul-2010,-,3M India Limited,INE470A01017,-,
3MINDIA,EQ,-,10,Annual General Meeting,21-Apr-2009,-,23-Apr-2009,29-Apr-2009,-,3M India Limited,INE470A01017,-,
3MINDIA,EQ,-,10,Annual General Meeting,17-Apr-2008,-,22-Apr-2008,28-Apr-2008,-,3M India Limited,INE470A01017,-,
3MINDIA,EQ,-,10,Agm,19-Apr-2007,-,21-Apr-2007,27-Apr-2007,-,3M India Limited,INE470A01017,-,
