symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
ABB,EQ,-,2,Interim Dividend - Rs 9.77 Per Share,08-Aug-2025,08-Aug-2025,-,-,-,ABB India Limited,INE117A01022,-,
ABB,EQ,-,2,Dividend - Rs 33.50 Per Share,02-May-2025,03-May-2025,-,-,-,ABB India Limited,INE117A01022,-,
ABB,EQ,-,2,Interim Dividend - Rs 10.66 Per Share,23-Aug-2024,23-Aug-2024,-,-,-,ABB India Limited,INE117A01022,-,
ABB,EQ,-,2,Annual General Meeting/Dividend - Rs 23.80 Per Share,03-May-2024,-,05-May-2024,11-May-2024,-,ABB India Limited,INE117A01022,-,
ABB,EQ,-,2,Special Dividend - Rs  5.50 Per Share,25-Aug-2023,25-Aug-2023,-,-,-,ABB India Limited,INE117A01022,-,
ABB,EQ,-,2,Annual General Meeting/Dividend - Rs 5.50 Per Share,27-Apr-2023,-,28-Apr-2023,04-May-2023,-,ABB India Limited,INE117A01022,-,
ABB,EQ,-,2,Annual General Meeting/Dividend - Rs 5.20 Per Share,27-Apr-2022,-,29-Apr-2022,05-May-2022,-,ABB India Limited,INE117A01022,-,
ABB,EQ,-,2, Annual General Meeting/Dividend - Rs 5 Per Share,19-Apr-2021,-,22-Apr-2021,28-Apr-2021,-,ABB India Limited,INE117A01022,-,
ABB,EQ,-,2, Annual General Meeting/Dividend - Rs 4.80 Per Share,16-Jul-2020,-,18-Jul-2020,24-Jul-2020,-,ABB India Limited,INE117A01022,-,
ABB,EQ,-,2, Demerger,20-Dec-2019,23-Dec-2019,-,-,-,ABB India Limited,INE117A01022,-,
ABB,EQ,-,2, Annual General Meeting/Dividend - Rs 4.80 Per Share,26-Apr-2019,-,02-May-2019,08-May-2019,-,ABB India Limited,INE117A01022,-,
ABB,EQ,-,2, Annual General Meeting/ Dividend - Rs 4.40 Per Share,27-Apr-2018,-,03-May-2018,09-May-2018,-,ABB India Limited,INE117A01022,-,
ABB,EQ,-,2, Annual General Meeting/Dividend - Rs 4/- Per Share,28-Apr-2017,-,03-May-2017,09-May-2017,-,ABB India Limited,INE117A01022,-,
ABB,EQ,-,2, Annual General Meeting/Dividend - Rs 3.70 Per Share,13-Apr-2016,-,20-Apr-2016,26-Apr-2016,-,ABB India Limited,INE117A01022,-,
ABB,EQ,-,2,Annual General Meeting / Dividend - Rs 3.70/- Per Share,28-Apr-2015,-,30-Apr-2015,06-May-2015,-,ABB India Limited,INE117A01022,-,
ABB,EQ,-,2,Annual General Meeting/Dividend Rs 3/- Per Share,25-Apr-2014,-,29-Apr-2014,05-May-2014,-,ABB India Limited,INE117A01022,-,
ABB,EQ,-,2,Annual General Meeting And Dividend Rs.3/- Per Share,30-Apr-2013,-,03-May-2013,09-May-2013,-,ABB India Limited,INE117A01022,-,
ABB,EQ,-,2,Annual General Meeting And Dividend Rs.3/- Per Share,02-May-2012,-,04-May-2012,10-May-2012,-,ABB India Limited,INE117A01022,-,
ABB,EQ,-,2,Annual General Meeting And Dividend - Rs.2/- Per Share,02-May-2011,-,04-May-2011,10-May-2011,-,ABB India Limited,INE117A01022,-,
ABB,EQ,-,2,Agm/Div-Rs.2/- Per Share,03-May-2010,-,05-May-2010,11-May-2010,-,ABB India Limited,INE117A01022,-,
