symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
ADANIENT,EQ,-,1,Rights 3:25 @ Premium Rs 1799/-,17-Nov-2025,17-Nov-2025,-,-,-,Adani Enterprises Limited,INE423A01024,-,
ADANIENT,EQ,-,1,Dividend - Rs 1.30 Per Share,13-Jun-2025,13-Jun-2025,-,-,-,Adani Enterprises Limited,INE423A01024,-,
ADANIENT,EQ,-,1,Dividend - Rs 1.30 Per Share,14-Jun-2024,14-Jun-2024,-,-,-,Adani Enterprises Limited,INE423A01024,-,
ADANIENT,EQ,-,1,Dividend - Rs 1.20 Per Share,07-Jul-2023,07-Jul-2023,-,-,-,Adani Enterprises Limited,INE423A01024,-,
ADANIENT,EQ,-,1,Dividend - Re 1 Per Share,14-Jul-2022,15-Jul-2022,-,-,-,Adani Enterprises Limited,INE423A01024,-,
ADANIENT,EQ,-,1, Dividend - Re 1 Per Share,01-Jul-2021,02-Jul-2021,-,-,-,Adani Enterprises Limited,INE423A01024,-,
ADANIENT,EQ,-,1, Annual General Meeting,17-Jun-2020,-,19-Jun-2020,26-Jun-2020,-,Adani Enterprises Limited,INE423A01024,-,
ADANIENT,EQ,-,1, Interim Dividend - Re 1 Per Share,23-Mar-2020,25-Mar-2020,-,-,-,Adani Enterprises Limited,INE423A01024,-,
ADANIENT,EQ,-,1, Annual General Meeting/Dividend - Rs 0.40 Per Share,29-Jul-2019,-,31-Jul-2019,07-Aug-2019,-,Adani Enterprises Limited,INE423A01024,-,
ADANIENT,EQ,-,1, Scheme Of Arrangement,06-Sep-2018,07-Sep-2018,-,-,-,Adani Enterprises Limited,INE423A01024,-,
ADANIENT,EQ,-,1, Annual General Meeting/Dividend Re 0.40 Per Share,27-Jul-2018,-,31-Jul-2018,07-Aug-2018,-,Adani Enterprises Limited,INE423A01024,-,
ADANIENT,EQ,-,1, Scheme Of Arrangement,05-Apr-2018,06-Apr-2018,-,-,-,Adani Enterprises Limited,INE423A01024,-,
ADANIENT,EQ,-,1, Annual General Meeting/Dividend - Re 0.40 Per Share,31-Jul-2017,-,02-Aug-2017,09-Aug-2017,-,Adani Enterprises Limited,INE423A01024,-,
ADANIENT,EQ,-,1, Annual General Meeting,01-Aug-2016,-,03-Aug-2016,10-Aug-2016,-,Adani Enterprises Limited,INE423A01024,-,
ADANIENT,EQ,-,1, Interim Dividend - Re 0.40/- Per Share (Purpose Revised),22-Mar-2016,23-Mar-2016,-,-,-,Adani Enterprises Limited,INE423A01024,-,
ADANIENT,EQ,-,1,Annual General Meeting/ Dividend - Rs 1.40/- Per Share,31-Jul-2015,-,04-Aug-2015,11-Aug-2015,-,Adani Enterprises Limited,INE423A01024,-,
ADANIENT,EQ,-,1,Scheme Of Arrangement,03-Jun-2015,04-Jun-2015,-,-,-,Adani Enterprises Limited,INE423A01024,-,
ADANIENT,EQ,-,1,Annual General Meeting/Dividend Rs 1.40/- Per Share,31-Jul-2014,-,02-Aug-2014,09-Aug-2014,-,Adani Enterprises Limited,INE423A01024,-,
ADANIENT,EQ,-,1,Annual General Meeting And Dividend Rs.1.40 Per Share,30-Jul-2013,-,01-Aug-2013,08-Aug-2013,-,Adani Enterprises Limited,INE423A01024,-,
ADANIENT,EQ,-,1,Annual General Meeting And Dividend Re.1/- Per Share,02-Aug-2012,-,04-Aug-2012,09-Aug-2012,-,Adani Enterprises Limited,INE423A01024,-,
