symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
ADANIPOWER,EQ,-,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,22-Sep-2025,22-Sep-2025,-,-,-,Adani Power Limited,INE814H01011,-,
ADANIPOWER,EQ,-,2,Annual General Meeting,14-Jun-2024,-,18-Jun-2024,25-Jun-2024,-,Adani Power Limited,INE814H01011,-,
ADANIPOWER,EQ,-,2,Annual General Meeting,11-Jul-2023,-,12-Jul-2023,19-Jul-2023,-,Adani Power Limited,INE814H01011,-,
ADANIPOWER,EQ,-,2,Annual General Meeting,18-Jul-2022,-,20-Jul-2022,27-Jul-2022,-,Adani Power Limited,INE814H01011,-,
ADANIPOWER,EQ,-,2, Annual General Meeting,02-Jul-2021,-,06-Jul-2021,13-Jul-2021,-,Adani Power Limited,INE814H01011,-,
ADANIPOWER,EQ,-,2, Annual General Meeting,16-Jun-2020,-,18-Jun-2020,25-Jun-2020,-,Adani Power Limited,INE814H01011,-,
ADANIPOWER,EQ,-,2, Annual General Meeting,30-Jul-2019,-,01-Aug-2019,08-Aug-2019,-,Adani Power Limited,INE814H01011,-,
ADANIPOWER,EQ,-,2, Annual General Meeting,26-Jul-2018,-,30-Jul-2018,06-Aug-2018,-,Adani Power Limited,INE814H01011,-,
ADANIPOWER,EQ,-,2, Annual General Meeting,01-Aug-2017,-,03-Aug-2017,10-Aug-2017,-,Adani Power Limited,INE814H01011,-,
ADANIPOWER,EQ,-,2, Annual General Meeting,29-Jul-2016,-,02-Aug-2016,09-Aug-2016,-,Adani Power Limited,INE814H01011,-,
ADANIPOWER,EQ,-,2,Annual General Meeting,31-Jul-2015,-,04-Aug-2015,11-Aug-2015,-,Adani Power Limited,INE814H01011,-,
ADANIPOWER,EQ,-,2,Annual General Meeting,31-Jul-2014,-,02-Aug-2014,09-Aug-2014,-,Adani Power Limited,INE814H01011,-,
ADANIPOWER,EQ,-,2,Annual General Meeting,30-Jul-2013,-,01-Aug-2013,08-Aug-2013,-,Adani Power Limited,INE814H01011,-,
ADANIPOWER,EQ,-,2,Annual General Meeting,02-Aug-2012,-,04-Aug-2012,09-Aug-2012,-,Adani Power Limited,INE814H01011,-,
ADANIPOWER,EQ,-,2,Annual General Meeting,03-Aug-2011,-,05-Aug-2011,10-Aug-2011,-,Adani Power Limited,INE814H01011,-,
ADANIPOWER,EQ,-,2,Annual General Meeting,12-Aug-2010,-,16-Aug-2010,21-Aug-2010,-,Adani Power Limited,INE814H01011,-,
