symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
AMBUJACEM,EQ,-,2,Dividend - Rs 2 Per Share,13-Jun-2025,13-Jun-2025,-,-,-,Ambuja Cements Limited,INE079A01024,-,
AMBUJACEM,EQ,-,2,Dividend - Rs 2 Per Share,14-Jun-2024,14-Jun-2024,-,-,-,Ambuja Cements Limited,INE079A01024,-,
AMBUJACEM,EQ,-,2,Dividend - Rs 2.50 Per Share,07-Jul-2023,07-Jul-2023,-,-,-,Ambuja Cements Limited,INE079A01024,-,
AMBUJACEM,EQ,-,2,Dividend - Rs 6.30 Per Share,30-Mar-2022,01-Apr-2022,-,-,-,Ambuja Cements Limited,INE079A01024,-,
AMBUJACEM,EQ,-,2, Dividend - Re 1 Per Share,19-Mar-2021,22-Mar-2021,-,-,-,Ambuja Cements Limited,INE079A01024,-,
AMBUJACEM,EQ,-,2, Interim Dividend-Rs 17 Per Share,05-Nov-2020,06-Nov-2020,-,-,-,Ambuja Cements Limited,INE079A01024,-,
AMBUJACEM,EQ,-,2, Interim Dividend - Rs 1.50 Per Share,19-May-2020,20-May-2020,-,-,-,Ambuja Cements Limited,INE079A01024,-,
AMBUJACEM,EQ,-,2, Dividend - Rs 1.50 Per Share,03-Apr-2020,07-Apr-2020,-,-,-,Ambuja Cements Limited,INE079A01024,-,
AMBUJACEM,EQ,-,2, Dividend - Rs 1.50 Per Share,27-Feb-2019,-,01-Mar-2019,08-Mar-2019,-,Ambuja Cements Limited,INE079A01024,-,
AMBUJACEM,EQ,-,2, Dividend - Rs 2 Per Share,05-Apr-2018,-,09-Apr-2018,13-Apr-2018,-,Ambuja Cements Limited,INE079A01024,-,
AMBUJACEM,EQ,-,2, Interim Dividend - Rs 1.60 Per Share,02-Aug-2017,03-Aug-2017,-,-,-,Ambuja Cements Limited,INE079A01024,-,
AMBUJACEM,EQ,-,2, Dividend - Rs 1.20 Per Share,16-Mar-2017,-,20-Mar-2017,24-Mar-2017,-,Ambuja Cements Limited,INE079A01024,-,
AMBUJACEM,EQ,-,2, Interim Dividend - Rs 1.60/- Per Share (Purpose Revised),02-Aug-2016,03-Aug-2016,-,-,-,Ambuja Cements Limited,INE079A01024,-,
AMBUJACEM,EQ,-,2, Final Dividend - Rs 1.20/- Per Share,22-Feb-2016,-,24-Feb-2016,29-Feb-2016,-,Ambuja Cements Limited,INE079A01024,-,
AMBUJACEM,EQ,-,2,Interim Dividend - Rs 1.60/- Per Share (Purpose Revised),31-Jul-2015,03-Aug-2015,-,-,-,Ambuja Cements Limited,INE079A01024,-,
AMBUJACEM,EQ,-,2,Annual General Meeting / Final Dividend - Rs 3.20/- Per Share,02-Mar-2015,-,04-Mar-2015,11-Mar-2015,-,Ambuja Cements Limited,INE079A01024,-,
AMBUJACEM,EQ,-,2,Interim Dividend - Rs 1.80/- Per Share (Purpose Revised),30-Jul-2014,31-Jul-2014,-,-,-,Ambuja Cements Limited,INE079A01024,-,
AMBUJACEM,EQ,-,2,Final Dividend Rs.2.20/- Per Share (Purpose Revised),12-Feb-2014,-,14-Feb-2014,21-Feb-2014,-,Ambuja Cements Limited,INE079A01024,-,
AMBUJACEM,EQ,-,2,Interim Dividend Rs.1.40 Per Share (Purpose Revised),30-Jul-2013,31-Jul-2013,-,-,-,Ambuja Cements Limited,INE079A01024,-,
AMBUJACEM,EQ,-,2,Dividend Rs 2.20 Per Sahre,18-Feb-2013,-,21-Feb-2013,28-Feb-2013,-,Ambuja Cements Limited,INE079A01024,-,
