symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
APOLLOHOSP,EQ,-,5,Dividend - Rs 10 Per Share,19-Aug-2025,19-Aug-2025,-,-,-,Apollo Hospitals Enterprise Limited,INE437A01016,-,
APOLLOHOSP,EQ,-,5,Interim Dividend - Rs 9 Per Share,14-Feb-2025,15-Feb-2025,-,-,-,Apollo Hospitals Enterprise Limited,INE437A01016,-,
APOLLOHOSP,EQ,-,5,Annual General Meeting/Dividend - Rs 10 Per Share,16-Aug-2024,17-Aug-2024,-,-,-,Apollo Hospitals Enterprise Limited,INE437A01016,-,
APOLLOHOSP,EQ,-,5,Interim Dividend - Rs  6 Per Share,20-Feb-2024,20-Feb-2024,-,-,-,Apollo Hospitals Enterprise Limited,INE437A01016,-,
APOLLOHOSP,EQ,-,5,Annual General Meeting/Dividend - Rs 9 Per Share,18-Aug-2023,19-Aug-2023,-,-,-,Apollo Hospitals Enterprise Limited,INE437A01016,-,
APOLLOHOSP,EQ,-,5,Interim Dividend - Rs  6 Per Share,24-Feb-2023,24-Feb-2023,-,-,-,Apollo Hospitals Enterprise Limited,INE437A01016,-,
APOLLOHOSP,EQ,-,5,Annual General Meeting/Dividend - Rs 11.75 Per Share,18-Aug-2022,-,20-Aug-2022,25-Aug-2022,-,Apollo Hospitals Enterprise Limited,INE437A01016,-,
APOLLOHOSP,EQ,-,5, Annual General Meeting/Dividend - Rs 3 Per Share,18-Aug-2021,-,21-Aug-2021,31-Aug-2021,-,Apollo Hospitals Enterprise Limited,INE437A01016,-,
APOLLOHOSP,EQ,-,5, Annual General Meeting/Dividend - Rs 2.75 Per Share,17-Sep-2020,-,19-Sep-2020,25-Sep-2020,-,Apollo Hospitals Enterprise Limited,INE437A01016,-,
APOLLOHOSP,EQ,-,5, Interim Dividend - Rs 3.25 Per Share,25-Feb-2020,26-Feb-2020,-,-,-,Apollo Hospitals Enterprise Limited,INE437A01016,-,
APOLLOHOSP,EQ,-,5, Annual General Meeting/Dividend - Rs 6 Per Share,12-Sep-2019,-,14-Sep-2019,27-Sep-2019,-,Apollo Hospitals Enterprise Limited,INE437A01016,-,
APOLLOHOSP,EQ,-,5, Annual General Meeting/Dividend- Rs 5 Per Share,12-Sep-2018,-,15-Sep-2018,27-Sep-2018,-,Apollo Hospitals Enterprise Limited,INE437A01016,-,
APOLLOHOSP,EQ,-,5, Annual General Meeting/Dividend - Rs 6/- Per Share,07-Sep-2017,-,09-Sep-2017,20-Sep-2017,-,Apollo Hospitals Enterprise Limited,INE437A01016,-,
APOLLOHOSP,EQ,-,5, Interim Dividend - Rs 6/- Per Share (Purpose Revised),22-Mar-2016,23-Mar-2016,-,-,-,Apollo Hospitals Enterprise Limited,INE437A01016,-,
APOLLOHOSP,EQ,-,5,Annual General Meeting/Dividend Rs 5.75 Per Share,30-Jul-2015,-,01-Aug-2015,11-Aug-2015,-,Apollo Hospitals Enterprise Limited,INE437A01016,-,
APOLLOHOSP,EQ,-,5,Annual General Meeting And Dividend Rs.5.75 Per Share,13-Aug-2014,-,19-Aug-2014,25-Aug-2014,-,Apollo Hospitals Enterprise Limited,INE437A01016,-,
APOLLOHOSP,EQ,-,5,Annual General Meeting And Dividend Rs.5.50 Per Share,25-Jul-2013,-,27-Jul-2013,07-Aug-2013,-,Apollo Hospitals Enterprise Limited,INE437A01016,-,
APOLLOHOSP,EQ,-,5,Annual General Meeting/Dividend Rs 4 Per Share,26-Jul-2012,-,28-Jul-2012,09-Aug-2012,-,Apollo Hospitals Enterprise Limited,INE437A01016,-,
APOLLOHOSP,EQ,-,5,Annual General Meeting And Dividend Rs.3.75 Per Share,07-Jul-2011,-,09-Jul-2011,22-Jul-2011,-,Apollo Hospitals Enterprise Limited,INE437A01016,-,
APOLLOHOSP,EQ,-,5,Face Value Split From Rs.10/- To Rs.5/-,02-Sep-2010,03-Sep-2010,-,-,-,Apollo Hospitals Enterprise Limited,INE437A01016,-,
