symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
ASIANPAINT,EQ,-,1,Interim Dividend - Rs 4.50 Per Share,18-Nov-2025,18-Nov-2025,-,-,-,Asian Paints Limited,INE021A01018,-,
ASIANPAINT,EQ,-,1,Dividend - Rs 20.55 Per Share,10-Jun-2025,10-Jun-2025,-,-,-,Asian Paints Limited,INE021A01018,-,
ASIANPAINT,EQ,-,1,Interim Dividend - Rs 4.25 Per Share,19-Nov-2024,19-Nov-2024,-,-,-,Asian Paints Limited,INE021A01018,-,
ASIANPAINT,EQ,-,1,Dividend - Rs 28.15 Per Share,11-Jun-2024,11-Jun-2024,-,-,-,Asian Paints Limited,INE021A01018,-,
ASIANPAINT,EQ,-,1,Interim Dividend - Rs 5.15 Per Share,03-Nov-2023,03-Nov-2023,-,-,-,Asian Paints Limited,INE021A01018,-,
ASIANPAINT,EQ,-,1,Dividend - Rs 21.25 Per Share,09-Jun-2023,09-Jun-2023,-,-,-,Asian Paints Limited,INE021A01018,-,
ASIANPAINT,EQ,-,1,Interim Dividend - Rs 4.40 Per Share,31-Oct-2022,01-Nov-2022,-,-,-,Asian Paints Limited,INE021A01018,-,
ASIANPAINT,EQ,-,1,Dividend - Rs 15.50 Per Share,09-Jun-2022,10-Jun-2022,-,-,-,Asian Paints Limited,INE021A01018,-,
ASIANPAINT,EQ,-,1, Interim Dividend - Rs 3.65 Per Share,28-Oct-2021,29-Oct-2021,-,-,-,Asian Paints Limited,INE021A01018,-,
ASIANPAINT,EQ,-,1, Dividend - Rs 14.50 Per Sh,10-Jun-2021,11-Jun-2021,-,-,-,Asian Paints Limited,INE021A01018,-,
ASIANPAINT,EQ,-,1, Interim Dividend - Rs 3.35 Per Share,28-Oct-2020,30-Oct-2020,-,-,-,Asian Paints Limited,INE021A01018,-,
ASIANPAINT,EQ,-,1, Annual General Meeting/Dividend - Rs  1.50 Per Share,23-Jul-2020,-,25-Jul-2020,05-Aug-2020,-,Asian Paints Limited,INE021A01018,-,
ASIANPAINT,EQ,-,1, Interim Dividend - Rs 7.15 Per Share,03-Mar-2020,04-Mar-2020,-,-,-,Asian Paints Limited,INE021A01018,-,
ASIANPAINT,EQ,-,1, Interim Dividend - Rs 3.35 Per Sh,30-Oct-2019,31-Oct-2019,-,-,-,Asian Paints Limited,INE021A01018,-,
ASIANPAINT,EQ,-,1, Dividend Rs -7.65 Per Share,13-Jun-2019,-,15-Jun-2019,27-Jun-2019,-,Asian Paints Limited,INE021A01018,-,
ASIANPAINT,EQ,-,1, Interim Dividend - Rs 2.85 Per Sh,29-Oct-2018,30-Oct-2018,-,-,-,Asian Paints Limited,INE021A01018,-,
ASIANPAINT,EQ,-,1, Dividend- Rs 6.05 Per Share,14-Jun-2018,-,16-Jun-2018,26-Jun-2018,-,Asian Paints Limited,INE021A01018,-,
ASIANPAINT,EQ,-,1, Interim Dividend - Rs 2.65 Per Share (Purpose Revised),31-Oct-2017,01-Nov-2017,-,-,-,Asian Paints Limited,INE021A01018,-,
ASIANPAINT,EQ,-,1, Annual General Meeting/Dividend Rs 5.65 Per Share + Special Dividend Rs 2/- Per Share,15-Jun-2017,-,17-Jun-2017,27-Jun-2017,-,Asian Paints Limited,INE021A01018,-,
ASIANPAINT,EQ,-,1, Interim Dividend Rs 2.65 Per Share (Purpose Revised),01-Nov-2016,02-Nov-2016,-,-,-,Asian Paints Limited,INE021A01018,-,
