symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
AXISBANK,EQ,-,2,Dividend - Re 1 Per Sh,04-Jul-2025,04-Jul-2025,-,-,-,Axis Bank Limited,INE238A01026,-,
AXISBANK,EQ,-,2,Dividend - Re 1 Per Share,12-Jul-2024,12-Jul-2024,-,-,-,Axis Bank Limited,INE238A01026,-,
AXISBANK,EQ,-,2,Dividend - Re 1 Per Share,07-Jul-2023,07-Jul-2023,-,-,-,Axis Bank Limited,INE238A01026,-,
AXISBANK,EQ,-,2,Dividend - Rs 1 Per Share,07-Jul-2022,08-Jul-2022,-,-,-,Axis Bank Limited,INE238A01026,-,
AXISBANK,EQ,-,2, Annual General Meeting/ Dividend - Re 1 Per Share,04-Jul-2019,-,06-Jul-2019,20-Jul-2019,-,Axis Bank Limited,INE238A01026,-,
AXISBANK,EQ,-,2, Annual General Meeting,31-May-2018,-,02-Jun-2018,20-Jun-2018,-,Axis Bank Limited,INE238A01026,-,
AXISBANK,EQ,-,2, Annual General Meeting/Dividend - Rs 5/- Per Share,06-Jul-2017,-,08-Jul-2017,26-Jul-2017,-,Axis Bank Limited,INE238A01026,-,
AXISBANK,EQ,-,2, Annual General Meeting/ Dividend-Rs 5/- Per Share,07-Jul-2016,-,09-Jul-2016,22-Jul-2016,-,Axis Bank Limited,INE238A01026,-,
AXISBANK,EQ,-,2,Annual General Meeting/Dividend Rs 4.60/- Per Share,09-Jul-2015,-,13-Jul-2015,24-Jul-2015,-,Axis Bank Limited,INE238A01026,-,
AXISBANK,EQ,-,2,Face Value Split From Rs 10/- To Rs 2/- Per Share,28-Jul-2014,30-Jul-2014,-,-,-,Axis Bank Limited,INE238A01026,-,
AXISBANK,EQ,-,2,Annual General Meeting / Dividend Rs.20/- Per Equity Share,12-Jun-2014,-,16-Jun-2014,27-Jun-2014,-,Axis Bank Limited,INE238A01026,-,
AXISBANK,EQ,-,2,Annual General Meeting / Dividend Rs.18/- Per Equity Share,05-Jul-2013,-,09-Jul-2013,19-Jul-2013,-,Axis Bank Limited,INE238A01026,-,
AXISBANK,EQ,-,2,Annual General Meeting And Dividend Rs.16/- Per Share,14-Jun-2012,-,16-Jun-2012,22-Jun-2012,-,Axis Bank Limited,INE238A01026,-,
AXISBANK,EQ,-,2,Annual General Meeting And Dividend Rs.14/- Per Share,08-Jun-2011,-,10-Jun-2011,17-Jun-2011,-,Axis Bank Limited,INE238A01026,-,
AXISBANK,EQ,-,2,Agm/Div-Rs.12/- Per Share,20-May-2010,-,24-May-2010,08-Jun-2010,-,Axis Bank Limited,INE238A01026,-,
AXISBANK,EQ,-,2,Agm/Dividend - 100%,14-May-2009,-,18-May-2009,01-Jun-2009,-,Axis Bank Limited,INE238A01026,-,
AXISBANK,EQ,-,2,Agm/Dividend - 60%,22-May-2008,-,26-May-2008,06-Jun-2008,-,Axis Bank Limited,INE238A01026,-,
AXISBANK,EQ,-,2,Agm/Dividend-45%,17-May-2007,-,21-May-2007,01-Jun-2007,-,Axis Bank Limited,INE238A01026,-,
AXISBANK,EQ,-,2,Agm/Dividend-35%,16-May-2006,-,18-May-2006,02-Jun-2006,-,Axis Bank Limited,INE238A01026,-,
