symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
BAJAJ-AUTO,EQ,-,10,Dividend - Rs 210 Per Share,20-Jun-2025,20-Jun-2025,-,-,-,Bajaj Auto Limited,INE917I01010,-,
BAJAJ-AUTO,EQ,-,10,Dividend - Rs 80 Per Share,14-Jun-2024,14-Jun-2024,-,-,-,Bajaj Auto Limited,INE917I01010,-,
BAJAJ-AUTO,EQ,-,10,Buy Back,29-Feb-2024,29-Feb-2024,-,-,-,Bajaj Auto Limited,INE917I01010,-,
BAJAJ-AUTO,EQ,-,10,Dividend - Rs 140 Per Share,30-Jun-2023,30-Jun-2023,-,-,-,Bajaj Auto Limited,INE917I01010,-,
BAJAJ-AUTO,EQ,-,10,Dividend - Rs 140 Per Share,30-Jun-2022,01-Jul-2022,-,-,-,Bajaj Auto Limited,INE917I01010,-,
BAJAJ-AUTO,EQ,-,10, Annual General Meeting/Dividend - Rs 140 Per Share,08-Jul-2021,-,10-Jul-2021,22-Jul-2021,-,Bajaj Auto Limited,INE917I01010,-,
BAJAJ-AUTO,EQ,-,10, Interim Dividend - Rs 120 Per Share,03-Mar-2020,04-Mar-2020,-,-,-,Bajaj Auto Limited,INE917I01010,-,
BAJAJ-AUTO,EQ,-,10, Annual General Meeting/ Dividend - Rs 60 Per Share,11-Jul-2019,-,13-Jul-2019,26-Jul-2019,-,Bajaj Auto Limited,INE917I01010,-,
BAJAJ-AUTO,EQ,-,10, Annual General Meeting / Dividend- Rs 60 Per Share,05-Jul-2018,-,07-Jul-2018,20-Jul-2018,-,Bajaj Auto Limited,INE917I01010,-,
BAJAJ-AUTO,EQ,-,10, Annual General Meeting/Dividend - Rs 55/- Per Share,06-Jul-2017,-,08-Jul-2017,20-Jul-2017,-,Bajaj Auto Limited,INE917I01010,-,
BAJAJ-AUTO,EQ,-,10, Annual General Meeting/ Dividend - Rs 5/- Per Share,14-Jul-2016,-,16-Jul-2016,27-Jul-2016,-,Bajaj Auto Limited,INE917I01010,-,
BAJAJ-AUTO,EQ,-,10, Interim Dividend - Rs 50/- Per Share (Purpose Revised),16-Mar-2016,17-Mar-2016,-,-,-,Bajaj Auto Limited,INE917I01010,-,
BAJAJ-AUTO,EQ,-,10,Annual General Meeting/Dividend Rs 50/- Per Share,09-Jul-2015,-,11-Jul-2015,23-Jul-2015,-,Bajaj Auto Limited,INE917I01010,-,
BAJAJ-AUTO,EQ,-,10,Annual General Meeting / Dividend - Rs 50/- Per Share,03-Jul-2014,-,05-Jul-2014,17-Jul-2014,-,Bajaj Auto Limited,INE917I01010,-,
BAJAJ-AUTO,EQ,-,10,Annual General Meeting / Dividend - Rs.45/- Per Equity Share,04-Jul-2013,-,06-Jul-2013,19-Jul-2013,-,Bajaj Auto Limited,INE917I01010,-,
BAJAJ-AUTO,EQ,-,10,Annual General Meeting And Dividend - Rs.45/- Per Share,05-Jul-2012,-,07-Jul-2012,18-Jul-2012,-,Bajaj Auto Limited,INE917I01010,-,
BAJAJ-AUTO,EQ,-,10,Annual General Meeting And Dividend Rs.40/- Per Share,29-Jun-2011,-,01-Jul-2011,14-Jul-2011,-,Bajaj Auto Limited,INE917I01010,-,
BAJAJ-AUTO,EQ,-,10,Bonus 1:1,08-Sep-2010,10-Sep-2010,-,-,-,Bajaj Auto Limited,INE917I01010,-,
BAJAJ-AUTO,EQ,-,10,Annual General Meeting / Dividend Rs.40/- Per Share,08-Jul-2010,-,10-Jul-2010,22-Jul-2010,-,Bajaj Auto Limited,INE917I01010,-,
BAJAJ-AUTO,EQ,-,10,Agm/Div.Rs.22/-Per Share,02-Jul-2009,-,04-Jul-2009,16-Jul-2009,-,Bajaj Auto Limited,INE917I01010,-,
