symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
BAJAJFINSV,EQ,-,1,Dividend - Re 1 Per Share,27-Jun-2025,27-Jun-2025,-,-,-,Bajaj Finserv Limited,INE918I01018,-,
BAJAJFINSV,EQ,-,1,Dividend - Re 1 Per Share,21-Jun-2024,21-Jun-2024,-,-,-,Bajaj Finserv Limited,INE918I01018,-,
BAJAJFINSV,EQ,-,1,Dividend - Rs 0.80 Per Share,30-Jun-2023,30-Jun-2023,-,-,-,Bajaj Finserv Limited,INE918I01018,-,
BAJAJFINSV,EQ,-,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,13-Sep-2022,14-Sep-2022,-,-,-,Bajaj Finserv Limited,INE918I01018,-,
BAJAJFINSV,EQ,-,1,Bonus 1:1,13-Sep-2022,14-Sep-2022,-,-,-,Bajaj Finserv Limited,INE918I01018,-,
BAJAJFINSV,EQ,-,1,Dividend - Rs 4 Per Share,30-Jun-2022,01-Jul-2022,-,-,-,Bajaj Finserv Limited,INE918I01018,-,
BAJAJFINSV,EQ,-,1, Annual General Meeting/Dividend - Rs 3 Per Share,08-Jul-2021,-,10-Jul-2021,21-Jul-2021,-,Bajaj Finserv Limited,INE918I01018,-,
BAJAJFINSV,EQ,-,1, Interim Dividend - Rs 5 Per Share,03-Mar-2020,04-Mar-2020,-,-,-,Bajaj Finserv Limited,INE918I01018,-,
BAJAJFINSV,EQ,-,1, Annual General Meeting/ Dividend - Rs 2.50 Per Share,11-Jul-2019,-,13-Jul-2019,25-Jul-2019,-,Bajaj Finserv Limited,INE918I01018,-,
BAJAJFINSV,EQ,-,1, Annual General Meeting / Dividend- Rs 1.75 Per Share,05-Jul-2018,-,07-Jul-2018,19-Jul-2018,-,Bajaj Finserv Limited,INE918I01018,-,
BAJAJFINSV,EQ,-,1, Annual General Meeting/Div-Rs 1.75 Per Share,06-Jul-2017,-,08-Jul-2017,19-Jul-2017,-,Bajaj Finserv Limited,INE918I01018,-,
BAJAJFINSV,EQ,-,1, Interim Dividend - Rs 1.75/- Per Share (Purpose Revised),16-Mar-2016,17-Mar-2016,-,-,-,Bajaj Finserv Limited,INE918I01018,-,
BAJAJFINSV,EQ,-,1,Annual General Meeting/Dividend Rs 1.75 Per Share,09-Jul-2015,-,11-Jul-2015,22-Jul-2015,-,Bajaj Finserv Limited,INE918I01018,-,
BAJAJFINSV,EQ,-,1,Annual General Meeting / Dividend - Rs 1.75/- Per Share,03-Jul-2014,-,05-Jul-2014,16-Jul-2014,-,Bajaj Finserv Limited,INE918I01018,-,
BAJAJFINSV,EQ,-,1,Annual General Meeting / Dividend Rs.1.50/- Per Equity Share,04-Jul-2013,-,06-Jul-2013,18-Jul-2013,-,Bajaj Finserv Limited,INE918I01018,-,
BAJAJFINSV,EQ,-,1,Rights 1:10 @ Premium Rs.645/- Per Share,06-Sep-2012,08-Sep-2012,-,-,-,Bajaj Finserv Limited,INE918I01018,-,
BAJAJFINSV,EQ,-,1,Annual General Meeting And Dividend - Rs.1.50 Per Share,05-Jul-2012,-,07-Jul-2012,17-Jul-2012,-,Bajaj Finserv Limited,INE918I01018,-,
BAJAJFINSV,EQ,-,1,Annual General Meeting And Dividend Rs.1.25 Per Share,29-Jun-2011,-,01-Jul-2011,13-Jul-2011,-,Bajaj Finserv Limited,INE918I01018,-,
BAJAJFINSV,EQ,-,1,Annual General Meeting / Dividend Re. 1 Per Share,08-Jul-2010,-,10-Jul-2010,21-Jul-2010,-,Bajaj Finserv Limited,INE918I01018,-,
BAJAJFINSV,EQ,-,1,Agm/Div-Re.1/- Per Share,02-Jul-2009,-,04-Jul-2009,15-Jul-2009,-,Bajaj Finserv Limited,INE918I01018,-,
