symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
BAJFINANCE,EQ,-,1,Bonus 4:1,16-Jun-2025,16-Jun-2025,-,-,-,Bajaj Finance Limited,INE296A01016,-,
BAJFINANCE,EQ,-,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,16-Jun-2025,16-Jun-2025,-,-,-,Bajaj Finance Limited,INE296A01016,-,
BAJFINANCE,EQ,-,1,Dividend - Rs 44 Per Share,30-May-2025,30-May-2025,-,-,-,Bajaj Finance Limited,INE296A01016,-,
BAJFINANCE,EQ,-,1,Special Dividend - Rs 12 Per Share,09-May-2025,09-May-2025,-,-,-,Bajaj Finance Limited,INE296A01016,-,
BAJFINANCE,EQ,-,1,Dividend - Rs 36 Per Share,21-Jun-2024,21-Jun-2024,-,-,-,Bajaj Finance Limited,INE296A01016,-,
BAJFINANCE,EQ,-,1,Dividend - Rs 30 Per Share,30-Jun-2023,30-Jun-2023,-,-,-,Bajaj Finance Limited,INE296A01016,-,
BAJFINANCE,EQ,-,1,Dividend - Rs 20 Per Share,30-Jun-2022,01-Jul-2022,-,-,-,Bajaj Finance Limited,INE296A01016,-,
BAJFINANCE,EQ,-,1, Annual General Meeting/Dividend - Rs 10 Per Share,08-Jul-2021,-,10-Jul-2021,20-Jul-2021,-,Bajaj Finance Limited,INE296A01016,-,
BAJFINANCE,EQ,-,1, Interim Dividend - Rs 10 Per Share,03-Mar-2020,04-Mar-2020,-,-,-,Bajaj Finance Limited,INE296A01016,-,
BAJFINANCE,EQ,-,1, Annual General Meeting/ Dividend - Rs 6 Per Share,11-Jul-2019,-,13-Jul-2019,25-Jul-2019,-,Bajaj Finance Limited,INE296A01016,-,
BAJFINANCE,EQ,-,1, Annual General Meeting / Dividend- Rs 4 Per Share,05-Jul-2018,-,07-Jul-2018,19-Jul-2018,-,Bajaj Finance Limited,INE296A01016,-,
BAJFINANCE,EQ,-,1, Annual General Meeting/Dividend - Rs 3.60/- Per Share,06-Jul-2017,-,08-Jul-2017,19-Jul-2017,-,Bajaj Finance Limited,INE296A01016,-,
BAJFINANCE,EQ,-,1, Bonus 1:1/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,08-Sep-2016,10-Sep-2016,-,-,-,Bajaj Finance Limited,INE296A01016,-,
BAJFINANCE,EQ,-,1, Dividend Rs 7/- Per Share,14-Jul-2016,-,16-Jul-2016,26-Jul-2016,-,Bajaj Finance Limited,INE296A01016,-,
BAJFINANCE,EQ,-,1, Interim Dividend - Rs 18/- Per Share (Purpose Revised),16-Mar-2016,17-Mar-2016,-,-,-,Bajaj Finance Limited,INE296A01016,-,
BAJFINANCE,EQ,-,1,Annual General Meeting / Dividend - Rs 18/- Per Share,09-Jul-2015,-,11-Jul-2015,22-Jul-2015,-,Bajaj Finance Limited,INE296A01016,-,
BAJFINANCE,EQ,-,1,Annual General Meeting And Dividend Rs.16/- Per Share,03-Jul-2014,-,05-Jul-2014,16-Jul-2014,-,Bajaj Finance Limited,INE296A01016,-,
BAJFINANCE,EQ,-,1,Annual General Meeting And Dividend Rs.15/- Per Share,04-Jul-2013,-,06-Jul-2013,18-Jul-2013,-,Bajaj Finance Limited,INE296A01016,-,
BAJFINANCE,EQ,-,1,Rights 3:19 @ Premium Rs 1090 Per Share,23-Jan-2013,25-Jan-2013,-,-,-,Bajaj Finance Limited,INE296A01016,-,
BAJFINANCE,EQ,-,1,Annual General Meeting And Dividend - Rs.12/- Per Share,05-Jul-2012,-,07-Jul-2012,17-Jul-2012,-,Bajaj Finance Limited,INE296A01016,-,
