symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
BANKBARODA,EQ,-,2,Dividend - Rs 8.35 Per Share,06-Jun-2025,06-Jun-2025,-,-,-,Bank of Baroda,INE028A01013,-,
BANKBARODA,EQ,-,2,Annual General Meeting/Dividend - Rs 7.60 Per Share,28-Jun-2024,-,29-Jun-2024,05-Jul-2024,-,Bank of Baroda,INE028A01013,-,
BANKBARODA,EQ,-,2,Annual General Meeting/Dividend - Rs 5.50 Per Share,30-Jun-2023,-,01-Jul-2023,07-Jul-2023,-,Bank of Baroda,INE028A01013,-,
BANKBARODA,EQ,-,2,Annual General Meeting/Dividend - Rs 2.85 Per Share,17-Jun-2022,-,21-Jun-2022,27-Jun-2022,-,Bank of Baroda,INE028A01013,-,
BANKBARODA,EQ,-,2, Annual General Meeting,30-Jun-2021,-,02-Jul-2021,08-Jul-2021,-,Bank of Baroda,INE028A01013,-,
BANKBARODA,EQ,-,2, Annual General Meeting,22-Jul-2020,-,24-Jul-2020,31-Jul-2020,-,Bank of Baroda,INE028A01013,-,
BANKBARODA,EQ,-,2, Annual General Meeting,18-Jun-2019,-,20-Jun-2019,27-Jun-2019,-,Bank of Baroda,INE028A01013,-,
BANKBARODA,EQ,-,2, Annual General Meeting,05-Jul-2018,-,07-Jul-2018,13-Jul-2018,-,Bank of Baroda,INE028A01013,-,
BANKBARODA,EQ,-,2, Annual General Meeting/Dividend - Rs 1.20 Per Share,22-Jun-2017,-,24-Jun-2017,30-Jun-2017,-,Bank of Baroda,INE028A01013,-,
BANKBARODA,EQ,-,2, Annual General Meeting,16-Jun-2016,-,18-Jun-2016,24-Jun-2016,-,Bank of Baroda,INE028A01013,-,
BANKBARODA,EQ,-,2,Annual General Meeting/ Dividend - Rs 3.20/- Per Share,16-Jun-2015,-,18-Jun-2015,24-Jun-2015,-,Bank of Baroda,INE028A01013,-,
BANKBARODA,EQ,-,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,22-Jan-2015,23-Jan-2015,-,-,-,Bank of Baroda,INE028A01013,-,
BANKBARODA,EQ,-,2,Annual General Meeting / Dividend - Rs.10.50/- Per Equity Share,12-Jun-2014,-,14-Jun-2014,25-Jun-2014,-,Bank of Baroda,INE028A01013,-,
BANKBARODA,EQ,-,2,Interim Dividend Rs 11/- Per Share,20-Jan-2014,21-Jan-2014,-,-,-,Bank of Baroda,INE028A01013,-,
BANKBARODA,EQ,-,2,Annual General Meeting / Dividend - Rs.21.50/- Per Equity Share,13-Jun-2013,-,15-Jun-2013,26-Jun-2013,-,Bank of Baroda,INE028A01013,-,
BANKBARODA,EQ,-,2,Annual General Meeting/Dividend Rs 17 Per Share,14-Jun-2012,-,16-Jun-2012,28-Jun-2012,-,Bank of Baroda,INE028A01013,-,
BANKBARODA,EQ,-,2,Annual General Meeting And Dividend Rs.16.50 Per Share,23-Jun-2011,-,25-Jun-2011,04-Jul-2011,-,Bank of Baroda,INE028A01013,-,
BANKBARODA,EQ,-,2,Annual General Meeting And Dividend Rs.15/- Per Share,24-Jun-2010,-,26-Jun-2010,05-Jul-2010,-,Bank of Baroda,INE028A01013,-,
BANKBARODA,EQ,-,2,Agm/Div.Rs.9/- Per Share,18-Jun-2009,-,20-Jun-2009,02-Jul-2009,-,Bank of Baroda,INE028A01013,-,
BANKBARODA,EQ,-,2,Egm-Election Of Directors,06-Nov-2008,07-Nov-2008,-,-,-,Bank of Baroda,INE028A01013,-,
