symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
BEL,EQ,-,1,Dividend - Rs 0.90 Per Share,14-Aug-2025,14-Aug-2025,-,-,-,Bharat Electronics Limited,INE263A01016,-,
BEL,EQ,-,1,Interim Dividend - Rs 1.5 Per Share,11-Mar-2025,11-Mar-2025,-,-,-,Bharat Electronics Limited,INE263A01016,-,
BEL,EQ,-,1,Annual General Meeting/Dividend - Re 0.80 Per Share,14-Aug-2024,-,16-Aug-2024,18-Aug-2024,-,Bharat Electronics Limited,INE263A01016,-,
BEL,EQ,-,1,Interim Dividend - Re 0.70 Per Share,22-Mar-2024,23-Mar-2024,-,-,-,Bharat Electronics Limited,INE263A01016,-,
BEL,EQ,-,1,Interim Dividend - Re 0.70 Per Share,09-Feb-2024,10-Feb-2024,-,-,-,Bharat Electronics Limited,INE263A01016,-,
BEL,EQ,-,1,Annual General Meeting/Dividend - Re 0.60 Per Share,17-Aug-2023,-,18-Aug-2023,20-Aug-2023,-,Bharat Electronics Limited,INE263A01016,-,
BEL,EQ,-,1,Interim Dividend - Rs 0.60 Per Share,24-Mar-2023,25-Mar-2023,-,-,-,Bharat Electronics Limited,INE263A01016,-,
BEL,EQ,-,1,Interim Dividend - Re 0.60 Per Share,10-Feb-2023,10-Feb-2023,-,-,-,Bharat Electronics Limited,INE263A01016,-,
BEL,EQ,-,1,Bonus 2:1,15-Sep-2022,16-Sep-2022,-,-,-,Bharat Electronics Limited,INE263A01016,-,
BEL,EQ,-,1,Annual General Meeting/Dividend - Rs 1.50 Per Share,08-Aug-2022,-,11-Aug-2022,14-Aug-2022,-,Bharat Electronics Limited,INE263A01016,-,
BEL,EQ,-,1,Interim Dividend - Rs 1.50 Per Share,24-Mar-2022,26-Mar-2022,-,-,-,Bharat Electronics Limited,INE263A01016,-,
BEL,EQ,-,1,Interim Dividend - Rs 1.50 Per Share,09-Feb-2022,10-Feb-2022,-,-,-,Bharat Electronics Limited,INE263A01016,-,
BEL,EQ,-,1, Annual General Meeting/Dividend - Rs 1.20 Per Share,14-Sep-2021,-,16-Sep-2021,19-Sep-2021,-,Bharat Electronics Limited,INE263A01016,-,
BEL,EQ,-,1, Interim Dividend - Rs 1.40  Per Share,23-Mar-2021,24-Mar-2021,-,-,-,Bharat Electronics Limited,INE263A01016,-,
BEL,EQ,-,1, Interim Dividend - Rs 1.40 Per Share,08-Feb-2021,09-Feb-2021,-,-,-,Bharat Electronics Limited,INE263A01016,-,
BEL,EQ,-,1, Annual General Meeting/Dividend - Rs 1.40 Per Share,15-Sep-2020,-,17-Sep-2020,20-Sep-2020,-,Bharat Electronics Limited,INE263A01016,-,
BEL,EQ,-,1, Interim Dividend - Rs 1.40 Per Share,11-Feb-2020,12-Feb-2020,-,-,-,Bharat Electronics Limited,INE263A01016,-,
BEL,EQ,-,1, Annual General Meeting/Dividend - Rs 1.70 Per Share,20-Aug-2019,-,22-Aug-2019,24-Aug-2019,-,Bharat Electronics Limited,INE263A01016,-,
BEL,EQ,-,1, Interim Dividend - Re 0.70 Per Share,27-Mar-2019,28-Mar-2019,-,-,-,Bharat Electronics Limited,INE263A01016,-,
BEL,EQ,-,1, Interim Dividend - Re 0.70 Per Share,19-Mar-2019,20-Mar-2019,-,-,-,Bharat Electronics Limited,INE263A01016,-,
