symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
BERGEPAINT,EQ,-,1,Dividend - Rs 3.80 Per Share,05-Aug-2025,05-Aug-2025,-,-,-,Berger Paints (I) Limited,INE463A01020,-,
BERGEPAINT,EQ,-,1,Annual General Meeting/Dividend - Rs 3.50 Per Share,05-Aug-2024,-,06-Aug-2024,12-Aug-2024,-,Berger Paints (I) Limited,INE463A01020,-,
BERGEPAINT,EQ,-,1,Bonus 1:5,22-Sep-2023,23-Sep-2023,-,-,-,Berger Paints (I) Limited,INE463A01020,-,
BERGEPAINT,EQ,-,1,Annual General Meeting/Dividend - Rs  3.20 Per Share,04-Aug-2023,-,05-Aug-2023,11-Aug-2023,-,Berger Paints (I) Limited,INE463A01020,-,
BERGEPAINT,EQ,-,1,Annual General Meeting/Dividend - Rs 3.10 Per Share,18-Aug-2022,-,20-Aug-2022,26-Aug-2022,-,Berger Paints (I) Limited,INE463A01020,-,
BERGEPAINT,EQ,-,1, Annual General Meeting/Dividend - Rs 2.80  Per Share,18-Aug-2021,-,21-Aug-2021,27-Aug-2021,-,Berger Paints (I) Limited,INE463A01020,-,
BERGEPAINT,EQ,-,1, Annual General Meeting/Dividend - Rs 0.30 Per Share,17-Sep-2020,-,19-Sep-2020,25-Sep-2020,-,Berger Paints (I) Limited,INE463A01020,-,
BERGEPAINT,EQ,-,1, Interim Dividend - Rs 1.90 Per Share,02-Mar-2020,03-Mar-2020,-,-,-,Berger Paints (I) Limited,INE463A01020,-,
BERGEPAINT,EQ,-,1, Annual General Meeting/Dividend - Rs 1.90 Per Share,26-Jul-2019,-,30-Jul-2019,05-Aug-2019,-,Berger Paints (I) Limited,INE463A01020,-,
BERGEPAINT,EQ,-,1, Annual General Meeting/Dividend- Rs 1.80 Per Share,26-Jul-2018,-,28-Jul-2018,03-Aug-2018,-,Berger Paints (I) Limited,INE463A01020,-,
BERGEPAINT,EQ,-,1, Annual General Meeting/Dividend - Rs 1.75/- Per Share,27-Jul-2017,-,29-Jul-2017,04-Aug-2017,-,Berger Paints (I) Limited,INE463A01020,-,
BERGEPAINT,EQ,-,1, Annual General Meeting/ Dividend - Re 1/- Per Share,26-Jul-2016,-,28-Jul-2016,03-Aug-2016,-,Berger Paints (I) Limited,INE463A01020,-,
BERGEPAINT,EQ,-,1, Bonus 2:5,15-Jul-2016,18-Jul-2016,-,-,-,Berger Paints (I) Limited,INE463A01020,-,
BERGEPAINT,EQ,-,1, Interim Dividend Re 0.65 Per Share,17-Feb-2016,19-Feb-2016,-,-,-,Berger Paints (I) Limited,INE463A01020,-,
BERGEPAINT,EQ,-,1,Annual General Meeting/Dividend - Re 0.65/- Per Share,24-Jul-2015,-,28-Jul-2015,03-Aug-2015,-,Berger Paints (I) Limited,INE463A01020,-,
BERGEPAINT,EQ,-,1,Interim Dividend - Re 0.60/- Per Share,12-Feb-2015,13-Feb-2015,-,-,-,Berger Paints (I) Limited,INE463A01020,-,
BERGEPAINT,EQ,-,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,08-Jan-2015,09-Jan-2015,-,-,-,Berger Paints (I) Limited,INE463A01020,-,
BERGEPAINT,EQ,-,1,Annual General Meeting/ Dividend - Rs 2.20/- Per Share,16-Jul-2014,-,18-Jul-2014,01-Aug-2014,-,Berger Paints (I) Limited,INE463A01020,-,
BERGEPAINT,EQ,-,1,Annual General Meeting And Dividend Rs.1.80 Per Share,17-Jul-2013,-,19-Jul-2013,02-Aug-2013,-,Berger Paints (I) Limited,INE463A01020,-,
BERGEPAINT,EQ,-,1,Annual General Meeting/Dividend Rs 1.40 Per Share,18-Jul-2012,-,20-Jul-2012,02-Aug-2012,-,Berger Paints (I) Limited,INE463A01020,-,
