symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
BHARTIARTL,EQ,-,5,Dividend - Rs 16 Per Share,18-Jul-2025,18-Jul-2025,-,-,-,Bharti Airtel Limited,INE397D01024,-,
BHARTIARTL,EQ,-,5,Dividend - Rs 8 Per Share,07-Aug-2024,07-Aug-2024,-,-,-,Bharti Airtel Limited,INE397D01024,-,
BHARTIARTL,EQ,-,5,Dividend - Rs 4 Per Share,11-Aug-2023,11-Aug-2023,-,-,-,Bharti Airtel Limited,INE397D01024,-,
BHARTIARTL,EQ,-,5,Dividend - Rs 3 Per Share,01-Aug-2022,02-Aug-2022,-,-,-,Bharti Airtel Limited,INE397D01024,-,
BHARTIARTL,EQ,-,5, Rights 1:14 @ Premium Rs 530/-,27-Sep-2021,28-Sep-2021,-,-,-,Bharti Airtel Limited,INE397D01024,-,
BHARTIARTL,EQ,-,5, Dividend - Rs 2 Per Share,06-Aug-2020,07-Aug-2020,-,-,-,Bharti Airtel Limited,INE397D01024,-,
BHARTIARTL,EQ,-,5, Rights 19:67 @ Premium Rs 215 Per Share,23-Apr-2019,24-Apr-2019,-,-,-,Bharti Airtel Limited,INE397D01024,-,
BHARTIARTL,EQ,-,5, Interim Dividend Rs - 2.50 Per Share,05-Nov-2018,06-Nov-2018,-,-,-,Bharti Airtel Limited,INE397D01024,-,
BHARTIARTL,EQ,-,5, Annual General Meeting/Dividend Rs 2.50 Per Share,02-Aug-2018,-,04-Aug-2018,08-Aug-2018,-,Bharti Airtel Limited,INE397D01024,-,
BHARTIARTL,EQ,-,5, Interim Dividend - Rs 2.84 Per Share,30-Jan-2018,31-Jan-2018,-,-,-,Bharti Airtel Limited,INE397D01024,-,
BHARTIARTL,EQ,-,5, Annual General Meeting/Dividend - Re 1 Per Share,13-Jul-2017,-,15-Jul-2017,24-Jul-2017,-,Bharti Airtel Limited,INE397D01024,-,
BHARTIARTL,EQ,-,5, Annual General Meeting/ Dividend - Rs 1.36/- Per Share,11-Aug-2016,-,13-Aug-2016,19-Aug-2016,-,Bharti Airtel Limited,INE397D01024,-,
BHARTIARTL,EQ,-,5, Dividend - Rs 2.22/- Per Share,13-Aug-2015,-,15-Aug-2015,21-Aug-2015,-,Bharti Airtel Limited,INE397D01024,-,
BHARTIARTL,EQ,-,5,Annual General Meeting / Final Dividend - Rs 1.80/- Per Share / Interim Dividend - Rs 1.63/- Per Share (Purpose Revised),21-Aug-2014,-,23-Aug-2014,01-Sep-2014,-,Bharti Airtel Limited,INE397D01024,-,
BHARTIARTL,EQ,-,5,Annual General Meeting / Dividend Re 1 Per Share,23-May-2013,-,25-May-2013,31-May-2013,-,Bharti Airtel Limited,INE397D01024,-,
BHARTIARTL,EQ,-,5,Annual General Meeting / Dividend Rs 1 Per Share,16-Aug-2012,-,18-Aug-2012,06-Sep-2012,-,Bharti Airtel Limited,INE397D01024,-,
BHARTIARTL,EQ,-,5,Annual General Meeting And Dividend Re.1/- Per Share,17-Aug-2011,-,20-Aug-2011,01-Sep-2011,-,Bharti Airtel Limited,INE397D01024,-,
BHARTIARTL,EQ,-,5,Annual General Meeting And Dividend Re.1/- Per Share,18-Aug-2010,-,21-Aug-2010,01-Sep-2010,-,Bharti Airtel Limited,INE397D01024,-,
BHARTIARTL,EQ,-,5,Agm/Div-Rs.2/Fv Rs10tors5,24-Jul-2009,-,31-Jul-2009,21-Aug-2009,24-Jul-2009,Bharti Airtel Limited,INE397D01024,30-Jul-2009,
BHARTIARTL,EQ,-,5,Annual General Meeting,24-Jul-2008,-,26-Jul-2008,01-Aug-2008,-,Bharti Airtel Limited,INE397D01024,-,
