symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
BHEL,EQ,-,2,Dividend - Re 0.50 Per Share,01-Aug-2025,01-Aug-2025,-,-,-,Bharat Heavy Electricals Limited,INE257A01018,-,
BHEL,EQ,-,2,Dividend - Rs 0.25 Per Share,09-Aug-2024,09-Aug-2024,-,-,-,Bharat Heavy Electricals Limited,INE257A01018,-,
BHEL,EQ,-,2,Dividend - Re 0.40 Per Share,11-Aug-2023,11-Aug-2023,-,-,-,Bharat Heavy Electricals Limited,INE257A01018,-,
BHEL,EQ,-,2,Dividend - Re 0.40 Per Share,15-Sep-2022,16-Sep-2022,-,-,-,Bharat Heavy Electricals Limited,INE257A01018,-,
BHEL,EQ,-,2, Annual General Meeting,15-Sep-2021,16-Sep-2021,-,-,-,Bharat Heavy Electricals Limited,INE257A01018,-,
BHEL,EQ,-,2, Annual General Meeting,18-Sep-2020,21-Sep-2020,-,-,-,Bharat Heavy Electricals Limited,INE257A01018,-,
BHEL,EQ,-,2, Annual General Meeting/Dividend - Rs 1.20 Per Share,11-Sep-2019,-,13-Sep-2019,19-Sep-2019,-,Bharat Heavy Electricals Limited,INE257A01018,-,
BHEL,EQ,-,2, Interim Dividend - Re 0.80 Per Share,12-Feb-2019,13-Feb-2019,-,-,-,Bharat Heavy Electricals Limited,INE257A01018,-,
BHEL,EQ,-,2, Buyback,05-Nov-2018,06-Nov-2018,-,-,-,Bharat Heavy Electricals Limited,INE257A01018,-,
BHEL,EQ,-,2, Annual General Meeting/Dividend- Rs 1.02 Per Share,11-Sep-2018,-,13-Sep-2018,19-Sep-2018,-,Bharat Heavy Electricals Limited,INE257A01018,-,
BHEL,EQ,-,2, Interim Dividend Re 0.80 Per Share (Purpose Revised),15-Feb-2018,17-Feb-2018,-,-,-,Bharat Heavy Electricals Limited,INE257A01018,-,
BHEL,EQ,-,2, Bonus 1:2  ,28-Sep-2017,30-Sep-2017,-,-,-,Bharat Heavy Electricals Limited,INE257A01018,-,
BHEL,EQ,-,2, Annual General Meeting/Dividend - Re 0.78/- Per Share (Book Closure Dates Revised),23-Aug-2017,-,26-Aug-2017,30-Aug-2017,-,Bharat Heavy Electricals Limited,INE257A01018,-,
BHEL,EQ,-,2, Interim Dividend Re 0.80 Per Share (Purpose Revised),14-Feb-2017,15-Feb-2017,-,-,-,Bharat Heavy Electricals Limited,INE257A01018,-,
BHEL,EQ,-,2, Annual General Meeting/Dividend - Re 0.40/- Per Share,14-Sep-2016,-,16-Sep-2016,22-Sep-2016,-,Bharat Heavy Electricals Limited,INE257A01018,-,
BHEL,EQ,-,2,Annual General Meeting/Dividend Re 0.62 Per Share,14-Sep-2015,-,16-Sep-2015,22-Sep-2015,-,Bharat Heavy Electricals Limited,INE257A01018,-,
BHEL,EQ,-,2,Interim Dividend - Re 0.54/- Per Share (Purpose Revised),16-Feb-2015,18-Feb-2015,-,-,-,Bharat Heavy Electricals Limited,INE257A01018,-,
BHEL,EQ,-,2,Annual General Meeting / Final Dividend - Rs 1.52/- Per Share,08-Sep-2014,-,10-Sep-2014,19-Sep-2014,-,Bharat Heavy Electricals Limited,INE257A01018,-,
BHEL,EQ,-,2,Interim Dividend - Rs 1.31/- Per Share (Purpose Revised),07-Feb-2014,10-Feb-2014,-,-,-,Bharat Heavy Electricals Limited,INE257A01018,-,
BHEL,EQ,-,2,Annual General Meeting And Final Dividend Rs.3.29 Per Share,06-Sep-2013,-,11-Sep-2013,20-Sep-2013,-,Bharat Heavy Electricals Limited,INE257A01018,-,
