symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
BOSCHLTD,EQ,-,10,Dividend - Rs 512 Per Share,29-Jul-2025,29-Jul-2025,-,-,-,Bosch Limited,INE323A01026,-,
BOSCHLTD,EQ,-,10,Annual General Meeting/Dividend - Rs 170 Per Share,19-Jul-2024,-,20-Jul-2024,07-Aug-2024,-,Bosch Limited,INE323A01026,-,
BOSCHLTD,EQ,-,10,Interim Dividend - Rs 205 Per Share,23-Feb-2024,23-Feb-2024,-,-,-,Bosch Limited,INE323A01026,-,
BOSCHLTD,EQ,-,10,Annual General Meeting/Dividend - Rs 280 Per Share,14-Jul-2023,-,15-Jul-2023,01-Aug-2023,-,Bosch Limited,INE323A01026,-,
BOSCHLTD,EQ,-,10,Interim Dividend - Rs 200 Per Share,22-Feb-2023,22-Feb-2023,-,-,-,Bosch Limited,INE323A01026,-,
BOSCHLTD,EQ,-,10,Annual General Meeting/Dividend - Rs 110 Per Share/Special Dividend - Rs 100 Per Share,14-Jul-2022,-,16-Jul-2022,03-Aug-2022,-,Bosch Limited,INE323A01026,-,
BOSCHLTD,EQ,-,10, Annual General Meeting/Dividend - Rs 115 Per Share,12-Jul-2021,-,14-Jul-2021,05-Aug-2021,-,Bosch Limited,INE323A01026,-,
BOSCHLTD,EQ,-,10, Annual General Meeting/Dividend - Rs 105 Per Share,03-Aug-2020,-,05-Aug-2020,27-Aug-2020,-,Bosch Limited,INE323A01026,-,
BOSCHLTD,EQ,-,10, Annual General Meeting/Dividend Rs 105 Per Share,14-Aug-2019,-,17-Aug-2019,23-Aug-2019,-,Bosch Limited,INE323A01026,-,
BOSCHLTD,EQ,-,10, Buyback,20-Dec-2018,21-Dec-2018,-,-,-,Bosch Limited,INE323A01026,-,
BOSCHLTD,EQ,-,10, Annual General Meeting/Dividend- Rs 100 Per Share,07-Jun-2018,-,09-Jun-2018,15-Jun-2018,-,Bosch Limited,INE323A01026,-,
BOSCHLTD,EQ,-,10, Annual General Meeting/Dividend - Rs 90/- Per Share,08-Jun-2017,-,10-Jun-2017,16-Jun-2017,-,Bosch Limited,INE323A01026,-,
BOSCHLTD,EQ,-,10, Interim Dividend Rs 75/- Per Share (Purpose Revised),16-Feb-2017,18-Feb-2017,-,-,-,Bosch Limited,INE323A01026,-,
BOSCHLTD,EQ,-,10, Buy Back,02-Sep-2016,06-Sep-2016,-,-,-,Bosch Limited,INE323A01026,-,
BOSCHLTD,EQ,-,10, Annual General Meeting/Dividend Rs 85/- Per Share,09-Jun-2016,-,11-Jun-2016,16-Jun-2016,-,Bosch Limited,INE323A01026,-,
BOSCHLTD,EQ,-,10,Annual General Meeting/ Dividend - Rs 85/- Per Share,20-Aug-2015,-,22-Aug-2015,28-Aug-2015,-,Bosch Limited,INE323A01026,-,
BOSCHLTD,EQ,-,10,Annual General Meeting/Dividend Rs 55 Per Share,12-May-2014,-,14-May-2014,27-May-2014,-,Bosch Limited,INE323A01026,-,
BOSCHLTD,EQ,-,10,Annual General Meeting/Dividend Rs 60 Per Share,10-May-2013,-,14-May-2013,27-May-2013,-,Bosch Limited,INE323A01026,-,
BOSCHLTD,EQ,-,10,Dividend-Rs.50 Per Share,11-May-2012,-,15-May-2012,28-May-2012,-,Bosch Limited,INE323A01026,-,
BOSCHLTD,EQ,-,10,Special Dividend Rs.85/- Per Share,23-Jun-2011,26-Jun-2011,-,-,-,Bosch Limited,INE323A01026,-,
