symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
BPCL,EQ,-,10,Interim Dividend - Rs 7.50 Per Share,07-Nov-2025,07-Nov-2025,-,-,-,Bharat Petroleum Corporation Limited,INE029A01011,-,
BPCL,EQ,-,10,Dividend - Rs 5 Per Share,31-Jul-2025,31-Jul-2025,-,-,-,Bharat Petroleum Corporation Limited,INE029A01011,-,
BPCL,EQ,-,10,Interim Dividend - Rs 5 Per Share,29-Jan-2025,29-Jan-2025,-,-,-,Bharat Petroleum Corporation Limited,INE029A01011,-,
BPCL,EQ,-,10,Dividend - Rs 10.5 Per Share,09-Aug-2024,09-Aug-2024,-,-,-,Bharat Petroleum Corporation Limited,INE029A01011,-,
BPCL,EQ,-,10,Bonus 1:1,21-Jun-2024,22-Jun-2024,-,-,-,Bharat Petroleum Corporation Limited,INE029A01011,-,
BPCL,EQ,-,10,Interim Dividend - Rs 21 Per Share,12-Dec-2023,12-Dec-2023,-,-,-,Bharat Petroleum Corporation Limited,INE029A01011,-,
BPCL,EQ,-,10,Dividend - Rs 4 Per Share,11-Aug-2023,11-Aug-2023,-,-,-,Bharat Petroleum Corporation Limited,INE029A01011,-,
BPCL,EQ,-,10,Annual General Meeting/Dividend - Rs 6 Per Share,19-Aug-2022,-,23-Aug-2022,29-Aug-2022,-,Bharat Petroleum Corporation Limited,INE029A01011,-,
BPCL,EQ,-,10,Interim Dividend - Rs 5 Per Share,10-Feb-2022,11-Feb-2022,-,-,-,Bharat Petroleum Corporation Limited,INE029A01011,-,
BPCL,EQ,-,10, Interim Dividend - Rs 5 Per Share,11-Nov-2021,12-Nov-2021,-,-,-,Bharat Petroleum Corporation Limited,INE029A01011,-,
BPCL,EQ,-,10, Annual General Meeting/Dividend - Rs 23 Per Share/Special Dividend - Rs 35 Per Share,16-Sep-2021,-,18-Sep-2021,27-Sep-2021,-,Bharat Petroleum Corporation Limited,INE029A01011,-,
BPCL,EQ,-,10, Interim Dividend - Rs 5 Per Share,25-Mar-2021,27-Mar-2021,-,-,-,Bharat Petroleum Corporation Limited,INE029A01011,-,
BPCL,EQ,-,10, Interim Dividend - Rs 16 Per Share,17-Feb-2021,19-Feb-2021,-,-,-,Bharat Petroleum Corporation Limited,INE029A01011,-,
BPCL,EQ,-,10, Annual General Meeting,18-Sep-2020,-,22-Sep-2020,28-Sep-2020,-,Bharat Petroleum Corporation Limited,INE029A01011,-,
BPCL,EQ,-,10, Interim Dividend - Rs 16.50 Per Share,23-Mar-2020,24-Mar-2020,-,-,-,Bharat Petroleum Corporation Limited,INE029A01011,-,
BPCL,EQ,-,10, Dividend - Rs 8 Per Share,21-Aug-2019,-,23-Aug-2019,30-Aug-2019,-,Bharat Petroleum Corporation Limited,INE029A01011,-,
BPCL,EQ,-,10, Interim Dividend Rs - 11 Per Share,21-Feb-2019,23-Feb-2019,-,-,-,Bharat Petroleum Corporation Limited,INE029A01011,-,
BPCL,EQ,-,10, Annual General Meeting/Dividend Rs- 7 Per Share,31-Aug-2018,-,04-Sep-2018,11-Sep-2018,-,Bharat Petroleum Corporation Limited,INE029A01011,-,
BPCL,EQ,-,10, Interim Dividend - Rs 14 Per Share,22-Feb-2018,24-Feb-2018,-,-,-,Bharat Petroleum Corporation Limited,INE029A01011,-,
BPCL,EQ,-,10, Bonus 1:2,13-Jul-2017,15-Jul-2017,-,-,-,Bharat Petroleum Corporation Limited,INE029A01011,-,
