symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
CANBK,EQ,-,2,Dividend - Rs 4 Per Share,13-Jun-2025,13-Jun-2025,-,-,-,Canara Bank,INE476A01014,-,
CANBK,EQ,-,2,Dividend - Rs 3.22 Per Share,14-Jun-2024,17-Jun-2024,-,-,-,Canara Bank,INE476A01014,-,
CANBK,EQ,-,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,15-May-2024,15-May-2024,-,-,-,Canara Bank,INE476A01014,-,
CANBK,EQ,-,2,Dividend - Rs12 Per Share,14-Jun-2023,14-Jun-2023,-,-,-,Canara Bank,INE476A01014,-,
CANBK,EQ,-,2,Dividend - Rs 6.5 Per Share,15-Jun-2022,16-Jun-2022,-,-,-,Canara Bank,INE476A01014,-,
CANBK,EQ,-,2,Annual General Meeting,15-Jun-2022,-,17-Jun-2022,23-Jun-2022,-,Canara Bank,INE476A01014,-,
CANBK,EQ,-,2, Annual General Meeting,26-Jul-2021,-,28-Jul-2021,03-Aug-2021,-,Canara Bank,INE476A01014,-,
CANBK,EQ,-,2, Annual General Meeting,31-Jul-2020,-,04-Aug-2020,10-Aug-2020,-,Canara Bank,INE476A01014,-,
CANBK,EQ,-,2, Annual General Meeting,17-Jul-2019,-,19-Jul-2019,25-Jul-2019,-,Canara Bank,INE476A01014,-,
CANBK,EQ,-,2, Annual General Meeting,18-Jul-2018,-,20-Jul-2018,26-Jul-2018,-,Canara Bank,INE476A01014,-,
CANBK,EQ,-,2, Annual General Meeting/Dividend - Re 1 Per Share,12-Jul-2017,-,14-Jul-2017,20-Jul-2017,-,Canara Bank,INE476A01014,-,
CANBK,EQ,-,2, Rights 1:10 @ Prem Rs 197/- Per Share,17-Feb-2017,20-Feb-2017,-,-,-,Canara Bank,INE476A01014,-,
CANBK,EQ,-,2, Annual General Meeting,14-Jul-2016,-,16-Jul-2016,26-Jul-2016,-,Canara Bank,INE476A01014,-,
CANBK,EQ,-,2,Annual General Meeting/Dividend - Rs 10.50/- Per Share,25-Jun-2015,-,27-Jun-2015,14-Jul-2015,-,Canara Bank,INE476A01014,-,
CANBK,EQ,-,2,Annual General Meeting /Final Dividend Rs.4.50/- Per Share,03-Jul-2014,-,05-Jul-2014,21-Jul-2014,-,Canara Bank,INE476A01014,-,
CANBK,EQ,-,2,Interim Dividend - Rs 6.50/- Per Share (Purpose Revised),24-Jan-2014,27-Jan-2014,-,-,-,Canara Bank,INE476A01014,-,
CANBK,EQ,-,2,Annual General Meeting/Dividend Rs 13/- Per Share,04-Jul-2013,-,06-Jul-2013,22-Jul-2013,-,Canara Bank,INE476A01014,-,
CANBK,EQ,-,2,Annual General Meeting/Dividend Rs 11 Per Share,14-Jun-2012,-,16-Jun-2012,28-Jun-2012,-,Canara Bank,INE476A01014,-,
CANBK,EQ,-,2,Annual General Meeting And Dividend Rs.11/- Per Share,06-Jul-2011,-,08-Jul-2011,18-Jul-2011,-,Canara Bank,INE476A01014,-,
CANBK,EQ,-,2,Annual General Meeting/Dividend Rs.10/- Per Share/Election Of Directors,14-Jun-2010,-,16-Jun-2010,25-Jun-2010,-,Canara Bank,INE476A01014,-,
