symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
CHOLAFIN,EQ,-,2,Dividend - Re 0.70 Per Share,24-Jul-2025,24-Jul-2025,-,-,-,Cholamandalam Investment and Finance Company Limited,INE121A01016,-,
CHOLAFIN,EQ,-,2,Interim Dividend - Rs 1.30 Per Share,07-Feb-2025,07-Feb-2025,-,-,-,Cholamandalam Investment and Finance Company Limited,INE121A01016,-,
CHOLAFIN,EQ,-,2,Dividend - Re 0.70 Per Share,19-Jul-2024,-,20-Jul-2024,26-Jul-2024,-,Cholamandalam Investment and Finance Company Limited,INE121A01016,-,
CHOLAFIN,EQ,-,2,Interim Dividend - Rs 1.30 Per Share,07-Feb-2024,07-Feb-2024,-,-,-,Cholamandalam Investment and Finance Company Limited,INE121A01016,-,
CHOLAFIN,EQ,-,2,Annual General Meeting/Dividend - Re 0.70 Per Share,25-Jul-2023,-,26-Jul-2023,01-Aug-2023,-,Cholamandalam Investment and Finance Company Limited,INE121A01016,-,
CHOLAFIN,EQ,-,2,Interim Dividend - Rs 1.30 Per Share,10-Feb-2023,10-Feb-2023,-,-,-,Cholamandalam Investment and Finance Company Limited,INE121A01016,-,
CHOLAFIN,EQ,-,2,Dividend - Rs 0.70 Per Share,21-Jul-2022,-,25-Jul-2022,29-Jul-2022,-,Cholamandalam Investment and Finance Company Limited,INE121A01016,-,
CHOLAFIN,EQ,-,2,Interim Dividend - Rs 1.30 Per Share,10-Feb-2022,11-Feb-2022,-,-,-,Cholamandalam Investment and Finance Company Limited,INE121A01016,-,
CHOLAFIN,EQ,-,2, Annual General Meeting/Dividend - Rs 0.70 Per Share,22-Jul-2021,-,26-Jul-2021,30-Jul-2021,-,Cholamandalam Investment and Finance Company Limited,INE121A01016,-,
CHOLAFIN,EQ,-,2, Interimdividend - Rs 1.30  Per Share,09-Feb-2021,10-Feb-2021,-,-,-,Cholamandalam Investment and Finance Company Limited,INE121A01016,-,
CHOLAFIN,EQ,-,2, Interim Dividend-Re 0.70 Per Share,04-Mar-2020,05-Mar-2020,-,-,-,Cholamandalam Investment and Finance Company Limited,INE121A01016,-,
CHOLAFIN,EQ,-,2, Interim Dividend - Re 1 Pr Sh,23-Dec-2019,24-Dec-2019,-,-,-,Cholamandalam Investment and Finance Company Limited,INE121A01016,-,
CHOLAFIN,EQ,-,2, Annual General Meeting/Dividend - Re 0.40 Per Share,22-Jul-2019,-,24-Jul-2019,30-Jul-2019,-,Cholamandalam Investment and Finance Company Limited,INE121A01016,-,
CHOLAFIN,EQ,-,2, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,14-Jun-2019,17-Jun-2019,-,-,-,Cholamandalam Investment and Finance Company Limited,INE121A01016,-,
CHOLAFIN,EQ,-,2, Interim Dividend - Rs 4.50 Per Share,08-Feb-2019,11-Feb-2019,-,-,-,Cholamandalam Investment and Finance Company Limited,INE121A01016,-,
CHOLAFIN,EQ,-,2, Annual General Meeting / Dividend- Rs 2 Per Share,18-Jul-2018,-,20-Jul-2018,26-Jul-2018,-,Cholamandalam Investment and Finance Company Limited,INE121A01016,-,
CHOLAFIN,EQ,-,2, Interim Dividend Rs 4.50 Per Share,09-Feb-2018,12-Feb-2018,-,-,-,Cholamandalam Investment and Finance Company Limited,INE121A01016,-,
CHOLAFIN,EQ,-,2, Annual General Meeting/Dividend - Rs 2/- Per Share,19-Jul-2017,-,21-Jul-2017,27-Jul-2017,-,Cholamandalam Investment and Finance Company Limited,INE121A01016,-,
CHOLAFIN,EQ,-,2, Interim Dividend Rs 3.50 Per Share,06-Feb-2017,07-Feb-2017,-,-,-,Cholamandalam Investment and Finance Company Limited,INE121A01016,-,
CHOLAFIN,EQ,-,2, Annual General Meeting/ Dividend- Rs 2/- Per Share,21-Jul-2016,-,25-Jul-2016,29-Jul-2016,-,Cholamandalam Investment and Finance Company Limited,INE121A01016,-,
