symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
CIPLA,EQ,-,2,Dividend - Rs 13 Per Share/Special Dividend - Rs 3 Per Share,27-Jun-2025,27-Jun-2025,-,-,-,Cipla Limited,INE059A01026,-,
CIPLA,EQ,-,2,Dividend - Rs 13 Per Share,02-Aug-2024,02-Aug-2024,-,-,-,Cipla Limited,INE059A01026,-,
CIPLA,EQ,-,2,Dividend - Rs 8.50 Per Share,21-Jul-2023,21-Jul-2023,-,-,-,Cipla Limited,INE059A01026,-,
CIPLA,EQ,-,2,Dividend - Rs 5 Per Share,08-Aug-2022,10-Aug-2022,-,-,-,Cipla Limited,INE059A01026,-,
CIPLA,EQ,-,2, Annual General Meeting/Dividend - Rs 5 Per Share,09-Aug-2021,-,11-Aug-2021,25-Aug-2021,-,Cipla Limited,INE059A01026,-,
CIPLA,EQ,-,2, Annual General Meeting,11-Aug-2020,-,13-Aug-2020,27-Aug-2020,-,Cipla Limited,INE059A01026,-,
CIPLA,EQ,-,2, Interim Dividend - Rs 3 Per Share Special Dividend - Re 1 Per Share,19-Mar-2020,20-Mar-2020,-,-,-,Cipla Limited,INE059A01026,-,
CIPLA,EQ,-,2, Annual General Meeting/Dividend - Rs 3 Per Share,31-Jul-2019,-,02-Aug-2019,16-Aug-2019,-,Cipla Limited,INE059A01026,-,
CIPLA,EQ,-,2, Annual General Meeting/Dividend- Rs 3 Per Share,13-Aug-2018,-,16-Aug-2018,30-Aug-2018,-,Cipla Limited,INE059A01026,-,
CIPLA,EQ,-,2, Annual General Meeting/Dividend - Rs 2/- Per Share,26-Jul-2017,-,28-Jul-2017,11-Aug-2017,-,Cipla Limited,INE059A01026,-,
CIPLA,EQ,-,2, Annual General Meeting/Dividend Rs 2/- Per Share,12-Sep-2016,-,15-Sep-2016,28-Sep-2016,-,Cipla Limited,INE059A01026,-,
CIPLA,EQ,-,2,Annual General Meeting/Dividend - Rs 2/- Per Share,11-Aug-2015,-,13-Aug-2015,27-Aug-2015,-,Cipla Limited,INE059A01026,-,
CIPLA,EQ,-,2,Annual General Meeting/Dividend Rs 2/- Per Equity Share,06-Aug-2014,-,08-Aug-2014,22-Aug-2014,-,Cipla Limited,INE059A01026,-,
CIPLA,EQ,-,2,Annual General Meeting/Dividend Rs 2/- Per Equity Share,06-Aug-2013,-,08-Aug-2013,22-Aug-2013,-,Cipla Limited,INE059A01026,-,
CIPLA,EQ,-,2,Annual General Meeting And Dividend - Rs.2/- Per Share,01-Aug-2012,-,03-Aug-2012,17-Aug-2012,-,Cipla Limited,INE059A01026,-,
CIPLA,EQ,-,2,Annual General Meeting And Dividend Rs.2/- Per Share,09-Aug-2011,-,11-Aug-2011,25-Aug-2011,-,Cipla Limited,INE059A01026,-,
CIPLA,EQ,-,2,Special Interim Dividend Re.0.80 Per Share,03-Sep-2010,06-Sep-2010,-,-,-,Cipla Limited,INE059A01026,-,
CIPLA,EQ,-,2,Annual General Meeting And Dividend Rs.2/- Per Share,23-Jul-2010,-,27-Jul-2010,30-Jul-2010,-,Cipla Limited,INE059A01026,-,
CIPLA,EQ,-,2,Agm/Div-Rs.2/- Per Share,10-Aug-2009,-,12-Aug-2009,26-Aug-2009,-,Cipla Limited,INE059A01026,-,
CIPLA,EQ,-,2,Dividend - Rs.2 Per Share,12-Aug-2008,-,14-Aug-2008,28-Aug-2008,-,Cipla Limited,INE059A01026,-,
