symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
COALINDIA,EQ,-,10,Interim Dividend - Rs 10.25 Per Share,04-Nov-2025,04-Nov-2025,-,-,-,Coal India Limited,INE522F01014,-,
COALINDIA,EQ,-,10,Dividend - Rs 5.15 Per Share,21-Aug-2025,21-Aug-2025,-,-,-,Coal India Limited,INE522F01014,-,
COALINDIA,EQ,-,10,Interim Dividend - Rs 5.50 Per Share,06-Aug-2025,06-Aug-2025,-,-,-,Coal India Limited,INE522F01014,-,
COALINDIA,EQ,-,10,Interim Dividend - Rs 5.60 Per Share,31-Jan-2025,31-Jan-2025,-,-,-,Coal India Limited,INE522F01014,-,
COALINDIA,EQ,-,10,Interim Dividend - Rs 15.75 Per Share,05-Nov-2024,05-Nov-2024,-,-,-,Coal India Limited,INE522F01014,-,
COALINDIA,EQ,-,10,Dividend - Rs 5 Per Share,16-Aug-2024,16-Aug-2024,-,-,-,Coal India Limited,INE522F01014,-,
COALINDIA,EQ,-,10,Interim Dividend - Rs 5.25 Per Share,20-Feb-2024,20-Feb-2024,-,-,-,Coal India Limited,INE522F01014,-,
COALINDIA,EQ,-,10,Interim Dividend - Rs 15.25 Per Share,21-Nov-2023,21-Nov-2023,-,-,-,Coal India Limited,INE522F01014,-,
COALINDIA,EQ,-,10,Dividend - Rs 4 Per Share,18-Aug-2023,18-Aug-2023,-,-,-,Coal India Limited,INE522F01014,-,
COALINDIA,EQ,-,10,Interim Dividend - Rs 5.25 Per Share,08-Feb-2023,08-Feb-2023,-,-,-,Coal India Limited,INE522F01014,-,
COALINDIA,EQ,-,10,Interim Dividend - Rs 15 Per Share,15-Nov-2022,16-Nov-2022,-,-,-,Coal India Limited,INE522F01014,-,
COALINDIA,EQ,-,10,Dividend - Rs 3 Per Share,11-Aug-2022,12-Aug-2022,-,-,-,Coal India Limited,INE522F01014,-,
COALINDIA,EQ,-,10,Interim Dividend - Rs 5 Per Share,21-Feb-2022,22-Feb-2022,-,-,-,Coal India Limited,INE522F01014,-,
COALINDIA,EQ,-,10, Interim Dividend - Rs 9 Per Sh,06-Dec-2021,07-Dec-2021,-,-,-,Coal India Limited,INE522F01014,-,
COALINDIA,EQ,-,10, Dividend - Rs 3.50 Per Share,02-Sep-2021,03-Sep-2021,-,-,-,Coal India Limited,INE522F01014,-,
COALINDIA,EQ,-,10, Interim Dividend - Rs 5 Per Share,15-Mar-2021,16-Mar-2021,-,-,-,Coal India Limited,INE522F01014,-,
COALINDIA,EQ,-,10, Interim Dividend - Rs 7.50 Per Share,19-Nov-2020,20-Nov-2020,-,-,-,Coal India Limited,INE522F01014,-,
COALINDIA,EQ,-,10, Annual General Meeting,14-Sep-2020,-,16-Sep-2020,23-Sep-2020,-,Coal India Limited,INE522F01014,-,
COALINDIA,EQ,-,10, Interim Dividend - Rs 12 Per Share,19-Mar-2020,20-Mar-2020,-,-,-,Coal India Limited,INE522F01014,-,
COALINDIA,EQ,-,10, Annual General Meeting,09-Aug-2019,-,14-Aug-2019,21-Aug-2019,-,Coal India Limited,INE522F01014,-,
