symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
COLPAL,EQ,-,1,Interim Dividend - Rs 24 Per Share,03-Nov-2025,03-Nov-2025,-,-,-,Colgate Palmolive (India) Limited,INE259A01022,-,
COLPAL,EQ,-,1,Interim Dividend - Rs 27 Per Share,28-May-2025,28-May-2025,-,-,-,Colgate Palmolive (India) Limited,INE259A01022,-,
COLPAL,EQ,-,1,Interim Dividend - Rs 24 Per Share,04-Nov-2024,04-Nov-2024,-,-,-,Colgate Palmolive (India) Limited,INE259A01022,-,
COLPAL,EQ,-,1,Annual General Meeting,23-Jul-2024,-,24-Jul-2024,30-Jul-2024,-,Colgate Palmolive (India) Limited,INE259A01022,-,
COLPAL,EQ,-,1,Special Dividend Rs -10 Per Share/Interim Dividend Rs - 26 Per Share,22-May-2024,23-May-2024,-,-,-,Colgate Palmolive (India) Limited,INE259A01022,-,
COLPAL,EQ,-,1,Interim Dividend - Rs 22 Per Share,06-Nov-2023,06-Nov-2023,-,-,-,Colgate Palmolive (India) Limited,INE259A01022,-,
COLPAL,EQ,-,1,Annual General Meeting,20-Jul-2023,-,21-Jul-2023,27-Jul-2023,-,Colgate Palmolive (India) Limited,INE259A01022,-,
COLPAL,EQ,-,1,Interim Dividend - Rs 21 Per Share,19-May-2023,20-May-2023,-,-,-,Colgate Palmolive (India) Limited,INE259A01022,-,
COLPAL,EQ,-,1,Interim Dividend - Rs 18 Per Share,31-Oct-2022,01-Nov-2022,-,-,-,Colgate Palmolive (India) Limited,INE259A01022,-,
COLPAL,EQ,-,1,Annual General Meeting,20-Jul-2022,-,22-Jul-2022,28-Jul-2022,-,Colgate Palmolive (India) Limited,INE259A01022,-,
COLPAL,EQ,-,1,Interim Dividend - Rs 21 Per Sh,05-May-2022,07-May-2022,-,-,-,Colgate Palmolive (India) Limited,INE259A01022,-,
COLPAL,EQ,-,1, Interim Dividend - Rs 19 Per Share,01-Nov-2021,02-Nov-2021,-,-,-,Colgate Palmolive (India) Limited,INE259A01022,-,
COLPAL,EQ,-,1, Annual General Meeting,20-Jul-2021,-,23-Jul-2021,29-Jul-2021,-,Colgate Palmolive (India) Limited,INE259A01022,-,
COLPAL,EQ,-,1, Interim Dividend - Rs 20 Per Share,30-Mar-2021,31-Mar-2021,-,-,-,Colgate Palmolive (India) Limited,INE259A01022,-,
COLPAL,EQ,-,1, Interim Dividend - Rs 18 Per Share,29-Oct-2020,02-Nov-2020,-,-,-,Colgate Palmolive (India) Limited,INE259A01022,-,
COLPAL,EQ,-,1, Annual General Meeting,21-Jul-2020,-,23-Jul-2020,29-Jul-2020,-,Colgate Palmolive (India) Limited,INE259A01022,-,
COLPAL,EQ,-,1, Interim Dividend - Rs 16 Per Share,01-Jun-2020,02-Jun-2020,-,-,-,Colgate Palmolive (India) Limited,INE259A01022,-,
COLPAL,EQ,-,1, Interim Dividend - Rs 12 Per Sh,05-Nov-2019,06-Nov-2019,-,-,-,Colgate Palmolive (India) Limited,INE259A01022,-,
COLPAL,EQ,-,1, Annual General Meeting,20-Aug-2019,-,22-Aug-2019,28-Aug-2019,-,Colgate Palmolive (India) Limited,INE259A01022,-,
COLPAL,EQ,-,1, Interim Dividend - Rs 8 Per Share,04-Jun-2019,06-Jun-2019,-,-,-,Colgate Palmolive (India) Limited,INE259A01022,-,
