symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
DABUR,EQ,-,1,Interim Dividend - Rs 2.75 Per Share,07-Nov-2025,07-Nov-2025,-,-,-,Dabur India Limited,INE016A01026,-,
DABUR,EQ,-,1,Dividend - Rs 5.25 Per Share,18-Jul-2025,18-Jul-2025,-,-,-,Dabur India Limited,INE016A01026,-,
DABUR,EQ,-,1,Interim Dividend - Rs 2.75 Per Share,08-Nov-2024,08-Nov-2024,-,-,-,Dabur India Limited,INE016A01026,-,
DABUR,EQ,-,1,Annual General Meeting/Dividend - Rs 2.75 Per Share,19-Jul-2024,-,22-Jul-2024,26-Jul-2024,-,Dabur India Limited,INE016A01026,-,
DABUR,EQ,-,1,Interim Dividend - Rs 2.75 Per Share,10-Nov-2023,10-Nov-2023,-,-,-,Dabur India Limited,INE016A01026,-,
DABUR,EQ,-,1,Annual General Meeting/Dividend- Rs 2.70 Per Share,21-Jul-2023,-,24-Jul-2023,28-Jul-2023,-,Dabur India Limited,INE016A01026,-,
DABUR,EQ,-,1,Interim Dividend - Rs 2.5 Per Share,03-Nov-2022,04-Nov-2022,-,-,-,Dabur India Limited,INE016A01026,-,
DABUR,EQ,-,1,Annual General Meeting/Dividend - Rs  2.70 Per Share,21-Jul-2022,-,25-Jul-2022,29-Jul-2022,-,Dabur India Limited,INE016A01026,-,
DABUR,EQ,-,1, Interim Dividend - Rs 2.50 Per Share,11-Nov-2021,12-Nov-2021,-,-,-,Dabur India Limited,INE016A01026,-,
DABUR,EQ,-,1, Annual General Meeting/Dividend - Rs 3 Per Share,29-Jul-2021,-,02-Aug-2021,06-Aug-2021,-,Dabur India Limited,INE016A01026,-,
DABUR,EQ,-,1, Interim Dividend - Rs 1.75 Per Share,11-Nov-2020,12-Nov-2020,-,-,-,Dabur India Limited,INE016A01026,-,
DABUR,EQ,-,1, Annual General Meeting/Dividend - Rs 1.60 Per Share,13-Aug-2020,-,17-Aug-2020,21-Aug-2020,-,Dabur India Limited,INE016A01026,-,
DABUR,EQ,-,1, Interim Dividend - Rs 1.40 Per Share,13-Nov-2019,14-Nov-2019,-,-,-,Dabur India Limited,INE016A01026,-,
DABUR,EQ,-,1, Annual General Meeting/Dividend - Rs 1.50 Per Share,07-Aug-2019,-,09-Aug-2019,16-Aug-2019,-,Dabur India Limited,INE016A01026,-,
DABUR,EQ,-,1, Interim Dividend - Rs 1.25 Per Sh,09-Nov-2018,12-Nov-2018,-,-,-,Dabur India Limited,INE016A01026,-,
DABUR,EQ,-,1, Annual General Meeting/ Final Dividend- Rs 1.25 Per Share/ Special Dividend- Rs 5 Per Share,04-Jul-2018,-,06-Jul-2018,13-Jul-2018,-,Dabur India Limited,INE016A01026,-,
DABUR,EQ,-,1, Interim Dividend - Rs 1.25 Per Share (Purpose Revised),07-Nov-2017,08-Nov-2017,-,-,-,Dabur India Limited,INE016A01026,-,
DABUR,EQ,-,1, Annula General Meeting/Dividend - Re 1/- Per Share,05-Jul-2017,-,07-Jul-2017,14-Jul-2017,-,Dabur India Limited,INE016A01026,-,
DABUR,EQ,-,1, Interim Dividend Rs 1.25 Per Share,03-Nov-2016,04-Nov-2016,-,-,-,Dabur India Limited,INE016A01026,-,
DABUR,EQ,-,1, Annual General Meeting/ Dividend - Re 1/- Per Share,29-Jun-2016,-,01-Jul-2016,08-Jul-2016,-,Dabur India Limited,INE016A01026,-,
