symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
DIVISLAB,EQ,-,2,Dividend - Rs 30 Per Share,25-Jul-2025,25-Jul-2025,-,-,-,Divi's Laboratories Limited,INE361B01024,-,
DIVISLAB,EQ,-,2,Dividend - Rs 30 Per Share,02-Aug-2024,02-Aug-2024,-,-,-,Divi's Laboratories Limited,INE361B01024,-,
DIVISLAB,EQ,-,2,Dividend - Rs 30 Per Share,11-Aug-2023,11-Aug-2023,-,-,-,Divi's Laboratories Limited,INE361B01024,-,
DIVISLAB,EQ,-,2,Dividend - Rs 30 Per Share,11-Aug-2022,12-Aug-2022,-,-,-,Divi's Laboratories Limited,INE361B01024,-,
DIVISLAB,EQ,-,2, Dividend - Rs 20 Per Share,17-Aug-2021,-,20-Aug-2021,22-Aug-2021,-,Divi's Laboratories Limited,INE361B01024,-,
DIVISLAB,EQ,-,2, Annual General Meeting,04-Sep-2020,-,08-Sep-2020,14-Sep-2020,-,Divi's Laboratories Limited,INE361B01024,-,
DIVISLAB,EQ,-,2, Interim Dividend - Rs 16 Per Share,25-Feb-2020,26-Feb-2020,-,-,-,Divi's Laboratories Limited,INE361B01024,-,
DIVISLAB,EQ,-,2, Annual General Meeting/Dividend - Rs 16 Per Share,14-Aug-2019,-,17-Aug-2019,23-Aug-2019,-,Divi's Laboratories Limited,INE361B01024,-,
DIVISLAB,EQ,-,2, Annual General Meeting/Dividend- Rs 10 Per Share,31-Aug-2018,-,04-Sep-2018,10-Sep-2018,-,Divi's Laboratories Limited,INE361B01024,-,
DIVISLAB,EQ,-,2, Annual General Meeting/Dividend - Rs 10/- Per Share,15-Sep-2017,-,19-Sep-2017,25-Sep-2017,-,Divi's Laboratories Limited,INE361B01024,-,
DIVISLAB,EQ,-,2, Annnual General Meeting,18-Aug-2016,-,22-Aug-2016,26-Aug-2016,-,Divi's Laboratories Limited,INE361B01024,-,
DIVISLAB,EQ,-,2, Interim Dividend - Rs 10/- Per Share (Purpose Revised),17-Mar-2016,18-Mar-2016,-,-,-,Divi's Laboratories Limited,INE361B01024,-,
DIVISLAB,EQ,-,2, Bonus 1:1,23-Sep-2015,26-Sep-2015,-,-,-,Divi's Laboratories Limited,INE361B01024,-,
DIVISLAB,EQ,-,2,Annual General Meeting/Dividend - Rs 20/- Per Share,06-Aug-2015,-,10-Aug-2015,14-Aug-2015,-,Divi's Laboratories Limited,INE361B01024,-,
DIVISLAB,EQ,-,2,Annual General Meeting / Dividend - Rs 20/- Per Share,31-Jul-2014,-,04-Aug-2014,08-Aug-2014,-,Divi's Laboratories Limited,INE361B01024,-,
DIVISLAB,EQ,-,2,Annual General Meeting/Dividend Rs 15/- Per Share,25-Jul-2013,-,29-Jul-2013,02-Aug-2013,-,Divi's Laboratories Limited,INE361B01024,-,
DIVISLAB,EQ,-,2,Annual General Meeting/ Dividend Of Rs. 13 Per Share,26-Jul-2012,-,30-Jul-2012,03-Aug-2012,-,Divi's Laboratories Limited,INE361B01024,-,
DIVISLAB,EQ,-,2,Annual General Meeting And Dividend Rs.10/- Per Share,16-Jun-2011,-,18-Jun-2011,24-Jun-2011,-,Divi's Laboratories Limited,INE361B01024,-,
DIVISLAB,EQ,-,2,Annual General Meeting And Dividend Rs.6/- Per Share,02-Jul-2010,-,06-Jul-2010,10-Jul-2010,-,Divi's Laboratories Limited,INE361B01024,-,
DIVISLAB,EQ,-,2,Bonus-1:1,30-Jul-2009,01-Aug-2009,-,-,-,Divi's Laboratories Limited,INE361B01024,-,
