symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
DLF,EQ,-,2,Dividend - Rs 6 Per Share,28-Jul-2025,28-Jul-2025,-,-,-,DLF Limited,INE271C01023,-,
DLF,EQ,-,2,Dividend - Rs 5 Per Share,31-Jul-2024,31-Jul-2024,-,-,-,DLF Limited,INE271C01023,-,
DLF,EQ,-,2,Dividend - Rs 4 Per Share,28-Jul-2023,28-Jul-2023,-,-,-,DLF Limited,INE271C01023,-,
DLF,EQ,-,2,Dividend - Rs 3 Per Share,02-Aug-2022,03-Aug-2022,-,-,-,DLF Limited,INE271C01023,-,
DLF,EQ,-,2, Dividend - Rs 2 Per Share,23-Aug-2021,24-Aug-2021,-,-,-,DLF Limited,INE271C01023,-,
DLF,EQ,-,2, Annual General Meeting/Dividend - Rs 0.80 Per Share,15-Sep-2020,16-Sep-2020,-,-,-,DLF Limited,INE271C01023,-,
DLF,EQ,-,2, Interim Dividend - Rs 1.20 Per Share,12-Feb-2020,13-Feb-2020,-,-,-,DLF Limited,INE271C01023,-,
DLF,EQ,-,2, Annual General Meeting/Dividend - Rs 2 Per Share,22-Jul-2019,23-Jul-2019,-,-,-,DLF Limited,INE271C01023,-,
DLF,EQ,-,2, Annual General Meeting/Dividend Re 0.80 Per Share (Purpose Revised),12-Sep-2018,-,17-Sep-2018,24-Sep-2018,-,DLF Limited,INE271C01023,-,
DLF,EQ,-,2, Interim Dividend - Rs 1.20 Per Share (Purpose Revised),27-Mar-2018,28-Mar-2018,-,-,-,DLF Limited,INE271C01023,-,
DLF,EQ,-,2, Dividend - Rs 2/- Per Share,19-Sep-2017,-,21-Sep-2017,29-Sep-2017,-,DLF Limited,INE271C01023,-,
DLF,EQ,-,2, Interim Dividend - Rs 2/- Per Share (Purpose Revised),28-Mar-2016,29-Mar-2016,-,-,-,DLF Limited,INE271C01023,-,
DLF,EQ,-,2, Dividend - Rs 2/- Per Share,17-Aug-2015,-,20-Aug-2015,28-Aug-2015,-,DLF Limited,INE271C01023,-,
DLF,EQ,-,2,Annual General Meeting/Dividend Rs.2/- Per Share,19-Aug-2014,-,21-Aug-2014,29-Aug-2014,-,DLF Limited,INE271C01023,-,
DLF,EQ,-,2,Annual General Meeting/Dividend Rs 2/- Per Share,30-Jul-2013,-,01-Aug-2013,12-Aug-2013,-,DLF Limited,INE271C01023,-,
DLF,EQ,-,2,Annual General Meeting/Dividend Rs 2 Per Share,24-Aug-2012,-,28-Aug-2012,07-Sep-2012,-,DLF Limited,INE271C01023,-,
DLF,EQ,-,2,Dividend-Rs.2/- Per Share,27-Jul-2011,-,29-Jul-2011,04-Aug-2011,-,DLF Limited,INE271C01023,-,
DLF,EQ,-,2,Annual General Meeting And Dividend Rs.2/- Per Share,17-Sep-2010,-,21-Sep-2010,28-Sep-2010,-,DLF Limited,INE271C01023,-,
DLF,EQ,-,2,Dividend-Rs.2/- Per Share,22-Sep-2009,-,24-Sep-2009,30-Sep-2009,-,DLF Limited,INE271C01023,-,
DLF,EQ,-,2,Agm/Dividend - 100%,19-Sep-2008,-,23-Sep-2008,30-Sep-2008,-,DLF Limited,INE271C01023,-,
