symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
DRREDDY,EQ,-,1,Dividend - Rs 8 Per Share,10-Jul-2025,10-Jul-2025,-,-,-,Dr. Reddy's Laboratories Limited,INE089A01023,-,
DRREDDY,EQ,-,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,28-Oct-2024,28-Oct-2024,-,-,-,Dr. Reddy's Laboratories Limited,INE089A01023,-,
DRREDDY,EQ,-,1,Annual General Meeting/Dividend - Rs 40 Per Share,16-Jul-2024,-,17-Jul-2024,19-Jul-2024,-,Dr. Reddy's Laboratories Limited,INE089A01023,-,
DRREDDY,EQ,-,1,Annual General Meeting/Dividend - Rs 40 Per Share,11-Jul-2023,-,12-Jul-2023,14-Jul-2023,-,Dr. Reddy's Laboratories Limited,INE089A01023,-,
DRREDDY,EQ,-,1,Annual General Meeting/Dividend - Rs 30 Per Share,11-Jul-2022,-,13-Jul-2022,15-Jul-2022,-,Dr. Reddy's Laboratories Limited,INE089A01023,-,
DRREDDY,EQ,-,1, Annual General Meeting/Dividend - Rs 25 Per Share,09-Jul-2021,-,13-Jul-2021,15-Jul-2021,-,Dr. Reddy's Laboratories Limited,INE089A01023,-,
DRREDDY,EQ,-,1, Annual General Meeting/Dividend - Rs 25 Per Share,13-Jul-2020,-,15-Jul-2020,17-Jul-2020,-,Dr. Reddy's Laboratories Limited,INE089A01023,-,
DRREDDY,EQ,-,1, Annual General Meeting/Dividend - Rs 20 Per Share,15-Jul-2019,-,17-Jul-2019,19-Jul-2019,-,Dr. Reddy's Laboratories Limited,INE089A01023,-,
DRREDDY,EQ,-,1, Annual General Meeting/Dividend- Rs 20 Per Share,16-Jul-2018,-,18-Jul-2018,20-Jul-2018,-,Dr. Reddy's Laboratories Limited,INE089A01023,-,
DRREDDY,EQ,-,1, Annual General Meeting/Dividend - Rs 20/- Per Share,17-Jul-2017,-,19-Jul-2017,21-Jul-2017,-,Dr. Reddy's Laboratories Limited,INE089A01023,-,
DRREDDY,EQ,-,1, Annual General Meeting/ Dividend - Rs 20/- Per Share,18-Jul-2016,-,20-Jul-2016,22-Jul-2016,-,Dr. Reddy's Laboratories Limited,INE089A01023,-,
DRREDDY,EQ,-,1,Annual General Meeting/Dividend Rs 20/- Per Share,10-Jul-2015,-,14-Jul-2015,17-Jul-2015,-,Dr. Reddy's Laboratories Limited,INE089A01023,-,
DRREDDY,EQ,-,1,Annual General Meeting / Final Dividend - Rs 18/- Per Share,11-Jul-2014,-,15-Jul-2014,18-Jul-2014,-,Dr. Reddy's Laboratories Limited,INE089A01023,-,
DRREDDY,EQ,-,1,Annual General Meeting And Dividend Rs.15/- Per Share,12-Jul-2013,-,16-Jul-2013,19-Jul-2013,-,Dr. Reddy's Laboratories Limited,INE089A01023,-,
DRREDDY,EQ,-,1,Annual General Meeting And Dividend - Rs.13.75 Per Share,28-Jun-2012,-,03-Jul-2012,06-Jul-2012,-,Dr. Reddy's Laboratories Limited,INE089A01023,-,
DRREDDY,EQ,-,1,Annual General Meeting And Dividend Rs.11.25 Per Share,30-Jun-2011,-,05-Jul-2011,09-Jul-2011,-,Dr. Reddy's Laboratories Limited,INE089A01023,-,
DRREDDY,EQ,-,1,Scheme Of Arrangement - Bonus Debentures 6:1,17-Mar-2011,18-Mar-2011,-,-,-,Dr. Reddy's Laboratories Limited,INE089A01023,-,
DRREDDY,EQ,-,1,Annual General Meeting And Final Dividend Rs.11.25 Per Share,02-Jul-2010,-,06-Jul-2010,10-Jul-2010,-,Dr. Reddy's Laboratories Limited,INE089A01023,-,
DRREDDY,EQ,-,1,Agm/Div-Rs.6.25 Per Share,03-Jul-2009,-,07-Jul-2009,11-Jul-2009,-,Dr. Reddy's Laboratories Limited,INE089A01023,-,
DRREDDY,EQ,-,1,Agm/Dividend - 75%,04-Jul-2008,-,08-Jul-2008,12-Jul-2008,-,Dr. Reddy's Laboratories Limited,INE089A01023,-,
