symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
GAIL,EQ,-,10,Dividend - Re 1 Per Share,04-Aug-2025,04-Aug-2025,-,-,-,GAIL (India) Limited,INE129A01019,-,
GAIL,EQ,-,10,Interim Dividend - Rs 6.50 Per Share,07-Feb-2025,07-Feb-2025,-,-,-,GAIL (India) Limited,INE129A01019,-,
GAIL,EQ,-,10,Interim Dividend - Rs 5.50 Per Share,06-Feb-2024,06-Feb-2024,-,-,-,GAIL (India) Limited,INE129A01019,-,
GAIL,EQ,-,10,Interim Dividend - Rs 4 Per Share,21-Mar-2023,21-Mar-2023,-,-,-,GAIL (India) Limited,INE129A01019,-,
GAIL,EQ,-,10,Bonus 1:2,06-Sep-2022,07-Sep-2022,-,-,-,GAIL (India) Limited,INE129A01019,-,
GAIL,EQ,-,10,Dividend - Rs 1 Per Share,01-Aug-2022,02-Aug-2022,-,-,-,GAIL (India) Limited,INE129A01019,-,
GAIL,EQ,-,10,Buyback,21-Apr-2022,22-Apr-2022,-,-,-,GAIL (India) Limited,INE129A01019,-,
GAIL,EQ,-,10,Interim Dividend - Rs 5  Per Share,21-Mar-2022,22-Mar-2022,-,-,-,GAIL (India) Limited,INE129A01019,-,
GAIL,EQ,-,10,Interim Dividend - Rs 4 Per Share,30-Dec-2021,31-Dec-2021,-,-,-,GAIL (India) Limited,INE129A01019,-,
GAIL,EQ,-,10, Interim Dividend - Rs 2.5 Per Share,22-Mar-2021,23-Mar-2021,-,-,-,GAIL (India) Limited,INE129A01019,-,
GAIL,EQ,-,10, Interim Dividend - Rs 2.50 Per Share,27-Jan-2021,28-Jan-2021,-,-,-,GAIL (India) Limited,INE129A01019,-,
GAIL,EQ,-,10, Buyback,27-Jan-2021,28-Jan-2021,-,-,-,GAIL (India) Limited,INE129A01019,-,
GAIL,EQ,-,10, Interim Dividend - Rs 6.4 Per Share,17-Feb-2020,18-Feb-2020,-,-,-,GAIL (India) Limited,INE129A01019,-,
GAIL,EQ,-,10, Dividend - Rs 0.885 Per Share,08-Aug-2019,-,13-Aug-2019,20-Aug-2019,-,GAIL (India) Limited,INE129A01019,-,
GAIL,EQ,-,10, Bonus 1:1,09-Jul-2019,10-Jul-2019,-,-,-,GAIL (India) Limited,INE129A01019,-,
GAIL,EQ,-,10, Interim Dividend - Rs 6.25 Per Share,12-Feb-2019,13-Feb-2019,-,-,-,GAIL (India) Limited,INE129A01019,-,
GAIL,EQ,-,10, Annual General Meeting/Dividend- Rs 1.44 Per Share,30-Aug-2018,-,01-Sep-2018,11-Sep-2018,-,GAIL (India) Limited,INE129A01019,-,
GAIL,EQ,-,10, Bonus 1:3,27-Mar-2018,29-Mar-2018,-,-,-,GAIL (India) Limited,INE129A01019,-,
GAIL,EQ,-,10, Interim Dividend - Rs 7.65 Per Share (Purpose Revised),18-Jan-2018,20-Jan-2018,-,-,-,GAIL (India) Limited,INE129A01019,-,
GAIL,EQ,-,10, Dividend - Rs 2.70 Per Share,31-Aug-2017,-,02-Sep-2017,12-Sep-2017,-,GAIL (India) Limited,INE129A01019,-,
