symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
GODREJCP,EQ,-,1,Interim Dividend - Rs 5 Per Share,07-Nov-2025,07-Nov-2025,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
GODREJCP,EQ,-,1,Interim Dividend - Rs 5 Per Share,13-Aug-2025,13-Aug-2025,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
GODREJCP,EQ,-,1,Interim Dividend - Rs 5 Per Share,13-May-2025,13-May-2025,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
GODREJCP,EQ,-,1,Interim Dividend - Rs 5 Per Share,03-Feb-2025,03-Feb-2025,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
GODREJCP,EQ,-,1,Interim Dividend - Rs 5 Per Share,31-Oct-2024,01-Nov-2024,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
GODREJCP,EQ,-,1,Interim Dividend - Rs 5 Per Share,16-Aug-2024,16-Aug-2024,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
GODREJCP,EQ,-,1,Interim Dividend - Rs 10 Per Share,14-May-2024,14-May-2024,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
GODREJCP,EQ,-,1,Interim Dividend - Rs 5 Per Share,09-Nov-2023,09-Nov-2023,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
GODREJCP,EQ,-,1, Interim Dividend - Rs 2 Per Share,05-Feb-2020,06-Feb-2020,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
GODREJCP,EQ,-,1, Interim Dividend - Rs 2 Per Share,14-Nov-2019,15-Nov-2019,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
GODREJCP,EQ,-,1, Interim Dividend - Rs 2 Per Share,08-Aug-2019,09-Aug-2019,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
GODREJCP,EQ,-,1, Interim Dividend - Rs 2 Per Share,10-May-2019,13-May-2019,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
GODREJCP,EQ,-,1, Interim Dividend - Rs 2 Per Share,05-Feb-2019,06-Feb-2019,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
GODREJCP,EQ,-,1, Interim Dividend - Rs 4 Per Share,13-Nov-2018,14-Nov-2018,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
GODREJCP,EQ,-,1, Bonus 1:2,12-Sep-2018,14-Sep-2018,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
GODREJCP,EQ,-,1, Interim Dividend-Rs 2/- Per Share (Purpose Revised),06-Aug-2018,07-Aug-2018,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
GODREJCP,EQ,-,1, Interim Dividend- Rs 7 Per Share (Purpose Revised),15-May-2018,16-May-2018,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
GODREJCP,EQ,-,1, Interim Dividend -Re 1/- Per Share (Purpose Revised),06-Feb-2018,07-Feb-2018,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
GODREJCP,EQ,-,1, Interim Dividend - Re 1/- Per Share (Purpose Revised),08-Nov-2017,09-Nov-2017,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
GODREJCP,EQ,-,1, Interim Dividend - Re 1/- Per Share (Purpose Revised),07-Aug-2017,08-Aug-2017,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
