symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
HAL,EQ,-,5,Dividend - Rs 15 Per Share,21-Aug-2025,21-Aug-2025,-,-,-,Hindustan Aeronautics Limited,INE066F01012,-,
HAL,EQ,-,5,Interim Dividend - Rs 25 Per Share,18-Feb-2025,18-Feb-2025,-,-,-,Hindustan Aeronautics Limited,INE066F01012,-,
HAL,EQ,-,5,Dividend - Rs 13 Per Share,21-Aug-2024,21-Aug-2024,-,-,-,Hindustan Aeronautics Limited,INE066F01012,-,
HAL,EQ,-,5,Annual General Meeting,21-Aug-2024,-,22-Aug-2024,28-Aug-2024,-,Hindustan Aeronautics Limited,INE066F01012,-,
HAL,EQ,-,5,Interim Dividend - Rs 22 Per Share,20-Feb-2024,20-Feb-2024,-,-,-,Hindustan Aeronautics Limited,INE066F01012,-,
HAL,EQ,-,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,28-Sep-2023,29-Sep-2023,-,-,-,Hindustan Aeronautics Limited,INE066F01012,-,
HAL,EQ,-,5,Annual General Meeting,24-Aug-2023,-,25-Aug-2023,31-Aug-2023,-,Hindustan Aeronautics Limited,INE066F01012,-,
HAL,EQ,-,5,Dividend - Rs 15 Per Share,24-Aug-2023,24-Aug-2023,-,-,-,Hindustan Aeronautics Limited,INE066F01012,-,
HAL,EQ,-,5,Interim Dividend - Rs 20 Per Share,20-Mar-2023,20-Mar-2023,-,-,-,Hindustan Aeronautics Limited,INE066F01012,-,
HAL,EQ,-,5,Interim Dividend - Rs 20 Per Share,18-Nov-2022,21-Nov-2022,-,-,-,Hindustan Aeronautics Limited,INE066F01012,-,
HAL,EQ,-,5,Dividend - Rs 10 Per Share,19-Aug-2022,22-Aug-2022,-,-,-,Hindustan Aeronautics Limited,INE066F01012,-,
HAL,EQ,-,5,Annual General Meeting,19-Aug-2022,-,23-Aug-2022,29-Aug-2022,-,Hindustan Aeronautics Limited,INE066F01012,-,
HAL,EQ,-,5,Interim Dividend - Rs 26 Per Share,17-Feb-2022,18-Feb-2022,-,-,-,Hindustan Aeronautics Limited,INE066F01012,-,
HAL,EQ,-,5, Interim Dividend - Rs 14 Per Share,23-Nov-2021,24-Nov-2021,-,-,-,Hindustan Aeronautics Limited,INE066F01012,-,
HAL,EQ,-,5, Annual General Meeting,22-Sep-2021,-,24-Sep-2021,30-Sep-2021,-,Hindustan Aeronautics Limited,INE066F01012,-,
HAL,EQ,-,5, Interim Dividend - Rs 15 Per Share,05-Mar-2021,08-Mar-2021,-,-,-,Hindustan Aeronautics Limited,INE066F01012,-,
HAL,EQ,-,5, Interim Dividend - Rs 15 Per Share,17-Dec-2020,19-Dec-2020,-,-,-,Hindustan Aeronautics Limited,INE066F01012,-,
HAL,EQ,-,5, Annual General Meeting,22-Sep-2020,-,24-Sep-2020,30-Sep-2020,-,Hindustan Aeronautics Limited,INE066F01012,-,
HAL,EQ,-,5, Interim Dividend - Rs 33.25 Per Share,23-Mar-2020,24-Mar-2020,-,-,-,Hindustan Aeronautics Limited,INE066F01012,-,
HAL,EQ,-,5, Annual General Meeting,09-Sep-2019,-,12-Sep-2019,18-Sep-2019,-,Hindustan Aeronautics Limited,INE066F01012,-,
