symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
HAVELLS,EQ,-,1,Annual General Meeting/Dividend - Rs 6 Per Share,23-May-2025,25-May-2025,-,-,-,Havells India Limited,INE176B01018,-,
HAVELLS,EQ,-,1,Interim Dividend - Rs 4 Per Share,22-Jan-2025,22-Jan-2025,-,-,-,Havells India Limited,INE176B01018,-,
HAVELLS,EQ,-,1,Annual General Meeting/Dividend - Rs 6 Per Share,31-May-2024,-,03-Jun-2024,07-Jun-2024,-,Havells India Limited,INE176B01018,-,
HAVELLS,EQ,-,1,Interim Dividend - Rs 3 Per Share,01-Feb-2024,01-Feb-2024,-,-,-,Havells India Limited,INE176B01018,-,
HAVELLS,EQ,-,1,Annual General Meeting/Dividend - Rs 4.50 Per Share,02-Jun-2023,-,05-Jun-2023,09-Jun-2023,-,Havells India Limited,INE176B01018,-,
HAVELLS,EQ,-,1,Interim Dividend - Rs 3 Per Share,25-Jan-2023,28-Jan-2023,-,-,-,Havells India Limited,INE176B01018,-,
HAVELLS,EQ,-,1,Annual General Meeting/Dividend - Rs 4.50 Per Share,14-Jun-2022,-,16-Jun-2022,21-Jun-2022,-,Havells India Limited,INE176B01018,-,
HAVELLS,EQ,-,1, Interim Dividend - Rs 3 Per Share,27-Oct-2021,28-Oct-2021,-,-,-,Havells India Limited,INE176B01018,-,
HAVELLS,EQ,-,1, Annual General Meeting/Dividend - Rs 3.50 Per Share,17-Jun-2021,-,19-Jun-2021,23-Jun-2021,-,Havells India Limited,INE176B01018,-,
HAVELLS,EQ,-,1, Interim Dividend - Rs 3 Per Share,28-Jan-2021,29-Jan-2021,-,-,-,Havells India Limited,INE176B01018,-,
HAVELLS,EQ,-,1, Interim Dividend - Rs 4 Per Share,16-Mar-2020,17-Mar-2020,-,-,-,Havells India Limited,INE176B01018,-,
HAVELLS,EQ,-,1, Annual General Meeting/Dividend - Rs 4.50 Per Share,18-Jul-2019,-,20-Jul-2019,26-Jul-2019,-,Havells India Limited,INE176B01018,-,
HAVELLS,EQ,-,1, Annual General Meeting/Dividend- Rs 4 Per Share,04-Jul-2018,-,06-Jul-2018,13-Jul-2018,-,Havells India Limited,INE176B01018,-,
HAVELLS,EQ,-,1, Annual General Meeting/Dividend - Rs 3.50 Per Share,21-Jun-2017,-,23-Jun-2017,30-Jun-2017,-,Havells India Limited,INE176B01018,-,
HAVELLS,EQ,-,1, Annual General Meeting/ Dividend -Rs 3/- Per Share,29-Jun-2016,-,01-Jul-2016,08-Jul-2016,-,Havells India Limited,INE176B01018,-,
HAVELLS,EQ,-,1, Special Dividend - Rs 3/- Per Share (Purpose Revised),10-Feb-2016,11-Feb-2016,-,-,-,Havells India Limited,INE176B01018,-,
HAVELLS,EQ,-,1,Annaul General Meeting/Dividend - Rs 3/- Per Share,29-Jun-2015,-,01-Jul-2015,07-Jul-2015,-,Havells India Limited,INE176B01018,-,
HAVELLS,EQ,-,1,Face Value Split From Rs 5/- Per Share To Re 1/- Per Share,26-Aug-2014,27-Aug-2014,-,-,-,Havells India Limited,INE176B01018,-,
HAVELLS,EQ,-,1,Annual General Meeting / Final Dividend - Rs 10/- Per Share,26-Jun-2014,-,28-Jun-2014,04-Jul-2014,-,Havells India Limited,INE176B01018,-,
HAVELLS,EQ,-,1,Interim Dividend - Rs 5/- Per Share (Purpose Revised),19-Mar-2014,20-Mar-2014,-,-,-,Havells India Limited,INE176B01018,-,
