symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
HCLTECH,EQ,-,2,Interim Dividend - Rs 12 Per Share,17-Oct-2025,17-Oct-2025,-,-,-,HCL Technologies Limited,INE860A01027,-,
HCLTECH,EQ,-,2,Interim Dividend - Rs 12 Per Share,18-Jul-2025,18-Jul-2025,-,-,-,HCL Technologies Limited,INE860A01027,-,
HCLTECH,EQ,-,2,Interim Dividend - Rs 18 Per Share,28-Apr-2025,28-Apr-2025,-,-,-,HCL Technologies Limited,INE860A01027,-,
HCLTECH,EQ,-,2,Interim Dividend - Rs 12 Per Share Special Dividend - Rs 6 Per Share,17-Jan-2025,17-Jan-2025,-,-,-,HCL Technologies Limited,INE860A01027,-,
HCLTECH,EQ,-,2,Interim Dividend - Rs 12 Per Share,22-Oct-2024,22-Oct-2024,-,-,-,HCL Technologies Limited,INE860A01027,-,
HCLTECH,EQ,-,2,Interim Dividend - Rs 12 Per Share,23-Jul-2024,23-Jul-2024,-,-,-,HCL Technologies Limited,INE860A01027,-,
HCLTECH,EQ,-,2,Interim Dividend - Rs 18 Per Share,07-May-2024,07-May-2024,-,-,-,HCL Technologies Limited,INE860A01027,-,
HCLTECH,EQ,-,2,Interim Dividend - Rs 12 Per Share,19-Jan-2024,20-Jan-2024,-,-,-,HCL Technologies Limited,INE860A01027,-,
HCLTECH,EQ,-,2,Interim Dividend - Rs 12 Per Share,20-Oct-2023,20-Oct-2023,-,-,-,HCL Technologies Limited,INE860A01027,-,
HCLTECH,EQ,-,2,Dividend - Rs 10 Per Share,20-Jul-2023,20-Jul-2023,-,-,-,HCL Technologies Limited,INE860A01027,-,
HCLTECH,EQ,-,2,Interim Dividend - Rs 18 Per Share,28-Apr-2023,28-Apr-2023,-,-,-,HCL Technologies Limited,INE860A01027,-,
HCLTECH,EQ,-,2,Interim Dividend - Rs 10 Per Share,19-Jan-2023,20-Jan-2023,-,-,-,HCL Technologies Limited,INE860A01027,-,
HCLTECH,EQ,-,2,Interim Dividend - Rs 10 Per Share,19-Oct-2022,20-Oct-2022,-,-,-,HCL Technologies Limited,INE860A01027,-,
HCLTECH,EQ,-,2,Interim Dividend- Rs 10 Per Share,19-Jul-2022,20-Jul-2022,-,-,-,HCL Technologies Limited,INE860A01027,-,
HCLTECH,EQ,-,2,Interim Dividend Rs 18 Per Share,28-Apr-2022,29-Apr-2022,-,-,-,HCL Technologies Limited,INE860A01027,-,
HCLTECH,EQ,-,2,Interim Dividend - Rs 10 Per Share,20-Jan-2022,22-Jan-2022,-,-,-,HCL Technologies Limited,INE860A01027,-,
HCLTECH,EQ,-,2, Interm Dividend - Rs 10 Per Share,21-Oct-2021,23-Oct-2021,-,-,-,HCL Technologies Limited,INE860A01027,-,
HCLTECH,EQ,-,2, Interim Dividend - Rs 6 Per Share,27-Jul-2021,28-Jul-2021,-,-,-,HCL Technologies Limited,INE860A01027,-,
HCLTECH,EQ,-,2, Interim Dividend - Rs 6 Per Share Special Interim Dividend - Rs 10 Per Share,29-Apr-2021,01-May-2021,-,-,-,HCL Technologies Limited,INE860A01027,-,
HCLTECH,EQ,-,2, Interim Dividend - Rs 4 Per Share,21-Jan-2021,23-Jan-2021,-,-,-,HCL Technologies Limited,INE860A01027,-,
