symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
HDFCBANK,EQ,-,1,Bonus 1:1,26-Aug-2025,27-Aug-2025,-,-,-,HDFC Bank Limited,INE040A01018,-,
HDFCBANK,EQ,-,1,Special Dividend - Rs 5 Per Share,25-Jul-2025,25-Jul-2025,-,-,-,HDFC Bank Limited,INE040A01018,-,
HDFCBANK,EQ,-,1,Dividend - Rs 22 Per Share,27-Jun-2025,27-Jun-2025,-,-,-,HDFC Bank Limited,INE040A01018,-,
HDFCBANK,EQ,-,1,Dividend - Rs 19.50 Per Share,10-May-2024,10-May-2024,-,-,-,HDFC Bank Limited,INE040A01018,-,
HDFCBANK,EQ,-,1,Dividend - Rs 19 Per Share,16-May-2023,16-May-2023,-,-,-,HDFC Bank Limited,INE040A01018,-,
HDFCBANK,EQ,-,1,Dividend - Rs 15.50 Per Share,12-May-2022,13-May-2022,-,-,-,HDFC Bank Limited,INE040A01018,-,
HDFCBANK,EQ,-,1, Dividend - Rs 6.50 Per Share,29-Jun-2021,30-Jun-2021,-,-,-,HDFC Bank Limited,INE040A01018,-,
HDFCBANK,EQ,-,1, Face Value Split (Sub-Division) - From Rs 2 Per Share To Rs 1 Per Share,19-Sep-2019,20-Sep-2019,-,-,-,HDFC Bank Limited,INE040A01018,-,
HDFCBANK,EQ,-,1, Special Dividend - Rs 5 Per Share,01-Aug-2019,02-Aug-2019,-,-,-,HDFC Bank Limited,INE040A01018,-,
HDFCBANK,EQ,-,1, Dividend Rs 15 Per Sh,20-Jun-2019,21-Jun-2019,-,-,-,HDFC Bank Limited,INE040A01018,-,
HDFCBANK,EQ,-,1, Dividend- Rs 13 Per Share,31-May-2018,01-Jun-2018,-,-,-,HDFC Bank Limited,INE040A01018,-,
HDFCBANK,EQ,-,1, Dividend - Rs 11/- Per Share,29-Jun-2017,30-Jun-2017,-,-,-,HDFC Bank Limited,INE040A01018,-,
HDFCBANK,EQ,-,1, Dividend - Rs 9.50/- Per Share,29-Jun-2016,30-Jun-2016,-,-,-,HDFC Bank Limited,INE040A01018,-,
HDFCBANK,EQ,-,1,Annual General Meeting/ Dividend - Rs 8/- Per Share,02-Jul-2015,-,04-Jul-2015,21-Jul-2015,-,HDFC Bank Limited,INE040A01018,-,
HDFCBANK,EQ,-,1,Annual General Meeting And Dividend - Rs.6.85/- Per Share,05-Jun-2014,-,07-Jun-2014,25-Jun-2014,-,HDFC Bank Limited,INE040A01018,-,
HDFCBANK,EQ,-,1,Annual General Meeting / Final Dividend Rs.5.50/- Per Equity Share,13-Jun-2013,-,15-Jun-2013,27-Jun-2013,-,HDFC Bank Limited,INE040A01018,-,
HDFCBANK,EQ,-,1,Annual General Meeting And Dividend Rs.4.30 Per Share,28-Jun-2012,-,01-Jul-2012,13-Jul-2012,-,HDFC Bank Limited,INE040A01018,-,
HDFCBANK,EQ,-,1,Face Value Split From Rs.10/- To Rs.2/-,14-Jul-2011,16-Jul-2011,-,-,-,HDFC Bank Limited,INE040A01018,-,
HDFCBANK,EQ,-,1,Annual General Meeting And Dividend Rs.16.50 Per Share,02-Jun-2011,-,04-Jun-2011,10-Jun-2011,-,HDFC Bank Limited,INE040A01018,-,
HDFCBANK,EQ,-,1,Agm/Div-Rs.12/- Per Share,10-Jun-2010,-,12-Jun-2010,30-Jun-2010,-,HDFC Bank Limited,INE040A01018,-,
