symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
HEROMOTOCO,EQ,-,2,Dividend - Rs 65 Per Share,24-Jul-2025,24-Jul-2025,-,-,-,Hero MotoCorp Limited,INE158A01026,-,
HEROMOTOCO,EQ,-,2,Interim Dividend - Rs 100 Per Share,12-Feb-2025,12-Feb-2025,-,-,-,Hero MotoCorp Limited,INE158A01026,-,
HEROMOTOCO,EQ,-,2,Annual General Meeting/Dividend - Rs 40 Per Share,01-Aug-2024,-,02-Aug-2024,12-Aug-2024,-,Hero MotoCorp Limited,INE158A01026,-,
HEROMOTOCO,EQ,-,2,Interim Dividend - Rs 75 Per Share/ Special Dividend - Rs 25 Per Share,21-Feb-2024,21-Feb-2024,-,-,-,Hero MotoCorp Limited,INE158A01026,-,
HEROMOTOCO,EQ,-,2,Annual General Meeting/Dividend - Rs  35 Per Share,27-Jul-2023,-,28-Jul-2023,09-Aug-2023,-,Hero MotoCorp Limited,INE158A01026,-,
HEROMOTOCO,EQ,-,2,Interim Dividend - Rs  65 Per Share,17-Feb-2023,17-Feb-2023,-,-,-,Hero MotoCorp Limited,INE158A01026,-,
HEROMOTOCO,EQ,-,2,Annual General Meeting/Dividend - Rs  35 Per Share,27-Jul-2022,-,29-Jul-2022,09-Aug-2022,-,Hero MotoCorp Limited,INE158A01026,-,
HEROMOTOCO,EQ,-,2,Interim Dividend - Rs 60 Per Share,21-Feb-2022,22-Feb-2022,-,-,-,Hero MotoCorp Limited,INE158A01026,-,
HEROMOTOCO,EQ,-,2, Annual General Meeting/Dividend - Rs 25 Per Share/ Special Dividend - Rs 10 Per Share,22-Jul-2021,-,24-Jul-2021,04-Aug-2021,-,Hero MotoCorp Limited,INE158A01026,-,
HEROMOTOCO,EQ,-,2, Interim Dividend - Rs 65 Per Share Special Dividend - Rs 5 Per Share,15-Feb-2021,16-Feb-2021,-,-,-,Hero MotoCorp Limited,INE158A01026,-,
HEROMOTOCO,EQ,-,2, Annual General Meeting/Dividend - Rs 25 Per Share,30-Jul-2020,-,03-Aug-2020,12-Aug-2020,-,Hero MotoCorp Limited,INE158A01026,-,
HEROMOTOCO,EQ,-,2, Interim Dividend - Rs 65 Per Sh,17-Feb-2020,18-Feb-2020,-,-,-,Hero MotoCorp Limited,INE158A01026,-,
HEROMOTOCO,EQ,-,2, Annual General Meeting/Dividend - Rs 32 Per Share,16-Jul-2019,-,18-Jul-2019,29-Jul-2019,-,Hero MotoCorp Limited,INE158A01026,-,
HEROMOTOCO,EQ,-,2, Interim Dividend -  Rs 55 Per Share,11-Feb-2019,12-Feb-2019,-,-,-,Hero MotoCorp Limited,INE158A01026,-,
HEROMOTOCO,EQ,-,2, Annual General Meeting / Dividend- Rs 40 Per Share,11-Jul-2018,-,13-Jul-2018,24-Jul-2018,-,Hero MotoCorp Limited,INE158A01026,-,
HEROMOTOCO,EQ,-,2, Interim Dividend Rs 55/- Per Share,15-Feb-2018,17-Feb-2018,-,-,-,Hero MotoCorp Limited,INE158A01026,-,
HEROMOTOCO,EQ,-,2, Annual General Meeting/Dividend - Rs 30/- Per Share,30-Jun-2017,-,04-Jul-2017,14-Jul-2017,-,Hero MotoCorp Limited,INE158A01026,-,
HEROMOTOCO,EQ,-,2, Interim Dividend Rs 55/- Per Share,16-Mar-2017,18-Mar-2017,-,-,-,Hero MotoCorp Limited,INE158A01026,-,
HEROMOTOCO,EQ,-,2, Annual General Meeting/Dividend - Rs 32/- Per Share,15-Sep-2016,-,17-Sep-2016,23-Sep-2016,-,Hero MotoCorp Limited,INE158A01026,-,
HEROMOTOCO,EQ,-,2, Interim Dividend - Rs 40/- Per Share,21-Mar-2016,22-Mar-2016,-,-,-,Hero MotoCorp Limited,INE158A01026,-,
