symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
HINDALCO,EQ,-,1,Dividend - Rs 5 Per Share,08-Aug-2025,08-Aug-2025,-,-,-,Hindalco Industries Limited,INE038A01020,-,
HINDALCO,EQ,-,1,Annual General Meeting/Dividend - Rs 3.5 Per Share,09-Aug-2024,09-Aug-2024,-,-,-,Hindalco Industries Limited,INE038A01020,-,
HINDALCO,EQ,-,1,Annual General Meeting/Dividend - Rs  3 Per Share,14-Aug-2023,-,16-Aug-2023,22-Aug-2023,-,Hindalco Industries Limited,INE038A01020,-,
HINDALCO,EQ,-,1,Annual General Meeting/Dividend - Rs 4 Per Share,11-Aug-2022,-,16-Aug-2022,22-Aug-2022,-,Hindalco Industries Limited,INE038A01020,-,
HINDALCO,EQ,-,1, Annual General Meeting/Dividend - Rs 3 Per Share,12-Aug-2021,-,17-Aug-2021,23-Aug-2021,-,Hindalco Industries Limited,INE038A01020,-,
HINDALCO,EQ,-,1, Annual General Meeting/Dividend - Re 1 Per Share,03-Sep-2020,-,05-Sep-2020,10-Sep-2020,-,Hindalco Industries Limited,INE038A01020,-,
HINDALCO,EQ,-,1, Annual General Meeting/Dividend - Rs 1.20 Per Share,14-Aug-2019,-,17-Aug-2019,30-Aug-2019,-,Hindalco Industries Limited,INE038A01020,-,
HINDALCO,EQ,-,1, Dividend- Rs 1.20 Per Share,12-Sep-2018,-,15-Sep-2018,21-Sep-2018,-,Hindalco Industries Limited,INE038A01020,-,
HINDALCO,EQ,-,1, Annual General Meeting/Dividend - Rs 1.10 Per Share,05-Sep-2017,-,07-Sep-2017,13-Sep-2017,-,Hindalco Industries Limited,INE038A01020,-,
HINDALCO,EQ,-,1, Dividend - Re 1/- Per Share,06-Sep-2016,-,08-Sep-2016,14-Sep-2016,-,Hindalco Industries Limited,INE038A01020,-,
HINDALCO,EQ,-,1,Dividend - Re 1 Per Share,07-Sep-2015,-,09-Sep-2015,16-Sep-2015,-,Hindalco Industries Limited,INE038A01020,-,
HINDALCO,EQ,-,1,Annual General Meeting / Dividend - Re 1/- Per Share,08-Sep-2014,-,10-Sep-2014,17-Sep-2014,-,Hindalco Industries Limited,INE038A01020,-,
HINDALCO,EQ,-,1,Annual General Meeting And Dividend Rs.1.40 Per Share,30-Aug-2013,-,03-Sep-2013,10-Sep-2013,-,Hindalco Industries Limited,INE038A01020,-,
HINDALCO,EQ,-,1,Annual General Meeting/Dividend Rs 1.55 Per Share,31-Aug-2012,-,04-Sep-2012,11-Sep-2012,-,Hindalco Industries Limited,INE038A01020,-,
HINDALCO,EQ,-,1,Dividend-Rs.1.50 Per Share,14-Sep-2011,-,16-Sep-2011,23-Sep-2011,-,Hindalco Industries Limited,INE038A01020,-,
HINDALCO,EQ,-,1,Dividend-Rs.1.35 Per Share,24-Aug-2010,-,26-Aug-2010,03-Sep-2010,-,Hindalco Industries Limited,INE038A01020,-,
HINDALCO,EQ,-,1,Dividend-Rs.1.35 Pr Share,10-Sep-2009,-,14-Sep-2009,18-Sep-2009,-,Hindalco Industries Limited,INE038A01020,-,
HINDALCO,EQ,-,1,Rhs 3:7@Prem Rs95/Div185%,28-Aug-2008,-,05-Sep-2008,05-Sep-2008,28-Aug-2008,Hindalco Industries Limited,INE038A01020,04-Sep-2008,
HINDALCO,EQ,-,1,Agm,23-Jul-2007,-,25-Jul-2007,31-Jul-2007,-,Hindalco Industries Limited,INE038A01020,-,
HINDALCO,EQ,-,1,Interim Dividend-170%    Purpose Revised,16-Mar-2007,20-Mar-2007,-,-,-,Hindalco Industries Limited,INE038A01020,-,
