symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
HINDUNILVR,EQ,-,1,Demerger,05-Dec-2025,05-Dec-2025,-,-,-,Hindustan Unilever Limited,INE030A01027,-,
HINDUNILVR,EQ,-,1,Interim Dividend - Rs 19 Per Share,07-Nov-2025,07-Nov-2025,-,-,-,Hindustan Unilever Limited,INE030A01027,-,
HINDUNILVR,EQ,-,1,Dividend - Rs 24 Per Share,23-Jun-2025,23-Jun-2025,-,-,-,Hindustan Unilever Limited,INE030A01027,-,
HINDUNILVR,EQ,-,1,Interim Dividend - Rs 19 Per Share/Special Dividend - Rs 10 Per Share,06-Nov-2024,06-Nov-2024,-,-,-,Hindustan Unilever Limited,INE030A01027,-,
HINDUNILVR,EQ,-,1,Annual General Meeting/Dividend - Rs 24 Per Share,14-Jun-2024,-,15-Jun-2024,21-Jun-2024,-,Hindustan Unilever Limited,INE030A01027,-,
HINDUNILVR,EQ,-,1,Interim Dividend - Rs 18 Per Share,02-Nov-2023,02-Nov-2023,-,-,-,Hindustan Unilever Limited,INE030A01027,-,
HINDUNILVR,EQ,-,1,Annual General Meeting/Dividend - Rs 22 Per Share,19-Jun-2023,-,20-Jun-2023,26-Jun-2023,-,Hindustan Unilever Limited,INE030A01027,-,
HINDUNILVR,EQ,-,1,Interim Dividend - Rs 17 Per Share,01-Nov-2022,02-Nov-2022,-,-,-,Hindustan Unilever Limited,INE030A01027,-,
HINDUNILVR,EQ,-,1,Annual General Meeting/Dividend - Rs  19 Per Share,15-Jun-2022,-,17-Jun-2022,23-Jun-2022,-,Hindustan Unilever Limited,INE030A01027,-,
HINDUNILVR,EQ,-,1, Interim Dividend - Rs 15 Per Share,26-Oct-2021,27-Oct-2021,-,-,-,Hindustan Unilever Limited,INE030A01027,-,
HINDUNILVR,EQ,-,1, Annual General Meeting/Dividend - Rs 17  Per Sh,14-Jun-2021,-,16-Jun-2021,22-Jun-2021,-,Hindustan Unilever Limited,INE030A01027,-,
HINDUNILVR,EQ,-,1, Interim Dividend - Rs 14 Per Share,28-Oct-2020,29-Oct-2020,-,-,-,Hindustan Unilever Limited,INE030A01027,-,
HINDUNILVR,EQ,-,1, Special Dividend - Rs 9.50 Per Share,30-Jul-2020,31-Jul-2020,-,-,-,Hindustan Unilever Limited,INE030A01027,-,
HINDUNILVR,EQ,-,1, Annual General Meeting/Dividend - Rs 14 Per Share,19-Jun-2020,-,23-Jun-2020,30-Jun-2020,-,Hindustan Unilever Limited,INE030A01027,-,
HINDUNILVR,EQ,-,1, Interim Dividend - Rs 11 Per Sh,23-Oct-2019,24-Oct-2019,-,-,-,Hindustan Unilever Limited,INE030A01027,-,
HINDUNILVR,EQ,-,1, Annual General Meeting/ Dividend - Rs 13 Per Share,20-Jun-2019,-,22-Jun-2019,29-Jun-2019,-,Hindustan Unilever Limited,INE030A01027,-,
HINDUNILVR,EQ,-,1, Interim Dividend - Rs 9 Per Share (Date And Purpose Revised),25-Oct-2018,26-Oct-2018,-,-,-,Hindustan Unilever Limited,INE030A01027,-,
HINDUNILVR,EQ,-,1, Annual General Meeting / Dividend- Rs 12 Per Share,21-Jun-2018,-,23-Jun-2018,29-Jun-2018,-,Hindustan Unilever Limited,INE030A01027,-,
HINDUNILVR,EQ,-,1, Interim Dividend - Rs 8/- Per Share,01-Nov-2017,02-Nov-2017,-,-,-,Hindustan Unilever Limited,INE030A01027,-,
HINDUNILVR,EQ,-,1, Annual General Meeting/Dividend - Rs 10/- Per Share,22-Jun-2017,-,24-Jun-2017,30-Jun-2017,-,Hindustan Unilever Limited,INE030A01027,-,
