symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
HINDZINC,EQ,-,2,Interim Dividend - Rs 10 Per Share,17-Jun-2025,17-Jun-2025,-,-,-,Hindustan Zinc Limited,INE267A01017,-,
HINDZINC,EQ,-,2,Interim Dividend - Rs 19 Per Share,28-Aug-2024,28-Aug-2024,-,-,-,Hindustan Zinc Limited,INE267A01017,-,
HINDZINC,EQ,-,2,Annual General Meeting,23-Jul-2024,-,24-Jul-2024,28-Jul-2024,-,Hindustan Zinc Limited,INE267A01017,-,
HINDZINC,EQ,-,2,Interim Dividend - Rs 10 Per Share,15-May-2024,15-May-2024,-,-,-,Hindustan Zinc Limited,INE267A01017,-,
HINDZINC,EQ,-,2,Interim Dividend - Rs 6 Per Share,14-Dec-2023,14-Dec-2023,-,-,-,Hindustan Zinc Limited,INE267A01017,-,
HINDZINC,EQ,-,2,Annual General Meeting,18-Aug-2023,-,19-Aug-2023,23-Aug-2023,-,Hindustan Zinc Limited,INE267A01017,-,
HINDZINC,EQ,-,2,Interim Dividend - Rs 7 Per Share,14-Jul-2023,15-Jul-2023,-,-,-,Hindustan Zinc Limited,INE267A01017,-,
HINDZINC,EQ,-,2,Interim Dividend - Rs 26 Per Share,29-Mar-2023,29-Mar-2023,-,-,-,Hindustan Zinc Limited,INE267A01017,-,
HINDZINC,EQ,-,2,Interim Dividend - Rs 13 Per Share,30-Jan-2023,30-Jan-2023,-,-,-,Hindustan Zinc Limited,INE267A01017,-,
HINDZINC,EQ,-,2,Interim Dividend - Rs 15.50 Per Share,23-Nov-2022,24-Nov-2022,-,-,-,Hindustan Zinc Limited,INE267A01017,-,
HINDZINC,EQ,-,2,Annual General Meeting,02-Aug-2022,-,04-Aug-2022,07-Aug-2022,-,Hindustan Zinc Limited,INE267A01017,-,
HINDZINC,EQ,-,2,Interim Dividend- Rs 21 Per Share,20-Jul-2022,21-Jul-2022,-,-,-,Hindustan Zinc Limited,INE267A01017,-,
HINDZINC,EQ,-,2, Interim Dividend - Rs 18 Per Share,14-Dec-2021,15-Dec-2021,-,-,-,Hindustan Zinc Limited,INE267A01017,-,
HINDZINC,EQ,-,2, Annual General Meeting,03-Aug-2021,-,05-Aug-2021,08-Aug-2021,-,Hindustan Zinc Limited,INE267A01017,-,
HINDZINC,EQ,-,2, Interim Dividend - Rs  21.30 Per Share,27-Oct-2020,28-Oct-2020,-,-,-,Hindustan Zinc Limited,INE267A01017,-,
HINDZINC,EQ,-,2, Annual General Meeting,27-Aug-2020,-,31-Aug-2020,02-Sep-2020,-,Hindustan Zinc Limited,INE267A01017,-,
HINDZINC,EQ,-,2, Interim Dividend - Rs 16.5 Per Share,19-May-2020,20-May-2020,-,-,-,Hindustan Zinc Limited,INE267A01017,-,
HINDZINC,EQ,-,2, Annual General Meeting,24-Jul-2019,-,26-Jul-2019,30-Jul-2019,-,Hindustan Zinc Limited,INE267A01017,-,
HINDZINC,EQ,-,2, Interim Dividend - Rs 20 Per Share,31-Oct-2018,01-Nov-2018,-,-,-,Hindustan Zinc Limited,INE267A01017,-,
HINDZINC,EQ,-,2, Annual General Meeting,23-Aug-2018,-,27-Aug-2018,30-Aug-2018,-,Hindustan Zinc Limited,INE267A01017,-,
