symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
ICICIBANK,EQ,-,2,Dividend - Rs 11 Per Share,12-Aug-2025,12-Aug-2025,-,-,-,ICICI Bank Limited,INE090A01013,-,
ICICIBANK,EQ,-,2,Dividend - Rs 10 Per Share,12-Aug-2024,12-Aug-2024,-,-,-,ICICI Bank Limited,INE090A01013,-,
ICICIBANK,EQ,-,2,Dividend - Rs 8 Per Share,09-Aug-2023,09-Aug-2023,-,-,-,ICICI Bank Limited,INE090A01013,-,
ICICIBANK,EQ,-,2,Dividend - Rs 5 Per Share,08-Aug-2022,10-Aug-2022,-,-,-,ICICI Bank Limited,INE090A01013,-,
ICICIBANK,EQ,-,2, Dividend - Rs 2 Per Share,29-Jul-2021,30-Jul-2021,-,-,-,ICICI Bank Limited,INE090A01013,-,
ICICIBANK,EQ,-,2, Annual General Meeting/Dividend - Re 1 Per Share,22-Jul-2019,-,24-Jul-2019,09-Aug-2019,-,ICICI Bank Limited,INE090A01013,-,
ICICIBANK,EQ,-,2, Dividend- Rs 1.50 Per Share (Date Revised),24-Aug-2018,-,28-Aug-2018,12-Sep-2018,-,ICICI Bank Limited,INE090A01013,-,
ICICIBANK,EQ,-,2, Annual General Meeting/Dividend - Rs 2.50 Per Share/Bonus 1:10 (Revised),20-Jun-2017,-,22-Jun-2017,24-Jun-2017,-,ICICI Bank Limited,INE090A01013,-,
ICICIBANK,EQ,-,2, Annual General Meeting/ Dividend - Rs 5/- Per Share ,16-Jun-2016,-,18-Jun-2016,11-Jul-2016,-,ICICI Bank Limited,INE090A01013,-,
ICICIBANK,EQ,-,2,Annual General Meeting/ Dividend - Rs 5/- Per Share,04-Jun-2015,-,06-Jun-2015,29-Jun-2015,-,ICICI Bank Limited,INE090A01013,-,
ICICIBANK,EQ,-,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,04-Dec-2014,05-Dec-2014,-,-,-,ICICI Bank Limited,INE090A01013,-,
ICICIBANK,EQ,-,2,Annual General Meeting/Dividend Rs.23/- Per Share,05-Jun-2014,-,07-Jun-2014,30-Jun-2014,-,ICICI Bank Limited,INE090A01013,-,
ICICIBANK,EQ,-,2,Annual General Meeting/Dividend Rs.20/- Per Share,30-May-2013,-,01-Jun-2013,24-Jun-2013,-,ICICI Bank Limited,INE090A01013,-,
ICICIBANK,EQ,-,2,Annual General Meeting And Dividend Rs.16.50 Per Share,31-May-2012,-,02-Jun-2012,25-Jun-2012,-,ICICI Bank Limited,INE090A01013,-,
ICICIBANK,EQ,-,2,Annual General Meeting And Dividend Rs.14/- Per Share,02-Jun-2011,-,04-Jun-2011,27-Jun-2011,-,ICICI Bank Limited,INE090A01013,-,
ICICIBANK,EQ,-,2,Annual General Meeting And Dividend Rs.12/- Per Share,10-Jun-2010,-,12-Jun-2010,28-Jun-2010,-,ICICI Bank Limited,INE090A01013,-,
ICICIBANK,EQ,-,2,Agm/Div-Rs.11/- Per Share,11-Jun-2009,-,15-Jun-2009,29-Jun-2009,-,ICICI Bank Limited,INE090A01013,-,
ICICIBANK,EQ,-,2,Agm/Dividend - 110%,10-Jul-2008,-,12-Jul-2008,26-Jul-2008,-,ICICI Bank Limited,INE090A01013,-,
ICICIBANK,EQ,-,2,Agm/Dividend -100%,14-Jun-2007,-,16-Jun-2007,14-Jul-2007,-,ICICI Bank Limited,INE090A01013,-,
ICICIBANK,EQ,-,2,Agm/Div-Rs.8.50/- Per Sh,06-Jul-2006,-,08-Jul-2006,22-Jul-2006,-,ICICI Bank Limited,INE090A01013,-,
