symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
ICICIGI,EQ,-,10,Interim Dividend - Rs 6.50 Per Share,23-Oct-2025,23-Oct-2025,-,-,-,ICICI Lombard General Insurance Company Limited,INE765G01017,-,
ICICIGI,EQ,-,10,Dividend - Rs 7 Per Share,06-Jun-2025,06-Jun-2025,-,-,-,ICICI Lombard General Insurance Company Limited,INE765G01017,-,
ICICIGI,EQ,-,10,Interim Dividend - Rs 5.50 Per Share,28-Oct-2024,28-Oct-2024,-,-,-,ICICI Lombard General Insurance Company Limited,INE765G01017,-,
ICICIGI,EQ,-,10,Dividend - Rs 6 Per Share,07-Jun-2024,07-Jun-2024,-,-,-,ICICI Lombard General Insurance Company Limited,INE765G01017,-,
ICICIGI,EQ,-,10,Interim Dividend - Rs 5 Per Share,27-Oct-2023,27-Oct-2023,-,-,-,ICICI Lombard General Insurance Company Limited,INE765G01017,-,
ICICIGI,EQ,-,10,Dividend - Rs 5.50 Per Share,12-Jun-2023,12-Jun-2023,-,-,-,ICICI Lombard General Insurance Company Limited,INE765G01017,-,
ICICIGI,EQ,-,10,Interim Dividend - Rs 4.50 Per Share,27-Oct-2022,28-Oct-2022,-,-,-,ICICI Lombard General Insurance Company Limited,INE765G01017,-,
ICICIGI,EQ,-,10,Dividend - Rs 5 Per Share,28-Jul-2022,29-Jul-2022,-,-,-,ICICI Lombard General Insurance Company Limited,INE765G01017,-,
ICICIGI,EQ,-,10, Interim Dividend - Rs 4 Per Sh,29-Oct-2021,01-Nov-2021,-,-,-,ICICI Lombard General Insurance Company Limited,INE765G01017,-,
ICICIGI,EQ,-,10, Annual General Meeting/Dividend - Rs 4 Per Share,02-Aug-2021,03-Aug-2021,-,-,-,ICICI Lombard General Insurance Company Limited,INE765G01017,-,
ICICIGI,EQ,-,10, Interim Dividend - Rs 4 Per Share,18-Mar-2021,19-Mar-2021,-,-,-,ICICI Lombard General Insurance Company Limited,INE765G01017,-,
ICICIGI,EQ,-,10, Interim Dividend - Rs 3.50 Per Sh,31-Oct-2019,01-Nov-2019,-,-,-,ICICI Lombard General Insurance Company Limited,INE765G01017,-,
ICICIGI,EQ,-,10, Annual General Meeting/ Dividend - Rs 3.50 Per Share,19-Jun-2019,-,21-Jun-2019,27-Jun-2019,-,ICICI Lombard General Insurance Company Limited,INE765G01017,-,
ICICIGI,EQ,-,10, Interim Dividend - Rs 2.50 Per Share,29-Oct-2018,30-Oct-2018,-,-,-,ICICI Lombard General Insurance Company Limited,INE765G01017,-,
ICICIGI,EQ,-,10, Annual General Meeting/Dividend- Rs 2.50 Per Share,04-Jul-2018,-,06-Jul-2018,12-Jul-2018,-,ICICI Lombard General Insurance Company Limited,INE765G01017,-,
ICICIGI,EQ,-,10, Interim Dividend - Re 0.75 Per Share,26-Oct-2017,27-Oct-2017,-,-,-,ICICI Lombard General Insurance Company Limited,INE765G01017,-,
