symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
ICICIPRULI,EQ,-,10,Dividend - Re 0.85 Per Share,12-Jun-2025,12-Jun-2025,-,-,-,ICICI Prudential Life Insurance Company Limited,INE726G01019,-,
ICICIPRULI,EQ,-,10,Dividend - Re 0.60 Per Share,13-Jun-2024,-,14-Jun-2024,28-Jun-2024,-,ICICI Prudential Life Insurance Company Limited,INE726G01019,-,
ICICIPRULI,EQ,-,10,Dividend - Re 0.60 Per Share,13-Jul-2023,-,14-Jul-2023,28-Jul-2023,-,ICICI Prudential Life Insurance Company Limited,INE726G01019,-,
ICICIPRULI,EQ,-,10,Dividend - Rs 0.55 Per Share,16-Jun-2022,-,20-Jun-2022,27-Jun-2022,-,ICICI Prudential Life Insurance Company Limited,INE726G01019,-,
ICICIPRULI,EQ,-,10, Dividend - Rs 2 Per Share,16-Jun-2021,-,18-Jun-2021,25-Jun-2021,-,ICICI Prudential Life Insurance Company Limited,INE726G01019,-,
ICICIPRULI,EQ,-,10, Interim Dividend - Re 0.80 Per Sh,31-Oct-2019,01-Nov-2019,-,-,-,ICICI Prudential Life Insurance Company Limited,INE726G01019,-,
ICICIPRULI,EQ,-,10, Annual General Meeting/Dividend - Rs 1.55 Per Share,09-Jul-2019,-,11-Jul-2019,17-Jul-2019,-,ICICI Prudential Life Insurance Company Limited,INE726G01019,-,
ICICIPRULI,EQ,-,10, Interim Dividend - Rs 1.6 Per Share,01-Nov-2018,02-Nov-2018,-,-,-,ICICI Prudential Life Insurance Company Limited,INE726G01019,-,
ICICIPRULI,EQ,-,10, Annual General Meeting / Final Dividend- Rs 2.20 Per Share / Special Dividend- Rs 1.10 Per Share,18-Jun-2018,-,20-Jun-2018,26-Jun-2018,-,ICICI Prudential Life Insurance Company Limited,INE726G01019,-,
ICICIPRULI,EQ,-,10, Interim Dividend - Rs 2.30 Per Share/ Special Dividend Rs 1.10 Per Share (Purpose Revised),02-Nov-2017,03-Nov-2017,-,-,-,ICICI Prudential Life Insurance Company Limited,INE726G01019,-,
ICICIPRULI,EQ,-,10, Annual General Meeting/Dividend - Rs 2.30/- Per Share/Special Dividend Rs 1.20/- Per Share,07-Jul-2017,-,11-Jul-2017,17-Jul-2017,-,ICICI Prudential Life Insurance Company Limited,INE726G01019,-,
ICICIPRULI,EQ,-,10, Interim Dividend Rs 1.75 Per Share (Purpose Revised),02-Nov-2016,03-Nov-2016,-,-,-,ICICI Prudential Life Insurance Company Limited,INE726G01019,-,
