symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
INDHOTEL,EQ,-,1,Dividend - Rs 2.25 Per Sh,30-Jun-2025,30-Jun-2025,-,-,-,The Indian Hotels Company Limited,INE053A01029,-,
INDHOTEL,EQ,-,1,Dividend - Rs 1.75 Per Share,07-Jun-2024,07-Jun-2024,-,-,-,The Indian Hotels Company Limited,INE053A01029,-,
INDHOTEL,EQ,-,1,Annual General Meeting/Dividend - Re 1 Per Share,09-Jun-2023,-,10-Jun-2023,16-Jun-2023,-,The Indian Hotels Company Limited,INE053A01029,-,
INDHOTEL,EQ,-,1,Dividend - Rs 0.40 Per Share,22-Jun-2022,-,24-Jun-2022,30-Jun-2022,-,The Indian Hotels Company Limited,INE053A01029,-,
INDHOTEL,EQ,-,1, Rights 1:9 @ Premium Rs 149/-,11-Nov-2021,13-Nov-2021,-,-,-,The Indian Hotels Company Limited,INE053A01029,-,
INDHOTEL,EQ,-,1, Annual General Meeting/Dividend - Rs 0.40 Per Share,14-Jun-2021,15-Jun-2021,-,-,-,The Indian Hotels Company Limited,INE053A01029,-,
INDHOTEL,EQ,-,1, Annual General Meeting/Dividend - Rs 0.50 Per Share,17-Jul-2020,-,21-Jul-2020,27-Jul-2020,-,The Indian Hotels Company Limited,INE053A01029,-,
INDHOTEL,EQ,-,1, Annual General Meeting/Dividend Rs 0.50 Per Share,12-Jun-2019,-,14-Jun-2019,20-Jun-2019,-,The Indian Hotels Company Limited,INE053A01029,-,
INDHOTEL,EQ,-,1, Annual General Meeting/Dividend Re- 0.40 Per Share,11-Jul-2018,-,13-Jul-2018,19-Jul-2018,-,The Indian Hotels Company Limited,INE053A01029,-,
INDHOTEL,EQ,-,1, Rights 1:5 @ Premium Rs 74/-,04-Oct-2017,05-Oct-2017,-,-,-,The Indian Hotels Company Limited,INE053A01029,-,
INDHOTEL,EQ,-,1, Annual General Meeting/Dividend - Re 0.35 Per Share,11-Aug-2017,-,15-Aug-2017,21-Aug-2017,-,The Indian Hotels Company Limited,INE053A01029,-,
INDHOTEL,EQ,-,1, Annual General Meeting/ Dividend - Re 0.30/- Per Share,12-Aug-2016,-,17-Aug-2016,23-Aug-2016,-,The Indian Hotels Company Limited,INE053A01029,-,
INDHOTEL,EQ,-,1,Annual General Meeting,06-Aug-2015,-,08-Aug-2015,10-Aug-2015,-,The Indian Hotels Company Limited,INE053A01029,-,
INDHOTEL,EQ,-,1,Annual General Meeting,21-Aug-2014,-,25-Aug-2014,27-Aug-2014,-,The Indian Hotels Company Limited,INE053A01029,-,
INDHOTEL,EQ,-,1,9 Ccds For Every 40 Equity Shares,18-Jul-2014,21-Jul-2014,-,-,-,The Indian Hotels Company Limited,INE053A01029,-,
INDHOTEL,EQ,-,1,Annual General Meeting/Dividend Re 0.80/- Per Share,17-Jul-2013,-,19-Jul-2013,02-Aug-2013,-,The Indian Hotels Company Limited,INE053A01029,-,
INDHOTEL,EQ,-,1,Annual General Meeting/Dividend Re.1/- Per Share,18-Jul-2012,-,20-Jul-2012,03-Aug-2012,-,The Indian Hotels Company Limited,INE053A01029,-,
INDHOTEL,EQ,-,1,Annual General Meeting And Dividend Re.1/- Per Share,20-Jul-2011,-,22-Jul-2011,05-Aug-2011,-,The Indian Hotels Company Limited,INE053A01029,-,
INDHOTEL,EQ,-,1,Dividend-Re.1/- Per Share,23-Jul-2010,-,27-Jul-2010,05-Aug-2010,-,The Indian Hotels Company Limited,INE053A01029,-,
INDHOTEL,EQ,-,1,Dividend-Re.1.20 Pr Share,17-Jul-2009,-,21-Jul-2009,03-Aug-2009,-,The Indian Hotels Company Limited,INE053A01029,-,
