symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
INDUSINDBK,EQ,-,10,Dividend - Rs 16.50 Per Share,28-Jun-2024,28-Jun-2024,-,-,-,IndusInd Bank Limited,INE095A01012,-,
INDUSINDBK,EQ,-,10,Dividend - Rs 14 Per Share,02-Jun-2023,02-Jun-2023,-,-,-,IndusInd Bank Limited,INE095A01012,-,
INDUSINDBK,EQ,-,10,Annual General Meeting/Dividend - Rs 8.50 Per Share,11-Aug-2022,12-Aug-2022,-,-,-,IndusInd Bank Limited,INE095A01012,-,
INDUSINDBK,EQ,-,10, Dividend - Rs 5 Per Share,17-Aug-2021,19-Aug-2021,-,-,-,IndusInd Bank Limited,INE095A01012,-,
INDUSINDBK,EQ,-,10, Annual General Meeting/Dividend - Rs 7.50 Per Share,08-Aug-2019,-,10-Aug-2019,16-Aug-2019,-,IndusInd Bank Limited,INE095A01012,-,
INDUSINDBK,EQ,-,10, Annual General Meeting / Dividend- Rs 7.50 Per Share (Date Revised),18-Jul-2018,-,20-Jul-2018,26-Jul-2018,-,IndusInd Bank Limited,INE095A01012,-,
INDUSINDBK,EQ,-,10, Annual General Meeting/Dividend - Rs 6/- Per Share,18-Jul-2017,-,20-Jul-2017,26-Jul-2017,-,IndusInd Bank Limited,INE095A01012,-,
INDUSINDBK,EQ,-,10, Annual General Meeting/ Dividend -Rs 4.50/- Per Share,23-Jun-2016,-,25-Jun-2016,01-Jul-2016,-,IndusInd Bank Limited,INE095A01012,-,
INDUSINDBK,EQ,-,10,Annual General Meeting And Dividend Rs.4/- Per Share,07-Aug-2015,-,11-Aug-2015,17-Aug-2015,-,IndusInd Bank Limited,INE095A01012,-,
INDUSINDBK,EQ,-,10,Annual General Meeting / Dividend - Rs 3.50/- Per Share,16-Jun-2014,-,18-Jun-2014,27-Jun-2014,-,IndusInd Bank Limited,INE095A01012,-,
INDUSINDBK,EQ,-,10,Annual General Meeting / Dividend Rs.3/- Per Equity Share,17-Jun-2013,-,19-Jun-2013,28-Jun-2013,-,IndusInd Bank Limited,INE095A01012,-,
INDUSINDBK,EQ,-,10,Annual General Meeting/Dividend Rs 2.20 Per Share,05-Jul-2012,-,07-Jul-2012,17-Jul-2012,-,IndusInd Bank Limited,INE095A01012,-,
INDUSINDBK,EQ,-,10,Annual General Meeting And Dividend Rs.2/- Per Share,30-Jun-2011,-,05-Jul-2011,15-Jul-2011,-,IndusInd Bank Limited,INE095A01012,-,
INDUSINDBK,EQ,-,10,Annual General Meeting And Dividend Rs.1.80 Per Share,17-Jun-2010,-,19-Jun-2010,28-Jun-2010,-,IndusInd Bank Limited,INE095A01012,-,
INDUSINDBK,EQ,-,10,Agm/Div-Rs.1.20 Per Share,22-Jun-2009,-,24-Jun-2009,03-Jul-2009,-,IndusInd Bank Limited,INE095A01012,-,
INDUSINDBK,EQ,-,10,Agm/Dividend - 6%        Bc Dates Revised,04-Sep-2008,-,08-Sep-2008,22-Sep-2008,-,IndusInd Bank Limited,INE095A01012,-,
INDUSINDBK,EQ,-,10,Agm/Dividend-6%          Purpose Revised,31-Aug-2007,-,04-Sep-2007,18-Sep-2007,-,IndusInd Bank Limited,INE095A01012,-,
INDUSINDBK,EQ,-,10,Agm,14-Sep-2006,-,18-Sep-2006,28-Sep-2006,-,IndusInd Bank Limited,INE095A01012,-,
INDUSINDBK,EQ,-,10,Agm/Dividend-18%,18-Aug-2005,-,20-Aug-2005,03-Sep-2005,-,IndusInd Bank Limited,INE095A01012,-,
