symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
INDUSTOWER,EQ,-,10,Buy Back,09-Aug-2024,09-Aug-2024,-,-,-,Indus Towers Limited,INE121J01017,-,
INDUSTOWER,EQ,-,10,Interim Dividend - Rs 11 Per Share,13-May-2022,17-May-2022,-,-,-,Indus Towers Limited,INE121J01017,-,
INDUSTOWER,EQ,-,10, Interim Dividend - Rs 17.82 Per Share,08-Feb-2021,09-Feb-2021,-,-,-,Indus Towers Limited,INE121J01017,-,
INDUSTOWER,EQ,-,10, Interim Dividend - Rs 2.30 Per Share,05-Aug-2020,06-Aug-2020,-,-,-,Indus Towers Limited,INE121J01017,-,
INDUSTOWER,EQ,-,10, Interim Dividend - Rs 4.10 Per Share,05-May-2020,06-May-2020,-,-,-,Indus Towers Limited,INE121J01017,-,
INDUSTOWER,EQ,-,10, Interim Dividend - Rs 2.75 Per Share,19-Dec-2019,20-Dec-2019,-,-,-,Indus Towers Limited,INE121J01017,-,
INDUSTOWER,EQ,-,10, Interim Dividend - Rs 3.65 Per Share,22-Aug-2019,23-Aug-2019,-,-,-,Indus Towers Limited,INE121J01017,-,
INDUSTOWER,EQ,-,10, Interim Dividend - Rs 7.50 Per Share,07-May-2019,08-May-2019,-,-,-,Indus Towers Limited,INE121J01017,-,
INDUSTOWER,EQ,-,10, Interim Dividend - Rs 7.50 Per Sh,01-Nov-2018,03-Nov-2018,-,-,-,Indus Towers Limited,INE121J01017,-,
INDUSTOWER,EQ,-,10, Dividend- Rs 14 Per Share,19-Jul-2018,20-Jul-2018,-,-,-,Indus Towers Limited,INE121J01017,-,
INDUSTOWER,EQ,-,10, Dividend - Rs 4 Per Share,20-Jul-2017,21-Jul-2017,-,-,-,Indus Towers Limited,INE121J01017,-,
INDUSTOWER,EQ,-,10, Interm Dividend Rs 12/- Per Share ,31-Mar-2017,03-Apr-2017,-,-,-,Indus Towers Limited,INE121J01017,-,
INDUSTOWER,EQ,-,10, Dividend - Rs 3/- Per Share,09-Aug-2016,10-Aug-2016,-,-,-,Indus Towers Limited,INE121J01017,-,
INDUSTOWER,EQ,-,10, Buy-Back Of Shares,15-Jun-2016,16-Jun-2016,-,-,-,Indus Towers Limited,INE121J01017,-,
INDUSTOWER,EQ,-,10,Annual General Meeting/ Dividend - Rs 6.50/- Per Share,03-Aug-2015,-,05-Aug-2015,11-Aug-2015,-,Indus Towers Limited,INE121J01017,-,
INDUSTOWER,EQ,-,10,Annual General Meeting + Dividend - Rs.4.40/- Per Share + Interim Dividend Rs 4.50/- Per Share(Purpose Revised),24-Jul-2014,-,26-Jul-2014,04-Aug-2014,-,Indus Towers Limited,INE121J01017,-,
INDUSTOWER,EQ,-,10,Annual General Meeting And Dividend Rs.3/- Per Share,20-Jun-2013,-,22-Jun-2013,03-Jul-2013,-,Indus Towers Limited,INE121J01017,-,
