symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
INFY,EQ,-,5,Buy Back,14-Nov-2025,14-Nov-2025,-,-,-,Infosys Limited,INE009A01021,-,
INFY,EQ,-,5,Interim Dividend - Rs 23 Per Share,27-Oct-2025,27-Oct-2025,-,-,-,Infosys Limited,INE009A01021,-,
INFY,EQ,-,5,Dividend - Rs 22 Per Share,30-May-2025,30-May-2025,-,-,-,Infosys Limited,INE009A01021,-,
INFY,EQ,-,5,Interim Dividend - Rs 21 Per Share,29-Oct-2024,29-Oct-2024,-,-,-,Infosys Limited,INE009A01021,-,
INFY,EQ,-,5,Annual General Meeting/Special Dividend - Rs 8 Per Share /Dividend - Rs 20 Per Share,31-May-2024,31-May-2024,-,-,-,Infosys Limited,INE009A01021,-,
INFY,EQ,-,5,Interim Dividend - Rs 18 Per Share,25-Oct-2023,25-Oct-2023,-,-,-,Infosys Limited,INE009A01021,-,
INFY,EQ,-,5,Annual General Meeting/Dividend - Rs 17.50 Per Share,02-Jun-2023,02-Jun-2023,-,-,-,Infosys Limited,INE009A01021,-,
INFY,EQ,-,5,Interim Dividend - Rs 16.50 Per Share,27-Oct-2022,28-Oct-2022,-,-,-,Infosys Limited,INE009A01021,-,
INFY,EQ,-,5,Annual General Meeting/Dividend - Rs 16 Per Share,31-May-2022,01-Jun-2022,-,-,-,Infosys Limited,INE009A01021,-,
INFY,EQ,-,5, Interim Dividend - Rs 15 Per Sh,26-Oct-2021,27-Oct-2021,-,-,-,Infosys Limited,INE009A01021,-,
INFY,EQ,-,5, Annual General Meeting/Dividend - Rs 15 Per Share,31-May-2021,01-Jun-2021,-,-,-,Infosys Limited,INE009A01021,-,
INFY,EQ,-,5, Interim Dividend - Rs 12 Per Share,23-Oct-2020,26-Oct-2020,-,-,-,Infosys Limited,INE009A01021,-,
INFY,EQ,-,5, Dividend - Rs 9.50 Per Share,29-May-2020,01-Jun-2020,-,-,-,Infosys Limited,INE009A01021,-,
INFY,EQ,-,5, Interim Dividend - Rs 8 Per Share,23-Oct-2019,24-Oct-2019,-,-,-,Infosys Limited,INE009A01021,-,
INFY,EQ,-,5, Annual General Meeting/Dividend- Rs 10.50 Per Share,13-Jun-2019,-,15-Jun-2019,15-Jun-2019,-,Infosys Limited,INE009A01021,-,
INFY,EQ,-,5, Special Dividend - Rs 4 Per Share,24-Jan-2019,25-Jan-2019,-,-,-,Infosys Limited,INE009A01021,-,
INFY,EQ,-,5, Interim Dividend - Rs 7 Per Share,25-Oct-2018,27-Oct-2018,-,-,-,Infosys Limited,INE009A01021,-,
INFY,EQ,-,5, Bonus 1:1,04-Sep-2018,05-Sep-2018,-,-,-,Infosys Limited,INE009A01021,-,
INFY,EQ,-,5, Annual General Meeting/ Final Dividend Rs 20.50 Per Shar/ Special Dividend - Rs 10 Per Share,14-Jun-2018,-,16-Jun-2018,16-Jun-2018,-,Infosys Limited,INE009A01021,-,
INFY,EQ,-,5, Interim Dividend - Rs 13/- Per Share (Purpose Revised),31-Oct-2017,01-Nov-2017,-,-,-,Infosys Limited,INE009A01021,-,
