symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
IOC,EQ,-,10,Interim Dividend - Rs 5 Per Share,18-Dec-2025,18-Dec-2025,-,-,-,Indian Oil Corporation Limited,INE242A01010,-,
IOC,EQ,-,10,Dividend - Rs 3 Per Share,08-Aug-2025,08-Aug-2025,-,-,-,Indian Oil Corporation Limited,INE242A01010,-,
IOC,EQ,-,10,Dividend - Rs 7 Per Share,12-Jul-2024,12-Jul-2024,-,-,-,Indian Oil Corporation Limited,INE242A01010,-,
IOC,EQ,-,10,Interim Dividend - Rs 5 Per Share,10-Nov-2023,10-Nov-2023,-,-,-,Indian Oil Corporation Limited,INE242A01010,-,
IOC,EQ,-,10,Dividend - Rs 3 Per Share,28-Jul-2023,28-Jul-2023,-,-,-,Indian Oil Corporation Limited,INE242A01010,-,
IOC,EQ,-,10,Dividend - Rs 2.40 Per Share,11-Aug-2022,12-Aug-2022,-,-,-,Indian Oil Corporation Limited,INE242A01010,-,
IOC,EQ,-,10,Bonus 1:2,30-Jun-2022,01-Jul-2022,-,-,-,Indian Oil Corporation Limited,INE242A01010,-,
IOC,EQ,-,10,Interim Dividend - Rs  4 Per Share,09-Feb-2022,10-Feb-2022,-,-,-,Indian Oil Corporation Limited,INE242A01010,-,
IOC,EQ,-,10, Interim Dividend - Rs 5 Per Share,11-Nov-2021,12-Nov-2021,-,-,-,Indian Oil Corporation Limited,INE242A01010,-,
IOC,EQ,-,10, Dividend - Rs 1.50 Per Share,05-Aug-2021,06-Aug-2021,-,-,-,Indian Oil Corporation Limited,INE242A01010,-,
IOC,EQ,-,10, Interim Dividend - Rs 3 Per Share,23-Mar-2021,24-Mar-2021,-,-,-,Indian Oil Corporation Limited,INE242A01010,-,
IOC,EQ,-,10, Interim Dividend - Rs 7.50  Per Share,09-Feb-2021,10-Feb-2021,-,-,-,Indian Oil Corporation Limited,INE242A01010,-,
IOC,EQ,-,10, Interim Dividend - Rs 4.25 Per Share,23-Mar-2020,25-Mar-2020,-,-,-,Indian Oil Corporation Limited,INE242A01010,-,
IOC,EQ,-,10, Annual General Meeting/Dividend - Re 1 Per Share,21-Aug-2019,-,23-Aug-2019,28-Aug-2019,-,Indian Oil Corporation Limited,INE242A01010,-,
IOC,EQ,-,10, Interim Dividend - Rs 1.50 Per Share,27-Mar-2019,28-Mar-2019,-,-,-,Indian Oil Corporation Limited,INE242A01010,-,
IOC,EQ,-,10, Interim Dividend - Rs 6.75 Per Share,21-Dec-2018,25-Dec-2018,-,-,-,Indian Oil Corporation Limited,INE242A01010,-,
IOC,EQ,-,10, Buyback,21-Dec-2018,25-Dec-2018,-,-,-,Indian Oil Corporation Limited,INE242A01010,-,
IOC,EQ,-,10, Dividend Rs 2 Per Share,20-Aug-2018,-,23-Aug-2018,29-Aug-2018,-,Indian Oil Corporation Limited,INE242A01010,-,
IOC,EQ,-,10, Bonus 1:1,15-Mar-2018,17-Mar-2018,-,-,-,Indian Oil Corporation Limited,INE242A01010,-,
IOC,EQ,-,10, Interim Dividend Rs 19/- Per Share,08-Feb-2018,09-Feb-2018,-,-,-,Indian Oil Corporation Limited,INE242A01010,-,
