symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
IRCTC,EQ,-,2,Interim Dividend - Rs 5 Per Share,21-Nov-2025,21-Nov-2025,-,-,-,Indian Railway Catering And Tourism Corporation Limited,INE335Y01012,-,
IRCTC,EQ,-,2,Dividend - Re 1 Per Share,22-Aug-2025,22-Aug-2025,-,-,-,Indian Railway Catering And Tourism Corporation Limited,INE335Y01012,-,
IRCTC,EQ,-,2,Interim Dividend - Rs 3 Per Share,20-Feb-2025,20-Feb-2025,-,-,-,Indian Railway Catering And Tourism Corporation Limited,INE335Y01012,-,
IRCTC,EQ,-,2,Interim Dividend - Rs 4 Per Share,14-Nov-2024,14-Nov-2024,-,-,-,Indian Railway Catering And Tourism Corporation Limited,INE335Y01012,-,
IRCTC,EQ,-,2,Dividend - Rs 4 Per Share,23-Aug-2024,23-Aug-2024,-,-,-,Indian Railway Catering And Tourism Corporation Limited,INE335Y01012,-,
IRCTC,EQ,-,2,Annual General Meeting,23-Aug-2024,-,24-Aug-2024,30-Aug-2024,-,Indian Railway Catering And Tourism Corporation Limited,INE335Y01012,-,
IRCTC,EQ,-,2,Interim Dividend - Rs 2.50 Per Share,17-Nov-2023,17-Nov-2023,-,-,-,Indian Railway Catering And Tourism Corporation Limited,INE335Y01012,-,
IRCTC,EQ,-,2,Annual General Meeting/Dividend - Rs  2 Per Share,18-Aug-2023,-,19-Aug-2023,25-Aug-2023,-,Indian Railway Catering And Tourism Corporation Limited,INE335Y01012,-,
IRCTC,EQ,-,2,Interim Dividend - Rs 3.50 Per Share,22-Feb-2023,22-Feb-2023,-,-,-,Indian Railway Catering And Tourism Corporation Limited,INE335Y01012,-,
IRCTC,EQ,-,2,Annual General Meeting/Dividend - Rs  1.50 Per Share,18-Aug-2022,-,20-Aug-2022,26-Aug-2022,-,Indian Railway Catering And Tourism Corporation Limited,INE335Y01012,-,
IRCTC,EQ,-,2,Interim Dividend - Rs 2 Per Share,17-Feb-2022,18-Feb-2022,-,-,-,Indian Railway Catering And Tourism Corporation Limited,INE335Y01012,-,
IRCTC,EQ,-,2, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,28-Oct-2021,29-Oct-2021,-,-,-,Indian Railway Catering And Tourism Corporation Limited,INE335Y01012,-,
IRCTC,EQ,-,2, Dividend - Rs 5 Per Share,21-Sep-2021,22-Sep-2021,-,-,-,Indian Railway Catering And Tourism Corporation Limited,INE335Y01012,-,
IRCTC,EQ,-,2, Annual General Meeting,21-Sep-2021,-,23-Sep-2021,29-Sep-2021,-,Indian Railway Catering And Tourism Corporation Limited,INE335Y01012,-,
IRCTC,EQ,-,2, Annual General Meeting,19-Oct-2020,-,21-Oct-2020,27-Oct-2020,-,Indian Railway Catering And Tourism Corporation Limited,INE335Y01012,-,
IRCTC,EQ,-,2, Dividend - Rs 2.50 Per Share,19-Oct-2020,20-Oct-2020,-,-,-,Indian Railway Catering And Tourism Corporation Limited,INE335Y01012,-,
IRCTC,EQ,-,2, Interim Dividend - Rs 10 Per Share,24-Feb-2020,25-Feb-2020,-,-,-,Indian Railway Catering And Tourism Corporation Limited,INE335Y01012,-,
