symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
IRFC,EQ,-,10,Interim Dividend - Rs 1.05 Per Share,24-Oct-2025,24-Oct-2025,-,-,-,Indian Railway Finance Corporation Limited,INE053F07520,-,
IRFC,EQ,-,10,Interim Dividend - Re 0.80 Per Share,21-Mar-2025,21-Mar-2025,-,-,-,Indian Railway Finance Corporation Limited,INE053F07520,-,
IRFC,EQ,-,10,Interim Dividend - Re 0.80 Per Share,12-Nov-2024,12-Nov-2024,-,-,-,Indian Railway Finance Corporation Limited,INE053F07520,-,
IRFC,EQ,-,10,Annual General Meeting,23-Aug-2024,-,25-Aug-2024,28-Aug-2024,-,Indian Railway Finance Corporation Limited,INE053F07520,-,
IRFC,EQ,-,10,Dividend - Rs 0.70 Per Share,22-Aug-2024,22-Aug-2024,-,-,-,Indian Railway Finance Corporation Limited,INE053F07520,-,
IRFC,EQ,-,10,Interim Dividend - Re 0.80 Per Share,10-Nov-2023,10-Nov-2023,-,-,-,Indian Railway Finance Corporation Limited,INE053F07520,-,
IRFC,EQ,-,10,Annual General Meeting,15-Sep-2023,-,18-Sep-2023,21-Sep-2023,-,Indian Railway Finance Corporation Limited,INE053F07520,-,
IRFC,EQ,-,10,Dividend - Re 0.70 Per Share,15-Sep-2023,15-Sep-2023,-,-,-,Indian Railway Finance Corporation Limited,INE053F07520,-,
IRFC,EQ,-,10,Interim Dividend - Re 0.80 Per Share,17-Nov-2022,18-Nov-2022,-,-,-,Indian Railway Finance Corporation Limited,INE053F07520,-,
IRFC,EQ,-,10,Dividend - Re 0.63 Per Share,15-Sep-2022,16-Sep-2022,-,-,-,Indian Railway Finance Corporation Limited,INE053F07520,-,
IRFC,EQ,-,10,Annual General Meeting,15-Sep-2022,-,19-Sep-2022,22-Sep-2022,-,Indian Railway Finance Corporation Limited,INE053F07520,-,
IRFC,EQ,-,10, Interim Dividend - Rs 0.77 Per Share,10-Nov-2021,11-Nov-2021,-,-,-,Indian Railway Finance Corporation Limited,INE053F07520,-,
IRFC,EQ,-,10, Annual General Meeting,23-Sep-2021,-,25-Sep-2021,28-Sep-2021,-,Indian Railway Finance Corporation Limited,INE053F07520,-,
IRFC,EQ,-,10, Interim Dividend - Rs 1.05 Per Share,17-Feb-2021,20-Feb-2021,-,-,-,Indian Railway Finance Corporation Limited,INE053F07520,-,
