symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
JSWENERGY,EQ,-,10,Dividend - Rs 2 Per Share,06-Jun-2025,06-Jun-2025,-,-,-,JSW Energy Limited,INE121E01018,-,
JSWENERGY,EQ,-,10,Dividend - Rs 2 Per Share,31-May-2024,-,01-Jun-2024,07-Jun-2024,-,JSW Energy Limited,INE121E01018,-,
JSWENERGY,EQ,-,10,Dividend - Rs 2 Per Share,02-Jun-2023,-,03-Jun-2023,09-Jun-2023,-,JSW Energy Limited,INE121E01018,-,
JSWENERGY,EQ,-,10,Dividend - Rs 2 Per Share,30-May-2022,-,01-Jun-2022,03-Jun-2022,-,JSW Energy Limited,INE121E01018,-,
JSWENERGY,EQ,-,10, Dividend - Rs 2 Per Share,27-Jul-2021,-,29-Jul-2021,04-Aug-2021,-,JSW Energy Limited,INE121E01018,-,
JSWENERGY,EQ,-,10, Dividend - Re 1 Per Share,04-Aug-2020,-,06-Aug-2020,13-Aug-2020,-,JSW Energy Limited,INE121E01018,-,
JSWENERGY,EQ,-,10, Annual General Meeting/Dividend Re -1 Per Share,02-Aug-2019,-,06-Aug-2019,13-Aug-2019,-,JSW Energy Limited,INE121E01018,-,
JSWENERGY,EQ,-,10, Annual General Meeting,27-Jul-2018,-,31-Jul-2018,06-Aug-2018,-,JSW Energy Limited,INE121E01018,-,
JSWENERGY,EQ,-,10, Annual General Meeting/ Dividend - Re 0.0 Per Share,30-Jun-2017,-,04-Jul-2017,13-Jul-2017,-,JSW Energy Limited,INE121E01018,-,
JSWENERGY,EQ,-,10, Annual General Meeting/ Dividend - Rs 2/- Per Share ,11-Jul-2016,-,13-Jul-2016,21-Jul-2016,-,JSW Energy Limited,INE121E01018,-,
JSWENERGY,EQ,-,10,Annual General Meeting/ Dividend - Rs 2 Per Share,10-Jul-2015,-,14-Jul-2015,22-Jul-2015,-,JSW Energy Limited,INE121E01018,-,
JSWENERGY,EQ,-,10,Annual General Meeting / Dividend - Rs 2/- Per Share,11-Jul-2014,-,15-Jul-2014,23-Jul-2014,-,JSW Energy Limited,INE121E01018,-,
JSWENERGY,EQ,-,10,Annual General Meeting / Final Dividend Rs.2/- Per Equity Share,12-Jul-2013,-,16-Jul-2013,25-Jul-2013,-,JSW Energy Limited,INE121E01018,-,
JSWENERGY,EQ,-,10,Annual General Meeting And Dividend Re.0.50 Per Share,14-Jun-2012,-,16-Jun-2012,29-Jun-2012,-,JSW Energy Limited,INE121E01018,-,
JSWENERGY,EQ,-,10,Annual General Meeting And Dividend Re.1/- Per Share,16-Jun-2011,-,18-Jun-2011,28-Jun-2011,-,JSW Energy Limited,INE121E01018,-,
JSWENERGY,EQ,-,10,Annual General Meeting And Dividend Re.0.75 Per Share,29-Jun-2010,-,01-Jul-2010,06-Jul-2010,-,JSW Energy Limited,INE121E01018,-,
