symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
KOTAKBANK,EQ,-,5,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,14-Jan-2026,14-Jan-2026,-,-,-,Kotak Mahindra Bank Limited,INE237A01010,-,
KOTAKBANK,EQ,-,5,Dividend - Rs 2.50 Per Share,18-Jul-2025,18-Jul-2025,-,-,-,Kotak Mahindra Bank Limited,INE237A01010,-,
KOTAKBANK,EQ,-,5,Dividend - Rs 2 Per Share,19-Jul-2024,19-Jul-2024,-,-,-,Kotak Mahindra Bank Limited,INE237A01010,-,
KOTAKBANK,EQ,-,5,Dividend - Rs 1.50 Per Sh,04-Aug-2023,04-Aug-2023,-,-,-,Kotak Mahindra Bank Limited,INE237A01010,-,
KOTAKBANK,EQ,-,5,Dividend - Rs 1.10 Per Share,11-Aug-2022,12-Aug-2022,-,-,-,Kotak Mahindra Bank Limited,INE237A01010,-,
KOTAKBANK,EQ,-,5, Dividend - Rs 0.90 Per Share,11-Aug-2021,12-Aug-2021,-,-,-,Kotak Mahindra Bank Limited,INE237A01010,-,
KOTAKBANK,EQ,-,5, Annual General Meeting/Dividend Rs 0.80 Per Share,12-Jul-2019,-,16-Jul-2019,22-Jul-2019,-,Kotak Mahindra Bank Limited,INE237A01010,-,
KOTAKBANK,EQ,-,5, Annual General Meeting/Dividend- Re 0.70 Per Share,11-Jul-2018,-,13-Jul-2018,19-Jul-2018,-,Kotak Mahindra Bank Limited,INE237A01010,-,
KOTAKBANK,EQ,-,5, Annual General Meeting/Dividend-Re 0.60 Per Share,12-Jul-2017,-,14-Jul-2017,20-Jul-2017,-,Kotak Mahindra Bank Limited,INE237A01010,-,
KOTAKBANK,EQ,-,5, Annual General Meeting/ Divdend - Re 0.50/- Per Share,14-Jul-2016,-,16-Jul-2016,22-Jul-2016,-,Kotak Mahindra Bank Limited,INE237A01010,-,
KOTAKBANK,EQ,-,5,Bonus 1: 1,08-Jul-2015,09-Jul-2015,-,-,-,Kotak Mahindra Bank Limited,INE237A01010,-,
KOTAKBANK,EQ,-,5,Annual General Meeting/Dividend Re 0.90/- Per Share,18-Jun-2015,-,22-Jun-2015,29-Jun-2015,-,Kotak Mahindra Bank Limited,INE237A01010,-,
KOTAKBANK,EQ,-,5,Annual General Meeting/Dividend Re 0.80/- Per Share,04-Jul-2014,-,08-Jul-2014,16-Jul-2014,-,Kotak Mahindra Bank Limited,INE237A01010,-,
KOTAKBANK,EQ,-,5,Annual General Meeting/Dividend Re 0.70/- Per Share,04-Jul-2013,-,08-Jul-2013,18-Jul-2013,-,Kotak Mahindra Bank Limited,INE237A01010,-,
KOTAKBANK,EQ,-,5,Annual General Meeting / Dividend Re 0.60 Per Share,06-Jul-2012,-,10-Jul-2012,19-Jul-2012,-,Kotak Mahindra Bank Limited,INE237A01010,-,
KOTAKBANK,EQ,-,5,Annual General Meeting And Dividend Re.0.50 Per Share,12-Jul-2011,-,14-Jul-2011,21-Jul-2011,-,Kotak Mahindra Bank Limited,INE237A01010,-,
KOTAKBANK,EQ,-,5,Face Value Split From Rs.10/- To Rs.5/-,13-Sep-2010,14-Sep-2010,-,-,-,Kotak Mahindra Bank Limited,INE237A01010,-,
KOTAKBANK,EQ,-,5,Annual General Meeting And Dividend Re.0.85 Per Share,30-Jun-2010,-,05-Jul-2010,07-Jul-2010,-,Kotak Mahindra Bank Limited,INE237A01010,-,
KOTAKBANK,EQ,-,5,Agm/Div-Re.0.75 Per Share,14-Jul-2009,-,16-Jul-2009,28-Jul-2009,-,Kotak Mahindra Bank Limited,INE237A01010,-,
KOTAKBANK,EQ,-,5,Agm/Dividend - 7.50%,14-Jul-2008,-,16-Jul-2008,28-Jul-2008,-,Kotak Mahindra Bank Limited,INE237A01010,-,
