symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
LT,EQ,-,2,Dividend - Rs 34 Per Share,03-Jun-2025,03-Jun-2025,-,-,-,Larsen & Toubro Limited,INE018A01030,-,
LT,EQ,-,2,Dividend - Rs 28 Per Share,20-Jun-2024,20-Jun-2024,-,-,-,Larsen & Toubro Limited,INE018A01030,-,
LT,EQ,-,2,Buy Back,12-Sep-2023,12-Sep-2023,-,-,-,Larsen & Toubro Limited,INE018A01030,-,
LT,EQ,-,2,Special Dividend - Rs 6 Per Share,02-Aug-2023,02-Aug-2023,-,-,-,Larsen & Toubro Limited,INE018A01030,-,
LT,EQ,-,2,Dividend - Rs 24 Per Share,02-Aug-2023,02-Aug-2023,-,-,-,Larsen & Toubro Limited,INE018A01030,-,
LT,EQ,-,2,Dividend - Rs 22 Per Share,21-Jul-2022,22-Jul-2022,-,-,-,Larsen & Toubro Limited,INE018A01030,-,
LT,EQ,-,2, Annual General Meeting/Dividend - Rs 18 Per Share,28-Jul-2021,-,30-Jul-2021,05-Aug-2021,-,Larsen & Toubro Limited,INE018A01030,-,
LT,EQ,-,2, Special Dividend - Rs 18 Per Share,04-Nov-2020,05-Nov-2020,-,-,-,Larsen & Toubro Limited,INE018A01030,-,
LT,EQ,-,2, Annual General Meeting/Dividend - Rs  8 Per Share,05-Aug-2020,-,07-Aug-2020,13-Aug-2020,-,Larsen & Toubro Limited,INE018A01030,-,
LT,EQ,-,2, Interim Dividend - Rs 10 Per Share,24-Mar-2020,26-Mar-2020,-,-,-,Larsen & Toubro Limited,INE018A01030,-,
LT,EQ,-,2, Annual General Meeting/Dividend - Rs 18 Per Share,24-Jul-2019,-,26-Jul-2019,01-Aug-2019,-,Larsen & Toubro Limited,INE018A01030,-,
LT,EQ,-,2, Buyback,12-Oct-2018,15-Oct-2018,-,-,-,Larsen & Toubro Limited,INE018A01030,-,
LT,EQ,-,2, Annual General Meeting/Dividend- Rs 16 Per Share,14-Aug-2018,-,17-Aug-2018,23-Aug-2018,-,Larsen & Toubro Limited,INE018A01030,-,
LT,EQ,-,2, Annual General Meeting/Dividend - Rs 14/- Per Share,11-Aug-2017,-,16-Aug-2017,22-Aug-2017,-,Larsen & Toubro Limited,INE018A01030,-,
LT,EQ,-,2, Bonus 1:2,13-Jul-2017,14-Jul-2017,-,-,-,Larsen & Toubro Limited,INE018A01030,-,
LT,EQ,-,2, Dividend - Rs 18.25/- Per Share,18-Aug-2016,-,20-Aug-2016,26-Aug-2016,-,Larsen & Toubro Limited,INE018A01030,-,
LT,EQ,-,2, Annual General Meeting/ Dividend - Rs 16.25/- Per Share,01-Sep-2015,-,03-Sep-2015,09-Sep-2015,-,Larsen & Toubro Limited,INE018A01030,-,
LT,EQ,-,2,Annual General Meeting / Dividend - Rs 14.25/- Per Share,13-Aug-2014,-,16-Aug-2014,22-Aug-2014,-,Larsen & Toubro Limited,INE018A01030,-,
LT,EQ,-,2,Annual General Meeting / Dividend - Rs 12.33/- Per Share,13-Aug-2013,-,16-Aug-2013,22-Aug-2013,-,Larsen & Toubro Limited,INE018A01030,-,
LT,EQ,-,2,Bonus 1:2,11-Jul-2013,13-Jul-2013,-,-,-,Larsen & Toubro Limited,INE018A01030,-,
