symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
MARICO,EQ,-,1,Dividend - Rs 7 Per Share,01-Aug-2025,01-Aug-2025,-,-,-,Marico Limited,INE196A01026,-,
MARICO,EQ,-,1,Interim Dividend - Rs 3.50 Per Share,07-Feb-2025,07-Feb-2025,-,-,-,Marico Limited,INE196A01026,-,
MARICO,EQ,-,1,Interim Dividend - Rs. 6.50 Per Share,06-Mar-2024,06-Mar-2024,-,-,-,Marico Limited,INE196A01026,-,
MARICO,EQ,-,1,Interim Dividend - Rs 3 Per Share,07-Nov-2023,07-Nov-2023,-,-,-,Marico Limited,INE196A01026,-,
MARICO,EQ,-,1,Interim Dividend - Rs 4.50 Per Share,08-Mar-2023,08-Mar-2023,-,-,-,Marico Limited,INE196A01026,-,
MARICO,EQ,-,1,Interim Dividend - Rs 6.25 Per Share,04-Feb-2022,07-Feb-2022,-,-,-,Marico Limited,INE196A01026,-,
MARICO,EQ,-,1, Interim Dividend - Rs 3 Per Share,08-Nov-2021,09-Nov-2021,-,-,-,Marico Limited,INE196A01026,-,
MARICO,EQ,-,1, Interim Dividend - Rs 4.50 Per Share,10-Mar-2021,12-Mar-2021,-,-,-,Marico Limited,INE196A01026,-,
MARICO,EQ,-,1, Interim Dividend - Rs 3 Per Share,05-Nov-2020,06-Nov-2020,-,-,-,Marico Limited,INE196A01026,-,
MARICO,EQ,-,1, Interim Dividend - Rs 0.75 Per Share,16-Mar-2020,17-Mar-2020,-,-,-,Marico Limited,INE196A01026,-,
MARICO,EQ,-,1, Interim Dividend - Rs 3.25 Per Share,06-Feb-2020,07-Feb-2020,-,-,-,Marico Limited,INE196A01026,-,
MARICO,EQ,-,1, Interim Dividend - Rs 2.75 Per Sh,04-Nov-2019,05-Nov-2019,-,-,-,Marico Limited,INE196A01026,-,
MARICO,EQ,-,1, Interim Dividend - Rs 2.75 Per Share,12-Feb-2019,13-Feb-2019,-,-,-,Marico Limited,INE196A01026,-,
MARICO,EQ,-,1, Interim Dividend - Rs 2 Per Sh,12-Nov-2018,13-Nov-2018,-,-,-,Marico Limited,INE196A01026,-,
MARICO,EQ,-,1, Interim Dividend - Rs 2.50 Per Share (Purpose Revised),16-Feb-2018,20-Feb-2018,-,-,-,Marico Limited,INE196A01026,-,
MARICO,EQ,-,1, Interim Dividend - Rs 1.75 Per Share (Purpose Revised),06-Nov-2017,07-Nov-2017,-,-,-,Marico Limited,INE196A01026,-,
MARICO,EQ,-,1, Annual General Meeting,26-Jul-2017,-,28-Jul-2017,01-Aug-2017,-,Marico Limited,INE196A01026,-,
MARICO,EQ,-,1, Interim Dividend Rs 2/- Per Share (Purpose Revised),09-Feb-2017,10-Feb-2017,-,-,-,Marico Limited,INE196A01026,-,
MARICO,EQ,-,1, Interim Dividend - Rs 1.50/- Per Share,16-Nov-2016,17-Nov-2016,-,-,-,Marico Limited,INE196A01026,-,
MARICO,EQ,-,1, Annual General Meeting,28-Jul-2016,-,30-Jul-2016,05-Aug-2016,-,Marico Limited,INE196A01026,-,
