symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
MARUTI,EQ,-,5,Dividend - Rs 135 Per Share,01-Aug-2025,01-Aug-2025,-,-,-,Maruti Suzuki India Limited,INE585B01010,-,
MARUTI,EQ,-,5,Dividend - Rs 125 Per Share,02-Aug-2024,-,03-Aug-2024,27-Aug-2024,-,Maruti Suzuki India Limited,INE585B01010,-,
MARUTI,EQ,-,5,Dividend - Rs 90 Per Share,03-Aug-2023,-,04-Aug-2023,29-Aug-2023,-,Maruti Suzuki India Limited,INE585B01010,-,
MARUTI,EQ,-,5,Dividend - Rs 60 Per Share,03-Aug-2022,-,05-Aug-2022,31-Aug-2022,-,Maruti Suzuki India Limited,INE585B01010,-,
MARUTI,EQ,-,5, Dividend - Rs 45 Per Share,05-Aug-2021,-,07-Aug-2021,24-Aug-2021,-,Maruti Suzuki India Limited,INE585B01010,-,
MARUTI,EQ,-,5, Dividend - Rs 60 Per Share,13-Aug-2020,-,15-Aug-2020,26-Aug-2020,-,Maruti Suzuki India Limited,INE585B01010,-,
MARUTI,EQ,-,5, Dividend - Rs 80 Per Share,14-Aug-2019,-,17-Aug-2019,27-Aug-2019,-,Maruti Suzuki India Limited,INE585B01010,-,
MARUTI,EQ,-,5, Dividend Rs 80/- Per Share,14-Aug-2018,-,17-Aug-2018,23-Aug-2018,-,Maruti Suzuki India Limited,INE585B01010,-,
MARUTI,EQ,-,5, Dividend - Rs 75/- Per Share,24-Aug-2017,-,29-Aug-2017,05-Sep-2017,-,Maruti Suzuki India Limited,INE585B01010,-,
MARUTI,EQ,-,5, Final Dividend - Rs 35/- Per Share,31-Aug-2016,-,02-Sep-2016,08-Sep-2016,-,Maruti Suzuki India Limited,INE585B01010,-,
MARUTI,EQ,-,5,Annual General Meeting / Dividend - Rs 25/- Per Share,26-Aug-2015,-,28-Aug-2015,04-Sep-2015,-,Maruti Suzuki India Limited,INE585B01010,-,
MARUTI,EQ,-,5,Annual General Meeting / Dividend - Rs 12/- Per Share,27-Aug-2014,-,01-Sep-2014,04-Sep-2014,-,Maruti Suzuki India Limited,INE585B01010,-,
MARUTI,EQ,-,5,E-Voting,31-Jul-2014,01-Aug-2014,-,-,-,Maruti Suzuki India Limited,INE585B01010,-,
MARUTI,EQ,-,5,Annual General Meeting / Final Dividend Rs.8/- Per Equity Share,13-Aug-2013,-,16-Aug-2013,27-Aug-2013,-,Maruti Suzuki India Limited,INE585B01010,-,
MARUTI,EQ,-,5,Annual General Meeting/ Dividend Rs.7.50 Per Share,14-Aug-2012,-,17-Aug-2012,28-Aug-2012,-,Maruti Suzuki India Limited,INE585B01010,-,
MARUTI,EQ,-,5,Dividend-Rs.7.50 Per Share,24-Aug-2011,-,26-Aug-2011,08-Sep-2011,-,Maruti Suzuki India Limited,INE585B01010,-,
MARUTI,EQ,-,5,Annual General Meeting And Final Dividend Rs.6/- Per Share,24-Aug-2010,-,26-Aug-2010,07-Sep-2010,-,Maruti Suzuki India Limited,INE585B01010,-,
MARUTI,EQ,-,5,Agm/Div-Rs.3.50 Per Share,18-Aug-2009,-,21-Aug-2009,02-Sep-2009,-,Maruti Suzuki India Limited,INE585B01010,-,
MARUTI,EQ,-,5,Agm/Dividend - 100%,14-Aug-2008,-,20-Aug-2008,02-Sep-2008,-,Maruti Suzuki India Limited,INE585B01010,-,
MARUTI,EQ,-,5,Agm/Fin Div-Rs4.50 Per Sh,22-Aug-2007,-,24-Aug-2007,06-Sep-2007,-,Maruti Suzuki India Limited,INE585B01010,-,
