symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
MOTHERSON,EQ,-,1,Bonus 1:2,18-Jul-2025,18-Jul-2025,-,-,-,Samvardhana Motherson International Limited,INE775A01035,-,
MOTHERSON,EQ,-,1,Dividend - Re 0.35 Per Share,23-Jun-2025,23-Jun-2025,-,-,-,Samvardhana Motherson International Limited,INE775A01035,-,
MOTHERSON,EQ,-,1,Interim Dividend - Rs 0.50 Per Share,28-Mar-2025,28-Mar-2025,-,-,-,Samvardhana Motherson International Limited,INE775A01035,-,
MOTHERSON,EQ,-,1,Annual General Meeting/Dividend - Re 0.80 Per Share,14-Aug-2024,-,16-Aug-2024,22-Aug-2024,-,Samvardhana Motherson International Limited,INE775A01035,-,
MOTHERSON,EQ,-,1,Annual General Meeting/Dividend - Re  0.65 Per Share,11-Aug-2023,-,14-Aug-2023,21-Aug-2023,-,Samvardhana Motherson International Limited,INE775A01035,-,
MOTHERSON,EQ,-,1,Bonus 1:2,03-Oct-2022,05-Oct-2022,-,-,-,Samvardhana Motherson International Limited,INE775A01035,-,
MOTHERSON,EQ,-,1,Annual General Meeting/Dividend - Rs  0.65 Per Share,12-Aug-2022,-,18-Aug-2022,22-Aug-2022,-,Samvardhana Motherson International Limited,INE775A01035,-,
MOTHERSON,EQ,-,1,Demerger,14-Jan-2022,17-Jan-2022,-,-,-,Samvardhana Motherson International Limited,INE775A01035,-,
MOTHERSON,EQ,-,1, Annual General Meeting/Dividend - Rs 1.50 Per Share,03-Sep-2021,-,07-Sep-2021,10-Sep-2021,-,Samvardhana Motherson International Limited,INE775A01035,-,
MOTHERSON,EQ,-,1, Annual General Meeting,23-Sep-2020,-,25-Sep-2020,28-Sep-2020,-,Samvardhana Motherson International Limited,INE775A01035,-,
MOTHERSON,EQ,-,1, Interim Dividend - Rs 1.50 Per Share,12-Mar-2020,14-Mar-2020,-,-,-,Samvardhana Motherson International Limited,INE775A01035,-,
MOTHERSON,EQ,-,1, Annual General Meeting/Dividend - Rs 1.50 Per Share,08-Aug-2019,-,11-Aug-2019,14-Aug-2019,-,Samvardhana Motherson International Limited,INE775A01035,-,
MOTHERSON,EQ,-,1, Bonus 1:2,30-Oct-2018,31-Oct-2018,-,-,-,Samvardhana Motherson International Limited,INE775A01035,-,
MOTHERSON,EQ,-,1, Annual General Meeting/Dividend- Rs 2.25 Per Share,08-Aug-2018,-,10-Aug-2018,13-Aug-2018,-,Samvardhana Motherson International Limited,INE775A01035,-,
MOTHERSON,EQ,-,1, Annual General Meeting/Dividend - Rs 2 Per Share,14-Aug-2017,-,18-Aug-2017,21-Aug-2017,-,Samvardhana Motherson International Limited,INE775A01035,-,
MOTHERSON,EQ,-,1, Bonus 1:2,05-Jul-2017,-,07-Jul-2017,07-Jul-2017,-,Samvardhana Motherson International Limited,INE775A01035,-,
MOTHERSON,EQ,-,1, Annual General Meeting,25-Aug-2016,-,29-Aug-2016,31-Aug-2016,-,Samvardhana Motherson International Limited,INE775A01035,-,
MOTHERSON,EQ,-,1, Interim Dividend - Rs 2.50/- Per Share (Purpose Revised),22-Mar-2016,25-Mar-2016,-,-,-,Samvardhana Motherson International Limited,INE775A01035,-,
MOTHERSON,EQ,-,1,Annual General Meeting / Dividend - Rs 3/- Per Share / Bonus - 1:2,23-Jul-2015,-,25-Jul-2015,25-Jul-2015,-,Samvardhana Motherson International Limited,INE775A01035,-,
MOTHERSON,EQ,-,1,Annual General Meeting / Dividend - Rs 2.50/- Per Share,19-Aug-2014,-,21-Aug-2014,25-Aug-2014,-,Samvardhana Motherson International Limited,INE775A01035,-,
