symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
MRF,EQ,-,10,Interim Dividend - Rs 3 Per Share,21-Nov-2025,21-Nov-2025,-,-,-,MRF Limited,INE883A01011,-,
MRF,EQ,-,10,Dividend - Rs 229 Per Share,18-Jul-2025,18-Jul-2025,-,-,-,MRF Limited,INE883A01011,-,
MRF,EQ,-,10,Interim Dividend - Rs 3 Per Share,14-Feb-2025,14-Feb-2025,-,-,-,MRF Limited,INE883A01011,-,
MRF,EQ,-,10,Interim Dividend - Rs 3 Per Share,19-Nov-2024,19-Nov-2024,-,-,-,MRF Limited,INE883A01011,-,
MRF,EQ,-,10,Annual General Meeting/Dividend - Rs 194 Per Share,25-Jul-2024,-,26-Jul-2024,01-Aug-2024,-,MRF Limited,INE883A01011,-,
MRF,EQ,-,10,Interim Dividend - Rs 3 Per Share,21-Feb-2024,21-Feb-2024,-,-,-,MRF Limited,INE883A01011,-,
MRF,EQ,-,10,Interim Dividend - Rs 3 Per Share,17-Nov-2023,17-Nov-2023,-,-,-,MRF Limited,INE883A01011,-,
MRF,EQ,-,10,Annual General Meeting/Dividend - Rs 169 Per Share,20-Jul-2023,-,21-Jul-2023,27-Jul-2023,-,MRF Limited,INE883A01011,-,
MRF,EQ,-,10,Interim Dividend - Rs 3 Per Share,21-Feb-2023,21-Feb-2023,-,-,-,MRF Limited,INE883A01011,-,
MRF,EQ,-,10,Interim Dividend - Rs 3 Per Share,17-Nov-2022,18-Nov-2022,-,-,-,MRF Limited,INE883A01011,-,
MRF,EQ,-,10,Annual General Meeting/Dividend - Rs  144 Per Share,27-Jul-2022,-,29-Jul-2022,04-Aug-2022,-,MRF Limited,INE883A01011,-,
MRF,EQ,-,10,Interim Dividend - Rs 3 Per Share,17-Feb-2022,18-Feb-2022,-,-,-,MRF Limited,INE883A01011,-,
MRF,EQ,-,10, Interim Dividend - Rs 3 Per Share,17-Nov-2021,19-Nov-2021,-,-,-,MRF Limited,INE883A01011,-,
MRF,EQ,-,10, Annual General Meeting/Dividend - Rs 94 Per Share/Special Dividend - Rs 50 Per Share,04-Aug-2021,-,06-Aug-2021,12-Aug-2021,-,MRF Limited,INE883A01011,-,
MRF,EQ,-,10, Interim Dividend - Rs 3 Per Share,17-Feb-2021,19-Feb-2021,-,-,-,MRF Limited,INE883A01011,-,
MRF,EQ,-,10, Interim Dividend - Rs 3 Per Share,18-Nov-2020,19-Nov-2020,-,-,-,MRF Limited,INE883A01011,-,
MRF,EQ,-,10, Annual General Meeting/Dividend - Rs 94 Per Share,14-Sep-2020,-,16-Sep-2020,24-Sep-2020,-,MRF Limited,INE883A01011,-,
MRF,EQ,-,10, Interim Dividend - Rs 3 Per Share,18-Feb-2020,21-Feb-2020,-,-,-,MRF Limited,INE883A01011,-,
MRF,EQ,-,10, Interim Dividend - Rs 3 Per Share,21-Nov-2019,22-Nov-2019,-,-,-,MRF Limited,INE883A01011,-,
MRF,EQ,-,10, Annual General Meeting/Dividend - Rs 54 Per Share,01-Aug-2019,-,03-Aug-2019,09-Aug-2019,-,MRF Limited,INE883A01011,-,
