symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
NAUKRI,EQ,-,2,Interim Dividend - Rs 2.40 Per Share,21-Nov-2025,21-Nov-2025,-,-,-,Info Edge (India) Limited,INE663F01024,-,
NAUKRI,EQ,-,2,Dividend - Rs 3.60 Per Share,25-Jul-2025,25-Jul-2025,-,-,-,Info Edge (India) Limited,INE663F01024,-,
NAUKRI,EQ,-,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,07-May-2025,07-May-2025,-,-,-,Info Edge (India) Limited,INE663F01024,-,
NAUKRI,EQ,-,2,Interim Dividend - Rs 12 Per Share,19-Nov-2024,20-Nov-2024,-,-,-,Info Edge (India) Limited,INE663F01024,-,
NAUKRI,EQ,-,2,Dividend - Rs 12 Per Share,29-Jul-2024,29-Jul-2024,-,-,-,Info Edge (India) Limited,INE663F01024,-,
NAUKRI,EQ,-,2,Interim Dividend - Rs 10 Per Share,17-Nov-2023,17-Nov-2023,-,-,-,Info Edge (India) Limited,INE663F01024,-,
NAUKRI,EQ,-,2,Dividend - Rs 9 Per Share,28-Jul-2023,28-Jul-2023,-,-,-,Info Edge (India) Limited,INE663F01024,-,
NAUKRI,EQ,-,2,Interim Dividend - Rs 10 Per Share,18-Nov-2022,21-Nov-2022,-,-,-,Info Edge (India) Limited,INE663F01024,-,
NAUKRI,EQ,-,2,Annual General Meeting/Dividend - Rs 5 Per Share,18-Aug-2022,-,20-Aug-2022,26-Aug-2022,-,Info Edge (India) Limited,INE663F01024,-,
NAUKRI,EQ,-,2,Interim Dividend - Rs 8 Per Sh,17-Jan-2022,18-Jan-2022,-,-,-,Info Edge (India) Limited,INE663F01024,-,
NAUKRI,EQ,-,2, Annual General Meeting,18-Aug-2021,-,21-Aug-2021,27-Aug-2021,-,Info Edge (India) Limited,INE663F01024,-,
NAUKRI,EQ,-,2, Interim Dividend - Rs  8 Per Share,21-Jun-2021,22-Jun-2021,-,-,-,Info Edge (India) Limited,INE663F01024,-,
NAUKRI,EQ,-,2, Annual General Meeting,14-Sep-2020,-,16-Sep-2020,22-Sep-2020,-,Info Edge (India) Limited,INE663F01024,-,
NAUKRI,EQ,-,2, Interim Dividend - Rs 3.50 Per Share,18-Feb-2020,20-Feb-2020,-,-,-,Info Edge (India) Limited,INE663F01024,-,
NAUKRI,EQ,-,2, Interim Dividend - Rs 2.5 Per Share,21-Nov-2019,22-Nov-2019,-,-,-,Info Edge (India) Limited,INE663F01024,-,
NAUKRI,EQ,-,2, Annual General Meeting/Dividend - Rs 2 Per Share,05-Aug-2019,-,07-Aug-2019,13-Aug-2019,-,Info Edge (India) Limited,INE663F01024,-,
NAUKRI,EQ,-,2, Interim Dividend - Rs 1.50 Per Share,07-Feb-2019,08-Feb-2019,-,-,-,Info Edge (India) Limited,INE663F01024,-,
NAUKRI,EQ,-,2, Interim Dividend - Rs 2.50 Per Sh,09-Nov-2018,12-Nov-2018,-,-,-,Info Edge (India) Limited,INE663F01024,-,
NAUKRI,EQ,-,2, Annual General Meeting/Dividend- Rs 1.5 Per Share,16-Jul-2018,-,18-Jul-2018,24-Jul-2018,-,Info Edge (India) Limited,INE663F01024,-,
NAUKRI,EQ,-,2, Interim Dividend Rs 1.50 Per Share (Purpose Revised),09-Feb-2018,12-Feb-2018,-,-,-,Info Edge (India) Limited,INE663F01024,-,
