symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
ONGC,EQ,-,5,Interim Dividend - Rs 6 Per Share,14-Nov-2025,14-Nov-2025,-,-,-,Oil & Natural Gas Corporation Limited,INE213A01011,-,
ONGC,EQ,-,5,Dividend - Rs 1.25 Per Share,04-Sep-2025,04-Sep-2025,-,-,-,Oil & Natural Gas Corporation Limited,INE213A01011,-,
ONGC,EQ,-,5,Interim Dividend - Rs 5 Per Share,07-Feb-2025,07-Feb-2025,-,-,-,Oil & Natural Gas Corporation Limited,INE213A01011,-,
ONGC,EQ,-,5,Interim Dividend - Rs 6 Per Share,19-Nov-2024,20-Nov-2024,-,-,-,Oil & Natural Gas Corporation Limited,INE213A01011,-,
ONGC,EQ,-,5,Dividend - Rs 2.50 Per Share,23-Aug-2024,23-Aug-2024,-,-,-,Oil & Natural Gas Corporation Limited,INE213A01011,-,
ONGC,EQ,-,5,Interim Dividend - Rs 4 Per Share,16-Feb-2024,17-Feb-2024,-,-,-,Oil & Natural Gas Corporation Limited,INE213A01011,-,
ONGC,EQ,-,5,Interim Dividend - Rs 5.75 Per Share,21-Nov-2023,21-Nov-2023,-,-,-,Oil & Natural Gas Corporation Limited,INE213A01011,-,
ONGC,EQ,-,5,Dividend - Re 0.50 Per Share,18-Aug-2023,18-Aug-2023,-,-,-,Oil & Natural Gas Corporation Limited,INE213A01011,-,
ONGC,EQ,-,5,Interim Dividend - Rs 4 Per Share,24-Feb-2023,24-Feb-2023,-,-,-,Oil & Natural Gas Corporation Limited,INE213A01011,-,
ONGC,EQ,-,5,Interim Dividend - Rs 6.75 Per Share,21-Nov-2022,22-Nov-2022,-,-,-,Oil & Natural Gas Corporation Limited,INE213A01011,-,
ONGC,EQ,-,5,Dividend - Rs 3.25 Per Share,18-Aug-2022,19-Aug-2022,-,-,-,Oil & Natural Gas Corporation Limited,INE213A01011,-,
ONGC,EQ,-,5,Interim Dividend - Rs 1.75 Per Share,21-Feb-2022,22-Feb-2022,-,-,-,Oil & Natural Gas Corporation Limited,INE213A01011,-,
ONGC,EQ,-,5, Interim Dividend - Rs 5.50 Per Share,22-Nov-2021,23-Nov-2021,-,-,-,Oil & Natural Gas Corporation Limited,INE213A01011,-,
ONGC,EQ,-,5, Dividend - Rs 1.85 Per Share,08-Sep-2021,10-Sep-2021,-,-,-,Oil & Natural Gas Corporation Limited,INE213A01011,-,
ONGC,EQ,-,5, Interim Dividend - Rs 1.75 Per Share,17-Feb-2021,20-Feb-2021,-,-,-,Oil & Natural Gas Corporation Limited,INE213A01011,-,
ONGC,EQ,-,5, Interim Dividend - Rs 5 Per Share,23-Mar-2020,24-Mar-2020,-,-,-,Oil & Natural Gas Corporation Limited,INE213A01011,-,
ONGC,EQ,-,5, Annual General Meeting/Dividend - Rs 0.75 Per Share,22-Aug-2019,23-Aug-2019,-,-,-,Oil & Natural Gas Corporation Limited,INE213A01011,-,
ONGC,EQ,-,5, Interim Dividend - Re 1 Per Sh,26-Mar-2019,27-Mar-2019,-,-,-,Oil & Natural Gas Corporation Limited,INE213A01011,-,
ONGC,EQ,-,5, Interim Dividend - Rs 5.25 Per Sh,28-Feb-2019,01-Mar-2019,-,-,-,Oil & Natural Gas Corporation Limited,INE213A01011,-,
ONGC,EQ,-,5, Buy Back,03-Jan-2019,04-Jan-2019,-,-,-,Oil & Natural Gas Corporation Limited,INE213A01011,-,
