symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
PFC,EQ,-,10,Interim Dividend - Rs 3.65 Per Share,26-Nov-2025,26-Nov-2025,-,-,-,Power Finance Corporation Limited,INE134E01011,-,
PFC,EQ,-,10,Interim Dividend - Rs 3.70 Per Share,18-Aug-2025,18-Aug-2025,-,-,-,Power Finance Corporation Limited,INE134E01011,-,
PFC,EQ,-,10,Dividend - Rs 2.05 Per Share,13-Jun-2025,13-Jun-2025,-,-,-,Power Finance Corporation Limited,INE134E01011,-,
PFC,EQ,-,10,Interim Dividend - Rs 3.50 Per Share,19-Mar-2025,19-Mar-2025,-,-,-,Power Finance Corporation Limited,INE134E01011,-,
PFC,EQ,-,10,Interim Dividend - Rs 3.50 Per Share,28-Feb-2025,28-Feb-2025,-,-,-,Power Finance Corporation Limited,INE134E01011,-,
PFC,EQ,-,10,Interim Dividend - Rs 3.50 Per Share,25-Nov-2024,25-Nov-2024,-,-,-,Power Finance Corporation Limited,INE134E01011,-,
PFC,EQ,-,10,Interim Dividend - Rs 3.25 Per Share,30-Aug-2024,30-Aug-2024,-,-,-,Power Finance Corporation Limited,INE134E01011,-,
PFC,EQ,-,10,Annual General Meeting,14-Aug-2024,-,16-Aug-2024,21-Aug-2024,-,Power Finance Corporation Limited,INE134E01011,-,
PFC,EQ,-,10,Dividend - Rs 2.50 Per Share,26-Jul-2024,26-Jul-2024,-,-,-,Power Finance Corporation Limited,INE134E01011,-,
PFC,EQ,-,10,Interim Dividend - Rs 3 Per Share,22-Mar-2024,22-Mar-2024,-,-,-,Power Finance Corporation Limited,INE134E01011,-,
PFC,EQ,-,10,Interim Dividend - Rs 3.50 Per Share,20-Feb-2024,20-Feb-2024,-,-,-,Power Finance Corporation Limited,INE134E01011,-,
PFC,EQ,-,10,Interim Dividend - Rs 4.50 Per Share,24-Nov-2023,27-Nov-2023,-,-,-,Power Finance Corporation Limited,INE134E01011,-,
PFC,EQ,-,10,Bonus 1:4,21-Sep-2023,21-Sep-2023,-,-,-,Power Finance Corporation Limited,INE134E01011,-,
PFC,EQ,-,10,Annual General Meeting,04-Sep-2023,-,05-Sep-2023,12-Sep-2023,-,Power Finance Corporation Limited,INE134E01011,-,
PFC,EQ,-,10,Dividend - Rs 4.50 Per Share,16-Jun-2023,16-Jun-2023,-,-,-,Power Finance Corporation Limited,INE134E01011,-,
PFC,EQ,-,10,Interim Dividend - Rs  3.50 Per Share,24-Feb-2023,24-Feb-2023,-,-,-,Power Finance Corporation Limited,INE134E01011,-,
PFC,EQ,-,10,Interim Dividend - Rs 3 Per Share,24-Nov-2022,25-Nov-2022,-,-,-,Power Finance Corporation Limited,INE134E01011,-,
PFC,EQ,-,10,Interim Dividend - Rs 2.25 Per Share,01-Sep-2022,03-Sep-2022,-,-,-,Power Finance Corporation Limited,INE134E01011,-,
PFC,EQ,-,10,Dividend - Rs 1.25 Per Share,09-Jun-2022,10-Jun-2022,-,-,-,Power Finance Corporation Limited,INE134E01011,-,
PFC,EQ,-,10,Interim Dividend - Rs 6 Per Share,25-Feb-2022,28-Feb-2022,-,-,-,Power Finance Corporation Limited,INE134E01011,-,
