symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
PGHH,EQ,-,10,Dividend - Rs 65 Per Share,28-Aug-2025,28-Aug-2025,-,-,-,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,-,
PGHH,EQ,-,10,Interim Dividend - Rs 110 Per Share,20-Feb-2025,20-Feb-2025,-,-,-,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,-,
PGHH,EQ,-,10,Annual General Meeting/Dividend - Rs 95 Per Share,19-Nov-2024,-,20-Nov-2024,26-Nov-2024,-,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,-,
PGHH,EQ,-,10,Interim Dividend - Rs 100 Per Share/ Special Dividend - Rs 60 Per Share,09-Feb-2024,09-Feb-2024,-,-,-,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,-,
PGHH,EQ,-,10,Annual General Meeting/Dividend - Rs 105 Per Share,17-Nov-2023,-,18-Nov-2023,24-Nov-2023,-,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,-,
PGHH,EQ,-,10,Interim Dividend - Rs 80 Per Share,08-Feb-2023,08-Feb-2023,-,-,-,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,-,
PGHH,EQ,-,10,Annual General Meeting/Dividend - Rs 65 Per Share,04-Nov-2022,-,09-Nov-2022,15-Nov-2022,-,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,-,
PGHH,EQ,-,10,Interim Dividend - Rs 95 Per Share,08-Feb-2022,09-Feb-2022,-,-,-,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,-,
PGHH,EQ,-,10, Annual General Meeting/Dividend - Rs 80 Per Share,09-Nov-2021,-,11-Nov-2021,17-Nov-2021,-,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,-,
PGHH,EQ,-,10, Special Dividend - Rs 150 Per Share,11-May-2021,12-May-2021,-,-,-,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,-,
PGHH,EQ,-,10, Interim Dividend - Rs 85 Per Share,10-Feb-2021,11-Feb-2021,-,-,-,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,-,
PGHH,EQ,-,10, Annual General Meeting/Dividend - Rs 105 Per Share,13-Nov-2020,-,18-Nov-2020,24-Nov-2020,-,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,-,
PGHH,EQ,-,10, Dividend Rs 48 Per Eq Sh,19-Nov-2019,-,21-Nov-2019,27-Nov-2019,-,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,-,
PGHH,EQ,-,10, Interim Dividend - Rs 40 Per Share,15-Feb-2019,19-Feb-2019,-,-,-,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,-,
PGHH,EQ,-,10, Annual General Meeting/Dividend Rs 40 Per Share,20-Nov-2018,-,23-Nov-2018,29-Nov-2018,-,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,-,
PGHH,EQ,-,10, Dividend - Rs 27/- Per Share,07-Nov-2017,-,09-Nov-2017,16-Nov-2017,-,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,-,
PGHH,EQ,-,10, Special Interim Dividend Rs 362/- Per Share,17-May-2017,18-May-2017,-,-,-,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,-,
PGHH,EQ,-,10, Dividend Rs 36/- Per Share,24-Nov-2016,-,26-Nov-2016,02-Dec-2016,-,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,-,
PGHH,EQ,-,10, Dividend - Rs 30.25/- Per Share,19-Oct-2015,-,21-Oct-2015,28-Oct-2015,-,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,-,
PGHH,EQ,-,10,Annual General Meeting / Dividend - Rs 27.50/- Per Share,08-Sep-2014,-,10-Sep-2014,24-Sep-2014,-,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,-,
