symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
PIDILITIND,EQ,-,1,Bonus 1:1,23-Sep-2025,23-Sep-2025,-,-,-,Pidilite Industries Limited,INE318A01026,-,
PIDILITIND,EQ,-,1,Special Dividend - Rs 10 Per Share,13-Aug-2025,13-Aug-2025,-,-,-,Pidilite Industries Limited,INE318A01026,-,
PIDILITIND,EQ,-,1,Annual General Meeting/Dividend - Rs 20 Per Share,23-Jul-2025,23-Jul-2025,-,-,-,Pidilite Industries Limited,INE318A01026,-,
PIDILITIND,EQ,-,1,Annual General Meeting,24-Jul-2024,-,25-Jul-2024,07-Aug-2024,-,Pidilite Industries Limited,INE318A01026,-,
PIDILITIND,EQ,-,1,Dividend - Rs 16 Per Share,24-Jul-2024,24-Jul-2024,-,-,-,Pidilite Industries Limited,INE318A01026,-,
PIDILITIND,EQ,-,1,Annual General Meeting,27-Jul-2023,-,28-Jul-2023,10-Aug-2023,-,Pidilite Industries Limited,INE318A01026,-,
PIDILITIND,EQ,-,1,Dividend - Rs 11 Per Share,27-Jul-2023,27-Jul-2023,-,-,-,Pidilite Industries Limited,INE318A01026,-,
PIDILITIND,EQ,-,1,Dividend - Rs 10  Per Share,26-Jul-2022,27-Jul-2022,-,-,-,Pidilite Industries Limited,INE318A01026,-,
PIDILITIND,EQ,-,1,Annual General Meeting,26-Jul-2022,-,28-Jul-2022,10-Aug-2022,-,Pidilite Industries Limited,INE318A01026,-,
PIDILITIND,EQ,-,1, Annual General Meeting/Dividend - Rs 8.50 Per Share,27-Jul-2021,-,29-Jul-2021,11-Aug-2021,-,Pidilite Industries Limited,INE318A01026,-,
PIDILITIND,EQ,-,1, Annual General Meeting,02-Sep-2020,-,04-Sep-2020,10-Sep-2020,-,Pidilite Industries Limited,INE318A01026,-,
PIDILITIND,EQ,-,1, Interim Dividend - Rs 7 Per Share,13-Mar-2020,16-Mar-2020,-,-,-,Pidilite Industries Limited,INE318A01026,-,
PIDILITIND,EQ,-,1, Annual General Meeting/Dividend - Rs 6.50 Per Share,29-Jul-2019,-,31-Jul-2019,06-Aug-2019,-,Pidilite Industries Limited,INE318A01026,-,
PIDILITIND,EQ,-,1, Annual General Meeting/Dividend- Rs 6 Per Share,21-Aug-2018,-,24-Aug-2018,30-Aug-2018,-,Pidilite Industries Limited,INE318A01026,-,
PIDILITIND,EQ,-,1, Buyback,09-Feb-2018,12-Feb-2018,-,-,-,Pidilite Industries Limited,INE318A01026,-,
PIDILITIND,EQ,-,1, Annual General Meeting/Dividend - Rs 4.75 Per Share,23-Aug-2017,-,25-Aug-2017,31-Aug-2017,-,Pidilite Industries Limited,INE318A01026,-,
PIDILITIND,EQ,-,1, Dividend - Re 0.50/- Per Share,24-Aug-2016,-,26-Aug-2016,02-Sep-2016,-,Pidilite Industries Limited,INE318A01026,-,
PIDILITIND,EQ,-,1, Interim Dividend - Rs 3.65/- Per Share (Purpose Revised),18-Mar-2016,21-Mar-2016,-,-,-,Pidilite Industries Limited,INE318A01026,-,
PIDILITIND,EQ,-,1, Annual General Meeting/Dividend Rs 2.90 Per Share,14-Aug-2015,-,18-Aug-2015,01-Sep-2015,-,Pidilite Industries Limited,INE318A01026,-,
PIDILITIND,EQ,-,1,Annual General Meeting / Dividend - Rs 2.70/- Per Share,09-Sep-2014,-,11-Sep-2014,25-Sep-2014,-,Pidilite Industries Limited,INE318A01026,-,
